independent_unit_id	cohort_role	method	epsilon	tau	branch	witness	score	n_estimable	spearman	aurc	oracle_aurc	random_aurc	normalized_excess_aurc	retained_loss_at_80pct_coverage	retained_loss_at_90pct_coverage
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		main21	heldout_expression_loss	endpoint_response	307.0	0.5837029650295944	0.14840495194224937	0.13653178762655915	0.17405059152905028	0.32645140644448695	0.14866366609173443	0.15970797976799922
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		main21	heldout_expression_loss	finite_response_h001	307.0	0.5912962450425245	0.14809828431585703	0.13653178762655915	0.17405059152905028	0.3162334616326048	0.14805788784042237	0.15910869750702322
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		main21	heldout_expression_loss	local_reference	307.0	0.5916061611937994	0.14807597663390287	0.13653178762655915	0.17405059152905028	0.3155930636296857	0.14805788784042237	0.15910869750702322
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		main21	heldout_expression_loss	source_boundary_proximity	307.0	0.0875304529049007	0.17188241881566355	0.13653178762655915	0.17405059152905028	0.9495880288093721	0.17269203413965878	0.17326337117683885
HER2ST::A	manual_truth_controlled	row_softmax	0.25		main21	heldout_expression_loss	endpoint_response	307.0	-0.4635202703547523	0.18848175447193877	0.1363424809342817	0.17428655945125515	1.3703285141514072	0.18355585134680097	0.17862527514115772
HER2ST::A	manual_truth_controlled	row_softmax	0.25		main21	heldout_expression_loss	finite_response_h001	307.0	-0.3917706694175934	0.1836067457388702	0.1363424809342817	0.17428655945125515	1.2389927300654908	0.17947136054059898	0.173778429269324
HER2ST::A	manual_truth_controlled	row_softmax	0.25		main21	heldout_expression_loss	local_reference	307.0	-0.39115131754835175	0.1835992466418872	0.1363424809342817	0.17428655945125515	1.2387818517595737	0.17956034229071066	0.173778429269324
HER2ST::A	manual_truth_controlled	row_softmax	0.25		main21	heldout_expression_loss	source_boundary_proximity	307.0	0.10500872251029529	0.1715725640270497	0.1363424809342817	0.17428655945125515	0.9365048528877484	0.17248721606179446	0.17318784177885657
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	main21	heldout_expression_loss	endpoint_response	307.0	0.7807533046918106	0.1419277081451487	0.1363956760755772	0.17394092067360065	0.14712006878214579	0.1430888917103526	0.15413365528667627
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	main21	heldout_expression_loss	finite_response_h001	307.0	0.7855768255246561	0.14189535577915757	0.1363956760755772	0.17394092067360065	0.1454632393347019	0.14323447933270567	0.15523716244139096
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	main21	heldout_expression_loss	local_reference	307.0	0.7855642493658055	0.1418985859122096	0.1363956760755772	0.17394092067360065	0.14554264293757707	0.14323447933270567	0.15523716244139096
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	main21	heldout_expression_loss	source_boundary_proximity	307.0	0.08926017335383946	0.17171616814041435	0.1363956760755772	0.17394092067360065	0.948307323783163	0.17253997145569006	0.17311839660537265
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		main21	heldout_expression_loss	endpoint_response	242.0	0.679129544828685	0.30856171624053264	0.28126884069881014	0.37019978679295706	0.3083726125922779	0.3131048919503386	0.34303190913517845
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		main21	heldout_expression_loss	finite_response_h001	242.0	0.7019996668106663	0.305353670387867	0.28126884069881014	0.37019978679295706	0.2733538094250473	0.31069846106175397	0.3437387763578281
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		main21	heldout_expression_loss	local_reference	242.0	0.7022423196702405	0.30534706521107113	0.28126884069881014	0.37019978679295706	0.27328443717547046	0.31069846106175397	0.3437387763578281
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		main21	heldout_expression_loss	source_boundary_proximity	242.0	0.09766069650343102	0.3632408641117997	0.28126884069881014	0.37019978679295706	0.9310361362777625	0.36093157309690765	0.36736271153443345
HER2ST::B	manual_truth_controlled	row_softmax	0.25		main21	heldout_expression_loss	endpoint_response	242.0	0.08062163534650887	0.3791991280677738	0.28014424268862914	0.37221044379539125	1.0866851077186008	0.38770756613615504	0.38727220943368335
HER2ST::B	manual_truth_controlled	row_softmax	0.25		main21	heldout_expression_loss	finite_response_h001	242.0	0.22126871413189803	0.36261178334963023	0.28014424268862914	0.37221044379539125	0.9066539282893782	0.3785455812658102	0.3832575660745535
HER2ST::B	manual_truth_controlled	row_softmax	0.25		main21	heldout_expression_loss	local_reference	242.0	0.22266438637168104	0.36232980324269815	0.28014424268862914	0.37221044379539125	0.9035203923229057	0.3785455812658103	0.38325756607455364
HER2ST::B	manual_truth_controlled	row_softmax	0.25		main21	heldout_expression_loss	source_boundary_proximity	242.0	0.11627165647323043	0.3632878344360717	0.28014424268862914	0.37221044379539125	0.9099008354305524	0.3614213935664995	0.3681582310040702
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	main21	heldout_expression_loss	endpoint_response	242.0	0.894806390157225	0.2869137544912532	0.2796610178174411	0.3685256294404149	0.08289117890328394	0.30690700944168314	0.33983047548831435
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	main21	heldout_expression_loss	finite_response_h001	242.0	0.8949910418920802	0.28716505024922523	0.2796610178174411	0.3685256294404149	0.08589740566394258	0.3069452956531312	0.3398813984990353
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	main21	heldout_expression_loss	local_reference	242.0	0.8949732253728286	0.2871636002550948	0.2796610178174411	0.3685256294404149	0.08587656670761973	0.3069452956531312	0.3398813984990353
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	main21	heldout_expression_loss	source_boundary_proximity	242.0	0.09984173001919258	0.36149965696291764	0.2796610178174411	0.3685256294404149	0.929288553088828	0.3592736271096103	0.3655869068447716
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		main21	heldout_expression_loss	endpoint_response	150.5	0.5776925985368648	0.08992131629908781	0.07887165173806901	0.1257153097535244	0.23570498033233803	0.08947061659820452	0.09610690399913131
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		main21	heldout_expression_loss	finite_response_h001	150.5	0.6430959018352307	0.08840584928739675	0.07887165173806901	0.1257153097535244	0.20352960781415855	0.08879731843028194	0.09685892657891039
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		main21	heldout_expression_loss	local_reference	150.5	0.6434445810964322	0.08838094665194131	0.07887165173806901	0.1257153097535244	0.20299249019192872	0.08879731843028194	0.09685892657891039
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		main21	heldout_expression_loss	source_boundary_proximity	150.5	0.192418947181141	0.11965948746179508	0.07887165173806901	0.1257153097535244	0.871958645382064	0.1214104776338529	0.12539401371827724
HER2ST::C	manual_truth_controlled	row_softmax	0.25		main21	heldout_expression_loss	endpoint_response	150.5	0.3342889457569248	0.10759461595460015	0.0782831240539366	0.12628140084302172	0.6121880332597016	0.11100878573753445	0.12086055710842082
HER2ST::C	manual_truth_controlled	row_softmax	0.25		main21	heldout_expression_loss	finite_response_h001	150.5	0.3600390608202683	0.1019849636826892	0.0782831240539366	0.12628140084302172	0.4956659193947751	0.10673259673544044	0.11273198845408472
HER2ST::C	manual_truth_controlled	row_softmax	0.25		main21	heldout_expression_loss	local_reference	150.5	0.3597681227179296	0.10193011225009244	0.0782831240539366	0.12628140084302172	0.49452798061843384	0.10673259673544044	0.11181876962074508
HER2ST::C	manual_truth_controlled	row_softmax	0.25		main21	heldout_expression_loss	source_boundary_proximity	150.5	0.20753015229386945	0.11923739649238198	0.0782831240539366	0.12628140084302172	0.854204308536002	0.12112024585323614	0.12561425929469344
HER2ST::C	manual_truth_controlled	uot	0.25	2.0	main21	heldout_expression_loss	endpoint_response	150.5	0.8287172822090139	0.08179809533608193	0.07844232821851072	0.12534800321533832	0.07151265734926368	0.08274578560030042	0.09474533118288078
HER2ST::C	manual_truth_controlled	uot	0.25	2.0	main21	heldout_expression_loss	finite_response_h001	150.5	0.8376076140630231	0.08173403199594674	0.07844232821851072	0.12534800321533832	0.07020081971141574	0.08233876044976365	0.09457002264142156
HER2ST::C	manual_truth_controlled	uot	0.25	2.0	main21	heldout_expression_loss	local_reference	150.5	0.8377472668512783	0.08173403199594674	0.07844232821851072	0.12534800321533832	0.07020081971141574	0.08233876044976365	0.09457002264142156
HER2ST::C	manual_truth_controlled	uot	0.25	2.0	main21	heldout_expression_loss	source_boundary_proximity	150.5	0.19569794600793777	0.11912046473011423	0.07844232821851072	0.12534800321533832	0.8683620816415973	0.12084471556112504	0.12494984141260604
HER2ST::D	manual_truth_controlled	balanced_ot	0.25		main21	heldout_expression_loss	endpoint_response	229.5	0.5168246176497857	0.12542720164045157	0.11288360487925189	0.14370165830300324	0.4020434696740633	0.12930677578270097	0.13422372352262424
HER2ST::D	manual_truth_controlled	balanced_ot	0.25		main21	heldout_expression_loss	finite_response_h001	229.5	0.5433795586442659	0.12450930713864629	0.11288360487925189	0.14370165830300324	0.3729180423928234	0.1272579295164414	0.13371654059659754
HER2ST::D	manual_truth_controlled	balanced_ot	0.25		main21	heldout_expression_loss	local_reference	229.5	0.5439048040749316	0.12447758768149675	0.11288360487925189	0.14370165830300324	0.3719049098647976	0.1272579295164414	0.13371654059659754
HER2ST::D	manual_truth_controlled	balanced_ot	0.25		main21	heldout_expression_loss	source_boundary_proximity	229.5	-0.09461382701964624	0.14443813069345507	0.11288360487925189	0.14370165830300324	1.0213258480787213	0.14294945910933435	0.1426823772229749
HER2ST::D	manual_truth_controlled	row_softmax	0.25		main21	heldout_expression_loss	endpoint_response	229.5	-0.31736412342481146	0.15239459210773879	0.11230310836659695	0.1442184533682073	1.2585026374957033	0.15065567341068747	0.14525849895609394
HER2ST::D	manual_truth_controlled	row_softmax	0.25		main21	heldout_expression_loss	finite_response_h001	229.5	-0.2605355143620331	0.1504176199884046	0.11230310836659695	0.1442184533682073	1.19684169890174	0.14905283562348695	0.1451200277918692
HER2ST::D	manual_truth_controlled	row_softmax	0.25		main21	heldout_expression_loss	local_reference	229.5	-0.25996578321674224	0.15040549653312607	0.11230310836659695	0.1442184533682073	1.1964558151010978	0.14905283562348698	0.14512002779186922
HER2ST::D	manual_truth_controlled	row_softmax	0.25		main21	heldout_expression_loss	source_boundary_proximity	229.5	-0.07547394904503152	0.14365492894589088	0.11230310836659695	0.1442184533682073	0.9807542927976347	0.14230278459109347	0.14250270854082397
