method,epsilon,tau,grid_role,arm,intervention,score,claim_status,gate_family,independent_units,median_spearman,median_top_decile_overlap,median_nmae,unit_gate_pass_fraction,spearman_gate_pass,overlap_gate_pass,nmae_gate_pass,gate_pass,witness,median_nex_aurc,median_relative_fixed_qc_gain,positive_unit_fraction,positive_technology_count,leave_one_unit_out_fixed_qc_low,negative_control_pass_fraction,leakage_control_pass_fraction,confound_direction_pass_fraction,sensitivity_external_gate,sensitivity_external_gate_with_controls,registered_gate_status,confirmatory
balanced_ot,0.5,,epsilon_scan,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.9680567378029947,0.7083333333333333,1.0477775153326552,0.0,True,True,False,False,,,,,,,,,,,,,
row_softmax,0.1,,epsilon_scan,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.9091887276394346,0.625,0.8262286021004077,0.0,True,True,False,False,,,,,,,,,,,,,
row_softmax,0.1,,epsilon_scan,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.7534725953211535,0.47000000000000003,2.20758559280012,0.0,True,False,False,False,,,,,,,,,,,,,
row_softmax,0.1,,epsilon_scan,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.6901534898459956,0.25666666666666665,2.3389640521839032,0.0,False,False,False,False,,,,,,,,,,,,,
row_softmax,0.1,,epsilon_scan,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.6634928202190313,0.3416666666666667,3.226032454458011,0.0,False,False,False,False,,,,,,,,,,,,,
row_softmax,0.1,,epsilon_scan,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.8925846055931581,0.6333333333333333,1.6671294016503606,0.0,True,True,False,False,,,,,,,,,,,,,
row_softmax,0.1,,epsilon_scan,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.8925846055931581,0.6333333333333333,1.6671294016503606,0.0,True,True,False,False,,,,,,,,,,,,,
row_softmax,0.1,,epsilon_scan,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.47054338424150416,0.33166666666666667,3.9108182999147396,0.0,False,False,False,False,,,,,,,,,,,,,
row_softmax,0.1,,epsilon_scan,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.47054338424150416,0.33166666666666667,3.9108182999147396,0.0,False,False,False,False,,,,,,,,,,,,,
row_softmax,0.25,,baseline,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.9055233304548136,0.625,2.1323244566836017,0.0,True,True,False,False,,,,,,,,,,,,,
row_softmax,0.25,,baseline,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.46444934153304074,0.43166666666666664,3.362318482785607,0.0,False,False,False,False,,,,,,,,,,,,,
