dataset,pair_type,biological_pair_id,direction,pair_id,independent_unit_id,method,epsilon,tau,grid_role,parameter_index,pair_file_id,arm,intervention,score,spearman,top_decile_overlap,raw_mae,reference_mad,nmae,reference_response_median,reference_response_iqr,estimable,spearman_gate_pass,overlap_gate_pass,nmae_gate_pass,gate_pass,claim_status
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,1,DLPFCML_151507_151508,R,I_SPATIAL,registered_finite_difference_fixed_score,0.33143938286194796,0.23333333333333334,0.18627895136083497,0.08069664868115997,2.3083852229953266,0.47375754104098533,0.1609424120290363,True,False,False,False,False,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,1,DLPFCML_151507_151508,N,I_EXPR,matched_finite_difference,0.7429094999597778,0.6133333333333333,0.07462124201937814,0.013578775635553778,5.495432285072504,0.19620645423345323,0.027013293079542477,True,True,True,False,False,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,1,DLPFCML_151507_151508,N,I_EXPR,registered_finite_difference_fixed_score,-0.2126625514055784,0.06,0.14295735134323487,0.013578775635553778,10.528000106940768,0.19620645423345323,0.027013293079542477,True,False,False,False,False,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,1,DLPFCML_151507_151508,N,I_SPATIAL,matched_finite_difference,0.35205288180128086,0.24,0.1842677143159786,0.07873264274907274,2.3404233349978436,0.46444050324185215,0.1598481519216151,True,False,False,False,False,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,1,DLPFCML_151507_151508,N,I_SPATIAL,registered_finite_difference_fixed_score,0.35371859987493326,0.23333333333333334,0.17878578240649334,0.07873264274907274,2.270796154732136,0.46444050324185215,0.1598481519216151,True,False,False,False,False,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,2,DLPFCML_151507_151508,R,I_EXPR,matched_finite_difference,0.9998779555013136,0.9933333333333333,0.0001846002405600707,0.004878578970544419,0.03783893664008282,0.023247141945975287,0.011344871629978864,True,True,True,True,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,2,DLPFCML_151507_151508,R,I_EXPR,registered_finite_difference_fixed_score,0.9998779555013136,0.9933333333333333,0.0001846002405600707,0.004878578970544419,0.03783893664008282,0.023247141945975287,0.011344871629978864,True,True,True,True,True,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,2,DLPFCML_151507_151508,R,I_SPATIAL,matched_finite_difference,0.961706937647528,0.6866666666666666,0.07117980725650505,0.07060471780346522,1.0081451986627954,0.3125149117190975,0.14146696382182072,True,True,True,False,False,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,2,DLPFCML_151507_151508,R,I_SPATIAL,registered_finite_difference_fixed_score,0.961706937647528,0.6866666666666666,0.07117980725650505,0.07060471780346522,1.0081451986627954,0.3125149117190975,0.14146696382182072,True,True,True,False,False,post-review sensitivity analysis; manual cortical-layer extension
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,2,DLPFCML_151507_151508,N,I_EXPR,matched_finite_difference,0.934264489895329,0.74,0.0557201562559078,0.016605024404018662,3.3556202568677165,0.17626699885499914,0.033185423153397314,True,True,True,False,False,post-review sensitivity analysis; manual cortical-layer extension
