dataset,pair_type,biological_pair_id,direction,pair_id,independent_unit_id,method,epsilon,tau,grid_role,parameter_index,pair_file_id,arm,stage,intervention,expression_weight,spatial_weight,ce_positive_median,cs_positive_median,mixed_cost_positive_median,cost_over_epsilon_q05,cost_over_epsilon_median,cost_over_epsilon_q95,plan_entropy,transported_mass,solver_iterations,converged,runtime_seconds,peak_memory_mb,memory_measurement,solver_last_error,row_mass_l1,col_mass_l1
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,1,DLPFCML_151507_151508,R,full_endpoint,I_EXPR,0.0,0.5,1.0,1.0,0.5,0.13830585188244357,2.0,6.859465598748634,13.980126656544062,0.9999999999999996,200,True,10.89683420000074,401.45703125,process_rss_after_solve,3.552713678800501e-15,9.544231724389896e-16,1.3664199979834812e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,1,DLPFCML_151507_151508,R,matched_fd,I_EXPR,0.495,0.5,1.0,1.0,1.0113907827151736,1.7043401083486798,4.045563130860694,9.15930031588857,13.948949185139425,0.9999999999999997,200,True,11.038971799998762,401.45703125,process_rss_after_solve,3.552713678800501e-15,6.001059024707267e-16,1.2684081215907916e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,1,DLPFCML_151507_151508,R,full_endpoint,I_SPATIAL,0.5,0.0,1.0,1.0,0.5,1.1204337981706536,2.0,3.1044944702283215,14.616520744583609,0.9999999999999992,200,True,10.936102100000426,487.30859375,process_rss_after_solve,3.552713678800501e-15,6.843484112728504e-16,1.2806596061398778e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,1,DLPFCML_151507_151508,R,matched_fd,I_SPATIAL,0.5,0.495,1.0,1.0,1.0117803649150217,1.715316165290071,4.047121459660087,9.115738042543335,13.95474662773322,1.0,200,True,11.147621800000707,487.30859375,process_rss_after_solve,0.0,6.03900610074426e-16,1.2800090848363865e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,1,DLPFCML_151507_151508,N,full_endpoint,I_EXPR,0.0,1.0,1.0,1.0,1.0,0.27661170376488714,4.0,13.718931197497268,13.511414307820543,1.0000000000000002,200,True,11.255188199998884,573.09375,process_rss_after_solve,0.0,6.186457596202288e-16,1.2890079628680162e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,1,DLPFCML_151507_151508,N,matched_fd,I_EXPR,0.495,0.505,1.0,1.0,1.0162614441637685,1.707563328628418,4.065045776655074,9.226806135447356,13.942783579723066,0.9999999999999996,200,True,11.111528999999791,573.09375,process_rss_after_solve,1.7763568394002505e-15,6.079121581126223e-16,1.2662397172458206e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,1,DLPFCML_151507_151508,N,full_endpoint,I_SPATIAL,1.0,0.0,1.0,1.0,1.0,2.240867596341307,4.0,6.208988940456643,14.586225670738985,1.0000000000000004,200,True,10.979839800000263,418.59375,process_rss_after_solve,3.552713678800501e-15,9.475926987523309e-16,1.3785630623153189e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,1,DLPFCML_151507_151508,N,matched_fd,I_SPATIAL,0.505,0.495,1.0,1.0,1.0171058514682074,1.7292988383319552,4.06842340587283,9.140346812089762,13.954335242681147,0.9999999999999994,200,True,10.963519099999758,418.59375,process_rss_after_solve,1.7763568394002505e-15,6.199468022272114e-16,1.2713354674565025e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.125,,scale_equivalence,1,DLPFCML_151507_151508,S,full_endpoint,I_EXPR,0.0,0.5,1.0,1.0,0.5,0.27661170376488714,4.0,13.718931197497268,13.511414307820543,1.0000000000000002,200,True,11.022559199998796,480.64453125,process_rss_after_solve,0.0,6.186457596202288e-16,1.2890079628680162e-15
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151507_151508,forward,DLPFCML_151507_151508,spatialLIBD_manual::Br5292,balanced_ot,0.125,,scale_equivalence,1,DLPFCML_151507_151508,S,full_endpoint,I_SPATIAL,0.5,0.0,1.0,1.0,0.5,2.240867596341307,4.0,6.208988940456643,14.586225670738985,1.0000000000000004,200,True,10.858449800000017,514.98046875,process_rss_after_solve,3.552713678800501e-15,9.475926987523309e-16,1.3785630623153189e-15
