dataset,pair_type,biological_pair_id,direction,pair_id,independent_unit_id,method,epsilon,tau,grid_role,parameter_index,pair_file_id,intervention,exact_max_abs_difference,fd_max_abs_difference,frozen_path_exists
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151671_151672,reverse,DLPFCML_151671_151672__reverse,spatialLIBD_manual::Br5595,row_softmax,0.25,,baseline,1,DLPFCML_151671_151672__reverse,ALL,,,False
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151673_151674,forward,DLPFCML_151673_151674,spatialLIBD_manual::Br8100,balanced_ot,0.25,,baseline,1,DLPFCML_151673_151674,ALL,,,False
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151673_151674,forward,DLPFCML_151673_151674,spatialLIBD_manual::Br8100,uot,0.25,2.0,baseline,1,DLPFCML_151673_151674,ALL,,,False
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151673_151674,forward,DLPFCML_151673_151674,spatialLIBD_manual::Br8100,row_softmax,0.25,,baseline,1,DLPFCML_151673_151674,ALL,,,False
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151673_151674,reverse,DLPFCML_151673_151674__reverse,spatialLIBD_manual::Br8100,balanced_ot,0.25,,baseline,1,DLPFCML_151673_151674__reverse,ALL,,,False
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151673_151674,reverse,DLPFCML_151673_151674__reverse,spatialLIBD_manual::Br8100,uot,0.25,2.0,baseline,1,DLPFCML_151673_151674__reverse,ALL,,,False
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151673_151674,reverse,DLPFCML_151673_151674__reverse,spatialLIBD_manual::Br8100,row_softmax,0.25,,baseline,1,DLPFCML_151673_151674__reverse,ALL,,,False
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151675_151676,forward,DLPFCML_151675_151676,spatialLIBD_manual::Br8100,balanced_ot,0.25,,baseline,1,DLPFCML_151675_151676,ALL,,,False
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151675_151676,forward,DLPFCML_151675_151676,spatialLIBD_manual::Br8100,uot,0.25,2.0,baseline,1,DLPFCML_151675_151676,ALL,,,False
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151675_151676,forward,DLPFCML_151675_151676,spatialLIBD_manual::Br8100,row_softmax,0.25,,baseline,1,DLPFCML_151675_151676,ALL,,,False
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151675_151676,reverse,DLPFCML_151675_151676__reverse,spatialLIBD_manual::Br8100,balanced_ot,0.25,,baseline,1,DLPFCML_151675_151676__reverse,ALL,,,False
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151675_151676,reverse,DLPFCML_151675_151676__reverse,spatialLIBD_manual::Br8100,uot,0.25,2.0,baseline,1,DLPFCML_151675_151676__reverse,ALL,,,False
spatialLIBD_manual_layers,within_donor_adjacent_replicates,DLPFCML_151675_151676,reverse,DLPFCML_151675_151676__reverse,spatialLIBD_manual::Br8100,row_softmax,0.25,,baseline,1,DLPFCML_151675_151676__reverse,ALL,,,False
