independent_unit_id	model	pair_purity	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST::A	linear32	0.0	0.0008503401360544217	0.015178854323293745	0.03152925044030379	0.018266727085890888	153.29166666666666	0.7285096448240661	-0.0013277329756723102
HER2ST::A	linear32	0.5	0.003965839013307368	0.014226115497589276	0.033416247936478495	0.021760910427482377	144.20833333333334	0.7313253166948919	0.01433173578698188
HER2ST::A	linear32	1.0	0.008978472447618017	0.019105292771658053	0.03921682137098051	0.02710416615588807	136.41666666666666	0.7454037576974963	0.03130647734118005
HER2ST::A	mlp128_64_32	0.0	0.0025373931623931625	0.017983576098404307	0.02809268100294321	0.01996962166968647	152.66666666666669	0.703202423455588	-0.08687815070152283
HER2ST::A	mlp128_64_32	0.5	0.002848833802156587	0.009396841542524181	0.021731391829154033	0.016888683520064555	157.25	0.7314465612329537	-0.08108229058173796
HER2ST::A	mlp128_64_32	1.0	0.0030356305672761368	0.007215742783102639	0.02076616883635419	0.017441231780601113	146.04166666666669	0.7425749208722762	-0.03638424181068937
HER2ST::A	mlp64_32	0.0	0.003965839013307368	0.023298083500954206	0.046169427213165914	0.02376951619863185	150.54166666666669	0.6916579831786658	-0.03980284195858985
HER2ST::A	mlp64_32	0.5	0.0028311183826554534	0.011181581796410007	0.02710871565980065	0.01806718031108568	153.16666666666669	0.7126672597796015	-0.036425030208192766
HER2ST::A	mlp64_32	1.0	0.003681458518709875	0.012010014841163123	0.02146900927416298	0.017958942334638475	153.41666666666666	0.7406954361859426	-0.01761720442057898
HER2ST::B	linear32	0.0	0.0012077294685990338	0.02107401020444499	0.04585215862389776	0.022515745612242493	119.25	0.28038532250488774	0.002317967140697875
HER2ST::B	linear32	0.5	0.0012077294685990338	0.01850758508367204	0.035932919085092996	0.023131951490982457	112.125	0.31996697078218816	0.02634774746062855
HER2ST::B	linear32	1.0	0.007196054750402576	0.030201997593301944	0.05940949419210289	0.03523646881996963	81.625	0.3856162592575636	0.08720172281997898
HER2ST::B	mlp128_64_32	0.0	0.0034473879582575234	0.02187981671677324	0.03598324114628462	0.02402483988367246	117.375	0.2881293737271998	-0.09503205151607594
HER2ST::B	mlp128_64_32	0.5	0.00233385559472516	0.015386310223266746	0.03389389530693879	0.022323632005427835	117.45833333333334	0.30772657538961884	-0.048960324920093015
HER2ST::B	mlp128_64_32	1.0	0.0024154589371980675	0.010593120647468474	0.03032102896233331	0.0223231033647086	102.08333333333333	0.30111015165362987	0.07220147278470299
HER2ST::B	mlp64_32	0.0	0.0022835335335335337	0.02750400033008729	0.046099335501509416	0.025185822867554275	119.79166666666666	0.2686358012444969	-0.037847284305219844
HER2ST::B	mlp64_32	0.5	0.0010822510822510823	0.009078318860927557	0.029944593803289454	0.019656238705055423	113.79166666666667	0.25892576300184994	-0.019457424602781735
HER2ST::B	mlp64_32	1.0	0.0	0.016518883366709453	0.03398164539468887	0.02176893535974371	97.25	0.30521591255286906	0.07489262381568551
HER2ST::C	linear32	0.0	0.009637188208616778	0.03867788370784124	0.06613561476774488	0.04011195326702148	80.70833333333334	0.6863023050021672	-0.006276118103414774
HER2ST::C	linear32	0.5	0.012577823717878151	0.05138505581850815	0.09089256803118298	0.0512009215327415	59.625	0.667516883856965	0.042056175880134106
HER2ST::C	linear32	1.0	0.017370986965404425	0.07023058798108012	0.13149238708529354	0.060719160821060436	51.75	0.7066618384922507	0.09856509199986854
HER2ST::C	mlp128_64_32	0.0	0.009307599008595686	0.03511025321453974	0.05690618088793467	0.03655230955211819	75.41666666666666	0.6806194116898034	-0.07801277601780991
HER2ST::C	mlp128_64_32	0.5	0.012508879520800566	0.03926128969265906	0.054809218071800475	0.04292406345767867	67.5	0.6690633239493566	-0.05943510873961107
HER2ST::C	mlp128_64_32	1.0	0.005952380952380952	0.029768657321124707	0.06186545330932523	0.037589602507716355	64.95833333333333	0.7027915344621494	0.01899958159386491
HER2ST::C	mlp64_32	0.0	0.01065813922468212	0.039910925610554294	0.06548619636926428	0.041333583078199204	77.08333333333334	0.6853665932245463	-0.028080450681348644
HER2ST::C	mlp64_32	0.5	0.011293976845795984	0.04179401009789433	0.0830395875498999	0.0451602452083562	66.25	0.6861822626573791	0.00032432648974160296
HER2ST::C	mlp64_32	1.0	0.013513157200864842	0.03776068945256302	0.067898250243565	0.04612300615403772	59.5	0.6938997663727997	0.052835147903048586
HER2ST::D	linear32	0.0	0.006301641661230702	0.019964789929430075	0.039313694355415804	0.026494576863957314	112.79166666666666	0.5430906612825375	-0.001532245010215168
HER2ST::D	linear32	0.5	0.0012254901960784314	0.022460831604932285	0.05778189682506023	0.02788441895638112	98.0	0.528865757430105	0.03287208065739833
HER2ST::D	linear32	1.0	0.002876984126984127	0.037391103160802894	0.0662498687290345	0.03413919133148112	95.375	0.6045129897669232	0.0558546685303251
