independent_unit_id	pair_id	direction	model	pair_purity	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST::A	HER2ST_A1_CONTROLLED	forward	linear32	0.0	0.0017006802721088435	0.01660405723470823	0.03657404417463188	0.02132074993372014	128.41666666666666	0.7471843695284021	0.007832304787977288
HER2ST::A	HER2ST_A1_CONTROLLED	forward	linear32	0.5	0.004219409282700422	0.013611721059731909	0.030251209133442408	0.021074520806786567	127.33333333333333	0.7312629165590288	0.01007838873192668
HER2ST::A	HER2ST_A1_CONTROLLED	forward	linear32	1.0	0.010790260196905765	0.027838772639857633	0.0500247567381383	0.03218032633879169	115.91666666666667	0.7624712068371653	0.03957503940910101
HER2ST::A	HER2ST_A1_CONTROLLED	forward	mlp128_64_32	0.0	0.003472222222222222	0.010754829357903499	0.023548501679152675	0.019279707814957938	145.08333333333334	0.7233649789029536	-0.08770718177159627
HER2ST::A	HER2ST_A1_CONTROLLED	forward	mlp128_64_32	0.5	0.003845815752461322	0.009018718246792387	0.02255957762851976	0.01781621232054703	144.83333333333334	0.7281934398231867	-0.08822436879078548
HER2ST::A	HER2ST_A1_CONTROLLED	forward	mlp128_64_32	1.0	0.0	0.0017006802721088435	0.020040848617928184	0.015660889072359695	142.83333333333334	0.7400143337925887	-0.04532846622169018
HER2ST::A	HER2ST_A1_CONTROLLED	forward	mlp64_32	0.0	0.006329113924050633	0.02222141493728293	0.04780875957978128	0.024991964251132273	137.0	0.7064456320502884	-0.030100605140129726
HER2ST::A	HER2ST_A1_CONTROLLED	forward	mlp64_32	0.5	0.0017006802721088435	0.0017006802721088435	0.022185984098280664	0.015490044735111374	143.5	0.7170295860960417	-0.0501393818606933
HER2ST::A	HER2ST_A1_CONTROLLED	forward	mlp64_32	1.0	0.003401360544217687	0.014494352593358018	0.023886664370389502	0.018692219952560127	139.91666666666666	0.7420886075949368	-0.026399145756537717
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	linear32	0.0	0.0	0.01375365141187926	0.026484456705975695	0.015212704238061633	178.16666666666666	0.7098349201197302	-0.010487770739321908
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	linear32	0.5	0.0037122687439143133	0.014840509935446645	0.036581286739514586	0.022447300048178184	161.08333333333334	0.7313877168307549	0.01858508284203708
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	linear32	1.0	0.007166684698330268	0.010371812903458474	0.028408886003822714	0.022028005972984446	156.91666666666666	0.7283363085578275	0.023037915273259085
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	mlp128_64_32	0.0	0.0016025641025641027	0.025212322838905118	0.03263686032673375	0.020659535524415	160.25	0.6830398680082225	-0.08604911963144939
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	mlp128_64_32	0.5	0.001851851851851852	0.009774964838255977	0.020903206029788308	0.01596115471958208	169.66666666666666	0.7346996826427207	-0.07394021237269044
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	mlp128_64_32	1.0	0.0060712611345522735	0.012730805294096434	0.021491489054780193	0.01922157448884253	149.25	0.7451355079519636	-0.02744001739968856
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	mlp64_32	0.0	0.0016025641025641027	0.024374752064625485	0.044530094846550544	0.022547068146131433	164.08333333333334	0.6768703343070431	-0.04950507877704998
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	mlp64_32	0.5	0.003961556493202063	0.020662483320711172	0.03203144722132064	0.020644315887059988	162.83333333333334	0.7083049334631614	-0.022710678555692237
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	mlp64_32	1.0	0.003961556493202063	0.009525677088968228	0.019051354177936457	0.017225664716716826	166.91666666666666	0.7393022647769483	-0.008835263084620237
HER2ST::B	HER2ST_B1_CONTROLLED	forward	linear32	0.0	0.0024154589371980675	0.01899725812769291	0.05214725595160378	0.024570175295283807	112.33333333333333	0.2938781172476825	-0.01471992454996022
HER2ST::B	HER2ST_B1_CONTROLLED	forward	linear32	0.5	0.0	0.016279866823345084	0.03255973364669017	0.02253561289792669	111.58333333333333	0.3257360621491056	0.009708050483216843
HER2ST::B	HER2ST_B1_CONTROLLED	forward	linear32	1.0	0.00714573268921095	0.02326239282761022	0.05344474909692301	0.034194628788107306	74.25	0.45069798058928495	0.08333295257762074
HER2ST::B	HER2ST_B1_CONTROLLED	forward	mlp128_64_32	0.0	0.004730273752012883	0.01869532576054315	0.03266037776907342	0.02434060185235903	108.91666666666667	0.22200189319754537	-0.08782839588820934
HER2ST::B	HER2ST_B1_CONTROLLED	forward	mlp128_64_32	0.5	0.0022522522522522522	0.016279866823345084	0.03255973364669017	0.022979337037119935	107.25	0.3572186316751534	-0.05303073953837156
HER2ST::B	HER2ST_B1_CONTROLLED	forward	mlp128_64_32	1.0	0.004830917874396135	0.014190821256038648	0.037491295643469556	0.02630556970451597	92.83333333333333	0.35781977629803713	0.05965535435825586
HER2ST::B	HER2ST_B1_CONTROLLED	forward	mlp64_32	0.0	0.004567067067067067	0.03693911302606955	0.052892566479523	0.02871194195495201	111.41666666666667	0.2534708621665143	-0.05036836691821615
HER2ST::B	HER2ST_B1_CONTROLLED	forward	mlp64_32	0.5	0.0	0.007083170126648389	0.025414000957479217	0.0179254455759397	107.41666666666667	0.26877692910301604	-0.043082076435287796
HER2ST::B	HER2ST_B1_CONTROLLED	forward	mlp64_32	1.0	0.0	0.016380510945728337	0.037064238151194674	0.022081773159890416	89.0	0.3763518953736345	0.07734892362107833
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	linear32	0.0	0.0	0.023150762281197067	0.039557061296191735	0.02046131592920118	126.16666666666667	0.266892527762093	0.01935585883135597
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	linear32	0.5	0.0024154589371980675	0.020735303343998996	0.03930610452349583	0.023728290084038223	112.66666666666667	0.3141978794152707	0.042987444438040257
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	linear32	1.0	0.007246376811594203	0.037141602358993664	0.06537423928728277	0.03627830885183195	89.0	0.32053453792584224	0.09107049306233723
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	mlp128_64_32	0.0	0.0021645021645021645	0.025064307673003328	0.03930610452349583	0.023709077914985888	125.83333333333333	0.35425685425685427	-0.10223570714394252
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	mlp128_64_32	0.5	0.0024154589371980675	0.014492753623188406	0.0352280569671874	0.021667926973735735	127.66666666666667	0.2582345191040843	-0.044889910301814474
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	mlp128_64_32	1.0	0.0	0.0069954200388983	0.023150762281197067	0.018340637024901234	111.33333333333333	0.24440052700922266	0.0847475912111501
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	mlp64_32	0.0	0.0	0.018068887634105028	0.03930610452349583	0.02165970378015654	128.16666666666666	0.28380074032247943	-0.02532620169222355
