independent_unit_id	pair_id	direction	fold	repeat	model	pair_purity	n_train_available	n_train_selected	n_test	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST::A	HER2ST_A1_CONTROLLED	forward	1	0	mlp128_64_32	1.0	177	142	96	0.0	0.0	0.0	0.009687160255269103	150.5	0.8645833333333334	-0.09541702270507812
HER2ST::A	HER2ST_A1_CONTROLLED	forward	1	1	linear32	0.0	177	142	96	0.0	0.020833333333333332	0.020833333333333332	0.01790675716062805	141.0	0.8333333333333334	-0.008611942641437054
HER2ST::A	HER2ST_A1_CONTROLLED	forward	1	1	mlp64_32	0.0	177	142	96	0.0	0.052083333333333336	0.07291666666666667	0.026136657421701653	135.0	0.8229166666666666	-0.01616847701370716
HER2ST::A	HER2ST_A1_CONTROLLED	forward	1	1	mlp128_64_32	0.0	177	142	96	0.0	0.0	0.0	0.009756687866267143	164.0	0.78125	-0.13721930980682373
HER2ST::A	HER2ST_A1_CONTROLLED	forward	1	1	linear32	0.5	177	142	96	0.0	0.010416666666666666	0.03125	0.02066080401953017	104.5	0.8958333333333334	0.05263416841626167
HER2ST::A	HER2ST_A1_CONTROLLED	forward	1	1	mlp64_32	0.5	177	142	96	0.0	0.0	0.010416666666666666	0.01268761842965893	149.5	0.78125	-0.047897327691316605
HER2ST::A	HER2ST_A1_CONTROLLED	forward	1	1	mlp128_64_32	0.5	177	142	96	0.010416666666666666	0.020833333333333332	0.020833333333333332	0.024998140616769582	147.5	0.8125	-0.10101389139890671
HER2ST::A	HER2ST_A1_CONTROLLED	forward	1	1	linear32	1.0	177	142	96	0.010416666666666666	0.03125	0.052083333333333336	0.031540531734398185	104.5	0.9166666666666666	0.06163899973034859
HER2ST::A	HER2ST_A1_CONTROLLED	forward	1	1	mlp64_32	1.0	177	142	96	0.0	0.0	0.020833333333333332	0.014642588873253435	126.5	0.8541666666666666	0.007267273496836424
HER2ST::A	HER2ST_A1_CONTROLLED	forward	1	1	mlp128_64_32	1.0	177	142	96	0.0	0.0	0.03125	0.01607434935547381	138.5	0.8958333333333334	-0.02618710696697235
HER2ST::A	HER2ST_A1_CONTROLLED	forward	2	0	linear32	0.0	175	140	98	0.0	0.01020408163265306	0.04081632653061224	0.021681683150406493	110.0	0.8469387755102041	0.03126032277941704
HER2ST::A	HER2ST_A1_CONTROLLED	forward	2	0	mlp64_32	0.0	175	140	98	0.0	0.030612244897959183	0.07142857142857142	0.02440254417334295	128.0	0.8061224489795918	-0.015897264704108238
HER2ST::A	HER2ST_A1_CONTROLLED	forward	2	0	mlp128_64_32	0.0	175	140	98	0.0	0.01020408163265306	0.030612244897959183	0.015981095174828278	156.5	0.7551020408163265	-0.11340111494064331
HER2ST::A	HER2ST_A1_CONTROLLED	forward	2	0	linear32	0.5	175	140	98	0.0	0.01020408163265306	0.030612244897959183	0.0170696570883463	111.5	0.7653061224489796	0.018100757151842117
HER2ST::A	HER2ST_A1_CONTROLLED	forward	2	0	mlp64_32	0.5	175	140	98	0.0	0.0	0.02040816326530612	0.014488715013109473	131.0	0.7346938775510204	-0.07205604761838913
HER2ST::A	HER2ST_A1_CONTROLLED	forward	2	0	mlp128_64_32	0.5	175	140	98	0.0	0.01020408163265306	0.030612244897959183	0.01691988972562075	129.5	0.7551020408163265	-0.05726217105984688
HER2ST::A	HER2ST_A1_CONTROLLED	forward	2	0	linear32	1.0	175	140	98	0.0	0.0	0.02040816326530612	0.020737664986393612	107.5	0.826530612244898	0.05469169095158577
HER2ST::A	HER2ST_A1_CONTROLLED	forward	2	0	mlp64_32	1.0	175	140	98	0.01020408163265306	0.02040816326530612	0.02040816326530612	0.022292890298312076	152.5	0.7653061224489796	-0.08908040821552277
HER2ST::A	HER2ST_A1_CONTROLLED	forward	2	0	mlp128_64_32	1.0	175	140	98	0.0	0.01020408163265306	0.030612244897959183	0.01865404975844878	158.5	0.7448979591836735	-0.06307246536016464
HER2ST::A	HER2ST_A1_CONTROLLED	forward	2	1	linear32	0.0	175	140	98	0.01020408163265306	0.030612244897959183	0.07142857142857142	0.03234102477419356	133.5	0.7551020408163265	0.005874925758689642
HER2ST::A	HER2ST_A1_CONTROLLED	forward	2	1	mlp64_32	0.0	175	140	98	0.0	0.0	0.02040816326530612	0.012395236855074248	147.5	0.7755102040816326	-0.03877592831850052
HER2ST::A	HER2ST_A1_CONTROLLED	forward	2	1	mlp128_64_32	0.0	175	140	98	0.0	0.0	0.01020408163265306	0.013155415634478099	155.5	0.7448979591836735	-0.099437415599823
HER2ST::A	HER2ST_A1_CONTROLLED	forward	2	1	linear32	0.5	175	140	98	0.0	0.0	0.01020408163265306	0.013214412225594423	129.0	0.7448979591836735	0.0075151934288442135
HER2ST::A	HER2ST_A1_CONTROLLED	forward	2	1	mlp64_32	0.5	175	140	98	0.01020408163265306	0.01020408163265306	0.02040816326530612	0.0199339371207139	159.5	0.8367346938775511	-0.06337560713291168
HER2ST::A	HER2ST_A1_CONTROLLED	forward	2	1	mlp128_64_32	0.5	175	140	98	0.0	0.0	0.01020408163265306	0.011944291084684838	154.5	0.8163265306122449	-0.10606076568365097
HER2ST::A	HER2ST_A1_CONTROLLED	forward	2	1	linear32	1.0	175	140	98	0.0	0.02040816326530612	0.04081632653061224	0.02081284903102483	130.5	0.7653061224489796	0.027251457795500755
HER2ST::A	HER2ST_A1_CONTROLLED	forward	2	1	mlp64_32	1.0	175	140	98	0.01020408163265306	0.02040816326530612	0.030612244897959183	0.024502071406503227	127.5	0.7346938775510204	-0.0048484113067388535
HER2ST::A	HER2ST_A1_CONTROLLED	forward	2	1	mlp128_64_32	1.0	175	140	98	0.0	0.0	0.02040816326530612	0.01772035287506244	142.5	0.7448979591836735	-0.025890333577990532
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	0	0	linear32	0.0	169	136	104	0.0	0.0	0.0	0.009034695431357237	193.0	0.7980769230769231	-0.02573680691421032
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	0	0	mlp64_32	0.0	169	136	104	0.0	0.028846153846153848	0.04807692307692308	0.02373696097664208	178.0	0.8076923076923077	-0.09922121465206146
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	0	0	mlp128_64_32	0.0	169	136	104	0.009615384615384616	0.028846153846153848	0.038461538461538464	0.028819184193998766	167.0	0.8846153846153846	-0.09830625355243683
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	0	0	linear32	0.5	169	136	104	0.0	0.009615384615384616	0.028846153846153848	0.013783223052934019	181.0	0.7596153846153846	-0.02150738425552845
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	0	0	mlp64_32	0.5	169	136	104	0.0	0.028846153846153848	0.028846153846153848	0.01926608987703056	137.5	0.8173076923076923	-0.011851275339722633
