independent_unit_id	model	mrr_q0	mrr_q05	mrr_q1	mrr_q1_minus_q0	top10_q0	top10_q05	top10_q1	top10_q1_minus_q0	mrr_non_decreasing
HER2ST::A	linear32	0.018266727085890888	0.021760910427482377	0.02710416615588807	0.00883743906999718	0.03152925044030379	0.033416247936478495	0.03921682137098051	0.007687570930676721	True
HER2ST::A	mlp128_64_32	0.01996962166968647	0.016888683520064555	0.017441231780601113	-0.0025283898890853564	0.02809268100294321	0.021731391829154033	0.02076616883635419	-0.007326512166589021	False
HER2ST::A	mlp64_32	0.02376951619863185	0.01806718031108568	0.017958942334638475	-0.005810573863993376	0.046169427213165914	0.02710871565980065	0.02146900927416298	-0.024700417939002933	False
HER2ST::B	linear32	0.022515745612242493	0.023131951490982457	0.03523646881996963	0.012720723207727134	0.04585215862389776	0.035932919085092996	0.05940949419210289	0.013557335568205132	True
HER2ST::B	mlp128_64_32	0.02402483988367246	0.022323632005427835	0.0223231033647086	-0.0017017365189638603	0.03598324114628462	0.03389389530693879	0.03032102896233331	-0.005662212183951312	False
HER2ST::B	mlp64_32	0.025185822867554275	0.019656238705055423	0.02176893535974371	-0.003416887507810565	0.046099335501509416	0.029944593803289454	0.03398164539468887	-0.012117690106820546	False
HER2ST::C	linear32	0.04011195326702148	0.0512009215327415	0.060719160821060436	0.020607207554038956	0.06613561476774488	0.09089256803118298	0.13149238708529354	0.06535677231754866	True
HER2ST::C	mlp128_64_32	0.03655230955211819	0.04292406345767867	0.037589602507716355	0.0010372929555981653	0.05690618088793467	0.054809218071800475	0.06186545330932523	0.004959272421390562	False
HER2ST::C	mlp64_32	0.041333583078199204	0.0451602452083562	0.04612300615403772	0.004789423075838517	0.06548619636926428	0.0830395875498999	0.067898250243565	0.0024120538743007125	True
HER2ST::D	linear32	0.026494576863957314	0.02788441895638112	0.03413919133148112	0.007644614467523805	0.039313694355415804	0.05778189682506023	0.0662498687290345	0.0269361743736187	True
HER2ST::D	mlp128_64_32	0.024082920849675175	0.020109893382706093	0.019702330151490068	-0.004380590698185107	0.045197863211614855	0.035938021928309895	0.02349478147423353	-0.021703081737381325	False
HER2ST::D	mlp64_32	0.024778335489937527	0.022575413503920783	0.02834028509080815	0.0035619496008706224	0.03976003078472437	0.032842975690636746	0.04951723251184636	0.009757201727121988	False
HER2ST::E	linear32	0.014277753115133508	0.014023212553324695	0.015839610160840564	0.001561857045707056	0.023214817960988045	0.019469379240988724	0.025279314378402334	0.0020644964174142896	False
HER2ST::E	mlp128_64_32	0.012806853684955415	0.010993516659095582	0.008793402090883468	-0.004013451594071947	0.01848783016321474	0.011696618236491044	0.009030729583074468	-0.009457100580140272	False
HER2ST::E	mlp64_32	0.012934090255808495	0.01177425200732321	0.011748300064282968	-0.0011857901915255271	0.019783742062598336	0.013963484425597049	0.015365354054085009	-0.004418388008513328	False
HER2ST::F	linear32	0.011994502933639663	0.012337992666480052	0.013152916457888002	0.0011584135242483397	0.019396250010877844	0.016553645784411066	0.022087014348505886	0.002690764337628042	True
HER2ST::F	mlp128_64_32	0.011009283551200733	0.009482956783882293	0.009741181241736644	-0.0012681023094640882	0.016196292895941683	0.012222231908550919	0.011530761587551761	-0.004665531308389922	False
HER2ST::F	mlp64_32	0.01288920322454969	0.011345215667496893	0.012154292488145903	-0.000734910736403787	0.01664241209960895	0.015294001523257193	0.013968708148331465	-0.0026737039512774834	False
HER2ST::G	linear32	0.016173795014459858	0.022103103855164626	0.027211432291751728	0.01103763727729187	0.026734672065507184	0.034253431779204375	0.053128222186038174	0.02639355012053099	True
HER2ST::G	mlp128_64_32	0.019611521942366247	0.017715613080504435	0.01492975338506218	-0.004681768557304067	0.0302733594663866	0.028980837725607507	0.01549923505912976	-0.014774124407256839	False
HER2ST::G	mlp64_32	0.020262828795132377	0.01880676241642694	0.019130419096469953	-0.001132409698662424	0.030762717336680998	0.03407505538441982	0.023849893970725934	-0.006912823365955063	False
HER2ST::H	linear32	0.013634686500161228	0.016656460097714043	0.015162208513673739	0.0015275220135125105	0.020311527113191723	0.020876574013293642	0.019941687971808116	-0.0003698391413836065	False
HER2ST::H	mlp128_64_32	0.014904996526472735	0.013395881341877275	0.01263783635743497	-0.0022671601690377654	0.021498524295058934	0.020533793061337693	0.01754345810996524	-0.003955066185093694	False
HER2ST::H	mlp64_32	0.01371562501485558	0.012559915996577768	0.012108106609558932	-0.0016075184052966492	0.018568005237753864	0.017421248051827154	0.012691263278525378	-0.005876741959228486	False
