dataset	pair_id	pair_type	independent_unit_id	cohort_role	direction	pair_file_id	method	epsilon	tau	variant
spatialDLPFC	SDLPFC_Br3942_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br3942	primary_expansion	forward	SDLPFC_Br3942_ANT_MID	uot	0.25	2.0	baseline
spatialDLPFC	SDLPFC_Br3942_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br3942	primary_expansion	forward	SDLPFC_Br3942_ANT_MID	uot	0.25	2.0	label_free_rigid
spatialDLPFC	SDLPFC_Br3942_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br3942	primary_expansion	forward	SDLPFC_Br3942_ANT_MID	row_softmax	0.25		baseline
spatialDLPFC	SDLPFC_Br3942_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br3942	primary_expansion	forward	SDLPFC_Br3942_ANT_MID	row_softmax	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br3942_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br3942	primary_expansion	reverse	SDLPFC_Br3942_ANT_MID__reverse	balanced_ot	0.25		baseline
spatialDLPFC	SDLPFC_Br3942_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br3942	primary_expansion	reverse	SDLPFC_Br3942_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br3942_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br3942	primary_expansion	reverse	SDLPFC_Br3942_ANT_MID__reverse	uot	0.25	2.0	baseline
spatialDLPFC	SDLPFC_Br3942_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br3942	primary_expansion	reverse	SDLPFC_Br3942_ANT_MID__reverse	uot	0.25	2.0	label_free_rigid
spatialDLPFC	SDLPFC_Br3942_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br3942	primary_expansion	reverse	SDLPFC_Br3942_ANT_MID__reverse	row_softmax	0.25		baseline
spatialDLPFC	SDLPFC_Br3942_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br3942	primary_expansion	reverse	SDLPFC_Br3942_ANT_MID__reverse	row_softmax	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br6423_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6423	primary_expansion	forward	SDLPFC_Br6423_ANT_MID	balanced_ot	0.25		baseline
spatialDLPFC	SDLPFC_Br6423_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6423	primary_expansion	forward	SDLPFC_Br6423_ANT_MID	balanced_ot	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br6423_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6423	primary_expansion	forward	SDLPFC_Br6423_ANT_MID	uot	0.25	2.0	baseline
spatialDLPFC	SDLPFC_Br6423_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6423	primary_expansion	forward	SDLPFC_Br6423_ANT_MID	uot	0.25	2.0	label_free_rigid
spatialDLPFC	SDLPFC_Br6423_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6423	primary_expansion	forward	SDLPFC_Br6423_ANT_MID	row_softmax	0.25		baseline
spatialDLPFC	SDLPFC_Br6423_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6423	primary_expansion	forward	SDLPFC_Br6423_ANT_MID	row_softmax	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br6423_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6423	primary_expansion	reverse	SDLPFC_Br6423_ANT_MID__reverse	balanced_ot	0.25		baseline
spatialDLPFC	SDLPFC_Br6423_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6423	primary_expansion	reverse	SDLPFC_Br6423_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br6423_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6423	primary_expansion	reverse	SDLPFC_Br6423_ANT_MID__reverse	uot	0.25	2.0	baseline
spatialDLPFC	SDLPFC_Br6423_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6423	primary_expansion	reverse	SDLPFC_Br6423_ANT_MID__reverse	uot	0.25	2.0	label_free_rigid
spatialDLPFC	SDLPFC_Br6423_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6423	primary_expansion	reverse	SDLPFC_Br6423_ANT_MID__reverse	row_softmax	0.25		baseline
spatialDLPFC	SDLPFC_Br6423_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6423	primary_expansion	reverse	SDLPFC_Br6423_ANT_MID__reverse	row_softmax	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br6432_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6432	primary_expansion	forward	SDLPFC_Br6432_ANT_MID	balanced_ot	0.25		baseline
spatialDLPFC	SDLPFC_Br6432_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6432	primary_expansion	forward	SDLPFC_Br6432_ANT_MID	balanced_ot	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br6432_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6432	primary_expansion	forward	SDLPFC_Br6432_ANT_MID	uot	0.25	2.0	baseline
spatialDLPFC	SDLPFC_Br6432_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6432	primary_expansion	forward	SDLPFC_Br6432_ANT_MID	uot	0.25	2.0	label_free_rigid
spatialDLPFC	SDLPFC_Br6432_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6432	primary_expansion	forward	SDLPFC_Br6432_ANT_MID	row_softmax	0.25		baseline
spatialDLPFC	SDLPFC_Br6432_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6432	primary_expansion	forward	SDLPFC_Br6432_ANT_MID	row_softmax	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br6432_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6432	primary_expansion	reverse	SDLPFC_Br6432_ANT_MID__reverse	balanced_ot	0.25		baseline
spatialDLPFC	SDLPFC_Br6432_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6432	primary_expansion	reverse	SDLPFC_Br6432_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br6432_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6432	primary_expansion	reverse	SDLPFC_Br6432_ANT_MID__reverse	uot	0.25	2.0	baseline
spatialDLPFC	SDLPFC_Br6432_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6432	primary_expansion	reverse	SDLPFC_Br6432_ANT_MID__reverse	uot	0.25	2.0	label_free_rigid
spatialDLPFC	SDLPFC_Br6432_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6432	primary_expansion	reverse	SDLPFC_Br6432_ANT_MID__reverse	row_softmax	0.25		baseline
spatialDLPFC	SDLPFC_Br6432_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6432	primary_expansion	reverse	SDLPFC_Br6432_ANT_MID__reverse	row_softmax	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br6471_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6471	primary_expansion	forward	SDLPFC_Br6471_ANT_MID	balanced_ot	0.25		baseline
spatialDLPFC	SDLPFC_Br6471_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6471	primary_expansion	forward	SDLPFC_Br6471_ANT_MID	balanced_ot	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br6471_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6471	primary_expansion	forward	SDLPFC_Br6471_ANT_MID	uot	0.25	2.0	baseline
spatialDLPFC	SDLPFC_Br6471_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6471	primary_expansion	forward	SDLPFC_Br6471_ANT_MID	uot	0.25	2.0	label_free_rigid
spatialDLPFC	SDLPFC_Br6471_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6471	primary_expansion	forward	SDLPFC_Br6471_ANT_MID	row_softmax	0.25		baseline
spatialDLPFC	SDLPFC_Br6471_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6471	primary_expansion	forward	SDLPFC_Br6471_ANT_MID	row_softmax	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br6471_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6471	primary_expansion	reverse	SDLPFC_Br6471_ANT_MID__reverse	balanced_ot	0.25		baseline
spatialDLPFC	SDLPFC_Br6471_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6471	primary_expansion	reverse	SDLPFC_Br6471_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br6471_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6471	primary_expansion	reverse	SDLPFC_Br6471_ANT_MID__reverse	uot	0.25	2.0	baseline
spatialDLPFC	SDLPFC_Br6471_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6471	primary_expansion	reverse	SDLPFC_Br6471_ANT_MID__reverse	uot	0.25	2.0	label_free_rigid
spatialDLPFC	SDLPFC_Br6471_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6471	primary_expansion	reverse	SDLPFC_Br6471_ANT_MID__reverse	row_softmax	0.25		baseline
spatialDLPFC	SDLPFC_Br6471_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6471	primary_expansion	reverse	SDLPFC_Br6471_ANT_MID__reverse	row_softmax	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	forward	SDLPFC_Br6522_ANT_MID	balanced_ot	0.25		baseline
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	forward	SDLPFC_Br6522_ANT_MID	balanced_ot	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	forward	SDLPFC_Br6522_ANT_MID	uot	0.25	2.0	baseline
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	forward	SDLPFC_Br6522_ANT_MID	uot	0.25	2.0	label_free_rigid
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	forward	SDLPFC_Br6522_ANT_MID	row_softmax	0.25		baseline
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	forward	SDLPFC_Br6522_ANT_MID	row_softmax	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	balanced_ot	0.25		baseline
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	uot	0.25	2.0	baseline
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	uot	0.25	2.0	label_free_rigid
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	row_softmax	0.25		baseline
spatialDLPFC	SDLPFC_Br6522_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br6522	primary_expansion	reverse	SDLPFC_Br6522_ANT_MID__reverse	row_softmax	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	balanced_ot	0.25		baseline
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	balanced_ot	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	uot	0.25	2.0	baseline
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	uot	0.25	2.0	label_free_rigid
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	row_softmax	0.25		baseline
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	forward	SDLPFC_Br8325_ANT_MID	row_softmax	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	balanced_ot	0.25		baseline
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	uot	0.25	2.0	baseline
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	uot	0.25	2.0	label_free_rigid
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	row_softmax	0.25		baseline
spatialDLPFC	SDLPFC_Br8325_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8325	primary_expansion	reverse	SDLPFC_Br8325_ANT_MID__reverse	row_softmax	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br8492_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8492	primary_expansion	forward	SDLPFC_Br8492_ANT_MID	balanced_ot	0.25		baseline
spatialDLPFC	SDLPFC_Br8492_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8492	primary_expansion	forward	SDLPFC_Br8492_ANT_MID	balanced_ot	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br8492_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8492	primary_expansion	forward	SDLPFC_Br8492_ANT_MID	uot	0.25	2.0	baseline
spatialDLPFC	SDLPFC_Br8492_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8492	primary_expansion	forward	SDLPFC_Br8492_ANT_MID	uot	0.25	2.0	label_free_rigid
spatialDLPFC	SDLPFC_Br8492_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8492	primary_expansion	forward	SDLPFC_Br8492_ANT_MID	row_softmax	0.25		baseline
spatialDLPFC	SDLPFC_Br8492_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8492	primary_expansion	forward	SDLPFC_Br8492_ANT_MID	row_softmax	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br8492_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8492	primary_expansion	reverse	SDLPFC_Br8492_ANT_MID__reverse	balanced_ot	0.25		baseline
spatialDLPFC	SDLPFC_Br8492_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8492	primary_expansion	reverse	SDLPFC_Br8492_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br8492_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8492	primary_expansion	reverse	SDLPFC_Br8492_ANT_MID__reverse	uot	0.25	2.0	baseline
spatialDLPFC	SDLPFC_Br8492_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8492	primary_expansion	reverse	SDLPFC_Br8492_ANT_MID__reverse	uot	0.25	2.0	label_free_rigid
spatialDLPFC	SDLPFC_Br8492_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8492	primary_expansion	reverse	SDLPFC_Br8492_ANT_MID__reverse	row_softmax	0.25		baseline
spatialDLPFC	SDLPFC_Br8492_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8492	primary_expansion	reverse	SDLPFC_Br8492_ANT_MID__reverse	row_softmax	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br8667_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8667	primary_expansion	forward	SDLPFC_Br8667_ANT_MID	balanced_ot	0.25		baseline
spatialDLPFC	SDLPFC_Br8667_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8667	primary_expansion	forward	SDLPFC_Br8667_ANT_MID	balanced_ot	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br8667_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8667	primary_expansion	forward	SDLPFC_Br8667_ANT_MID	uot	0.25	2.0	baseline
spatialDLPFC	SDLPFC_Br8667_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8667	primary_expansion	forward	SDLPFC_Br8667_ANT_MID	uot	0.25	2.0	label_free_rigid
spatialDLPFC	SDLPFC_Br8667_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8667	primary_expansion	forward	SDLPFC_Br8667_ANT_MID	row_softmax	0.25		baseline
spatialDLPFC	SDLPFC_Br8667_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8667	primary_expansion	forward	SDLPFC_Br8667_ANT_MID	row_softmax	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br8667_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8667	primary_expansion	reverse	SDLPFC_Br8667_ANT_MID__reverse	balanced_ot	0.25		baseline
spatialDLPFC	SDLPFC_Br8667_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8667	primary_expansion	reverse	SDLPFC_Br8667_ANT_MID__reverse	balanced_ot	0.25		label_free_rigid
spatialDLPFC	SDLPFC_Br8667_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8667	primary_expansion	reverse	SDLPFC_Br8667_ANT_MID__reverse	uot	0.25	2.0	baseline
spatialDLPFC	SDLPFC_Br8667_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8667	primary_expansion	reverse	SDLPFC_Br8667_ANT_MID__reverse	uot	0.25	2.0	label_free_rigid
spatialDLPFC	SDLPFC_Br8667_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8667	primary_expansion	reverse	SDLPFC_Br8667_ANT_MID__reverse	row_softmax	0.25		baseline
spatialDLPFC	SDLPFC_Br8667_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br8667	primary_expansion	reverse	SDLPFC_Br8667_ANT_MID__reverse	row_softmax	0.25		label_free_rigid
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	balanced_ot	0.25		baseline
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	balanced_ot	0.25		label_free_rigid
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	balanced_ot	0.25		her2_oracle
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	uot	0.25	2.0	baseline
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	uot	0.25	2.0	label_free_rigid
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	uot	0.25	2.0	her2_oracle
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	row_softmax	0.25		baseline
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	row_softmax	0.25		label_free_rigid
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	forward	HER2ST_A1_CONTROLLED	row_softmax	0.25		her2_oracle
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	reverse	HER2ST_A1_CONTROLLED__reverse	balanced_ot	0.25		baseline
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	reverse	HER2ST_A1_CONTROLLED__reverse	balanced_ot	0.25		label_free_rigid
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	reverse	HER2ST_A1_CONTROLLED__reverse	balanced_ot	0.25		her2_oracle
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	reverse	HER2ST_A1_CONTROLLED__reverse	uot	0.25	2.0	baseline
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	reverse	HER2ST_A1_CONTROLLED__reverse	uot	0.25	2.0	label_free_rigid
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	reverse	HER2ST_A1_CONTROLLED__reverse	uot	0.25	2.0	her2_oracle
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	within_section_controlled_combined	HER2ST::A	manual_truth_controlled	reverse	HER2ST_A1_CONTROLLED__reverse	row_softmax	0.25		baseline
