independent_unit_id	cohort_role	method	epsilon	tau	variant	arm	intervention	score	spatial_cost_pearson_vs_baseline	spatial_cost_scale_ratio	local_fidelity_n_estimable	local_fidelity_spearman	local_fidelity_top_overlap	local_fidelity_raw_mae	local_fidelity_rmae	local_fidelity_intercept	local_fidelity_slope	local_fidelity_r2	endpoint_transfer_n_estimable	endpoint_transfer_spearman	endpoint_transfer_top_overlap	endpoint_transfer_raw_mae	endpoint_transfer_rmae	endpoint_transfer_intercept	endpoint_transfer_slope	endpoint_transfer_r2	heldout_aurc	heldout_oracle_aurc	heldout_random_aurc	heldout_normalized_excess_aurc	heldout_retained_loss_at_80pct_coverage	heldout_retained_loss_at_90pct_coverage
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		baseline	N	I_SPATIAL	endpoint_response	1.0	1.0	307.0	0.9999398349389985	1.0	0.001051885777944973	0.003921666969812068	0.0005301454694123779	0.994124871676052	0.9999629740886488	307.0	0.06247998418283799	0.04285714285714286	0.17967308161203377	0.40157451641676667	0.3952835947275405	0.19438193222550926	0.005291949530408124	0.1740015622494697	0.13653178762655915	0.17405059152905028	1.0008234392778577	0.17469900883954073	0.17675323305435348
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		baseline	N	I_SPATIAL	finite_response_h001	1.0	1.0	307.0	0.9999398349389985	1.0	0.001051885777944973	0.003921666969812068	0.0005301454694123779	0.994124871676052	0.9999629740886488	307.0	0.06247998418283799	0.04285714285714286	0.17967308161203377	0.40157451641676667	0.3952835947275405	0.19438193222550926	0.005291949530408124	0.1714106512224649	0.13653178762655915	0.17405059152905028	0.9392737763540785	0.1697202412827516	0.17250919551593524
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		baseline	N	I_SPATIAL	local_reference	1.0	1.0	307.0	0.9999398349389985	1.0	0.001051885777944973	0.003921666969812068	0.0005301454694123779	0.994124871676052	0.9999629740886488	307.0	0.06247998418283799	0.04285714285714286	0.17967308161203377	0.40157451641676667	0.3952835947275405	0.19438193222550926	0.005291949530408124	0.17132984804690432	0.13653178762655915	0.17405059152905028	0.9370493192502323	0.1697202412827516	0.17250919551593524
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		baseline	R	I_SPATIAL	endpoint_response	1.0	1.0	307.0	0.9999472657733341	1.0	0.0010659691386217854	0.0039182937343370215	0.0006002768174690567	0.9938991113503269	0.9999619549943286	307.0	0.08953798943051966	0.04285714285714286	0.17913885530456541	0.3974007960211744	0.38017693895402155	0.2595093734929208	0.008907828083230818	0.1735190891596554	0.13653178762655915	0.17405059152905028	0.9874016250492206	0.1740524077057658	0.17672881738460455
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		baseline	R	I_SPATIAL	finite_response_h001	1.0	1.0	307.0	0.9999472657733341	1.0	0.0010659691386217854	0.0039182937343370215	0.0006002768174690567	0.9938991113503269	0.9999619549943286	307.0	0.08953798943051966	0.04285714285714286	0.17913885530456541	0.3974007960211744	0.38017693895402155	0.2595093734929208	0.008907828083230818	0.17188088326517226	0.13653178762655915	0.17405059152905028	0.9516780748740655	0.16945517175875585	0.17271439293808433
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		baseline	R	I_SPATIAL	local_reference	1.0	1.0	307.0	0.9999472657733341	1.0	0.0010659691386217854	0.0039182937343370215	0.0006002768174690567	0.9938991113503269	0.9999619549943286	307.0	0.08953798943051966	0.04285714285714286	0.17913885530456541	0.3974007960211744	0.38017693895402155	0.2595093734929208	0.008907828083230818	0.17183800237120803	0.13653178762655915	0.17405059152905028	0.9504625525416198	0.16945517175875585	0.17267294315237025
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		her2_oracle	N	I_SPATIAL	endpoint_response	0.9798906728148421	0.9776549873083534	307.0	0.9999533614594437	1.0	0.0010595623795485614	0.003934464990532269	0.000557390831374352	0.994020016871439	0.9999698660006339	307.0	0.042391237502556293	0.07857142857142857	0.1846212265339154	0.40692797964463373	0.4135184581065876	0.14904265437036102	0.003556719455442836	0.17213989434156124	0.1360209460894976	0.17340651195708717	0.9736579278433231	0.17386393640550463	0.17468673564909826
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		her2_oracle	N	I_SPATIAL	finite_response_h001	0.9798906728148421	0.9776549873083534	307.0	0.9999533614594437	1.0	0.0010595623795485614	0.003934464990532269	0.000557390831374352	0.994020016871439	0.9999698660006339	307.0	0.042391237502556293	0.07857142857142857	0.1846212265339154	0.40692797964463373	0.4135184581065876	0.14904265437036102	0.003556719455442836	0.17130511843648488	0.1360209460894976	0.17340651195708717	0.9505473221592924	0.17146393447392028	0.1747893773213099
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		her2_oracle	N	I_SPATIAL	local_reference	0.9798906728148421	0.9776549873083534	307.0	0.9999533614594437	1.0	0.0010595623795485614	0.003934464990532269	0.000557390831374352	0.994020016871439	0.9999698660006339	307.0	0.042391237502556293	0.07857142857142857	0.1846212265339154	0.40692797964463373	0.4135184581065876	0.14904265437036102	0.003556719455442836	0.17130481957763316	0.1360209460894976	0.17340651195708717	0.950360604929406	0.17146393447392028	0.1747893773213099
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		her2_oracle	R	I_SPATIAL	endpoint_response	0.9798906728148421	0.9776549873083534	307.0	0.9999500669122314	0.9821428571428572	0.0010708818963826156	0.003918850219910928	0.0006264892913380744	0.9938134795723468	0.9999694168226356	307.0	0.06441279110477947	0.060714285714285714	0.1840329082074953	0.4025968143309149	0.4021401428449839	0.20101478700129732	0.006137086694518956	0.17169046598315363	0.1360209460894976	0.17340651195708717	0.9612987769388566	0.17230072586824258	0.17439505140165637
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		her2_oracle	R	I_SPATIAL	finite_response_h001	0.9798906728148421	0.9776549873083534	307.0	0.9999500669122314	0.9821428571428572	0.0010708818963826156	0.003918850219910928	0.0006264892913380744	0.9938134795723468	0.9999694168226356	307.0	0.06441279110477947	0.060714285714285714	0.1840329082074953	0.4025968143309149	0.4021401428449839	0.20101478700129732	0.006137086694518956	0.1724860218016132	0.1360209460894976	0.17340651195708717	0.9801819451643141	0.17187626539596706	0.1746914044746048
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		her2_oracle	R	I_SPATIAL	local_reference	0.9798906728148421	0.9776549873083534	307.0	0.9999500669122314	0.9821428571428572	0.0010708818963826156	0.003918850219910928	0.0006264892913380744	0.9938134795723468	0.9999694168226356	307.0	0.06441279110477947	0.060714285714285714	0.1840329082074953	0.4025968143309149	0.4021401428449839	0.20101478700129732	0.006137086694518956	0.17252932017311282	0.1360209460894976	0.17340651195708717	0.9814177286291137	0.17187626539596706	0.1746914044746048
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		label_free_rigid	N	I_SPATIAL	endpoint_response	0.7975040881785339	0.9477582106359352	307.0	0.9999525541779462	1.0	0.0010708885132228703	0.003913333156555743	0.0006847204146768779	0.9936096462729307	0.9999703550190968	307.0	0.08179351408178569	0.07857142857142857	0.1848791809381254	0.40322329315199223	0.3993035466399214	0.2162998327211634	0.0074100863564648956	0.17445760275066896	0.14017182473936451	0.17806806395349725	0.912111042587846	0.17649241227735252	0.1769341587602155
