cohort_role,method,epsilon,tau,grid_role,arm,intervention,score,claim_status,gate_family,independent_units,median_spearman,median_top_decile_overlap,median_nmae,unit_gate_pass_fraction,spearman_gate_pass,overlap_gate_pass,nmae_gate_pass,gate_pass,witness,median_nex_aurc,median_relative_fixed_qc_gain,positive_unit_fraction,positive_technology_count,leave_one_unit_out_fixed_qc_low,negative_control_pass_fraction,leakage_control_pass_fraction,confound_direction_pass_fraction,sensitivity_external_gate,sensitivity_external_gate_with_controls,registered_gate_status,confirmatory
legacy_replication,balanced_ot,0.1,,epsilon_scan,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.8330300431244637,0.6066666666666667,3.111487540078111,0.0,True,True,False,False,,,,,,,,,,,,,
legacy_replication,balanced_ot,0.1,,epsilon_scan,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.5955395304620136,0.6599999999999999,3.8155537840614953,0.0,False,True,False,False,,,,,,,,,,,,,
legacy_replication,balanced_ot,0.1,,epsilon_scan,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.0480294506797558,0.1633333333333333,3.627387319110541,0.0,False,False,False,False,,,,,,,,,,,,,
legacy_replication,balanced_ot,0.1,,epsilon_scan,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,-0.0912236440993973,0.09,3.953679362621356,0.0,False,False,False,False,,,,,,,,,,,,,
legacy_replication,balanced_ot,0.1,,epsilon_scan,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.9766019878231058,0.8033333333333333,0.3748798457889546,1.0,True,True,True,True,,,,,,,,,,,,,
legacy_replication,balanced_ot,0.1,,epsilon_scan,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.9766019878231058,0.8033333333333333,0.3748798457889546,1.0,True,True,True,True,,,,,,,,,,,,,
legacy_replication,balanced_ot,0.1,,epsilon_scan,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,-0.2124139646284287,0.08,4.685192953248063,0.0,False,False,False,False,,,,,,,,,,,,,
legacy_replication,balanced_ot,0.1,,epsilon_scan,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,-0.2124139646284287,0.08,4.685192953248063,0.0,False,False,False,False,,,,,,,,,,,,,
legacy_replication,balanced_ot,0.25,,baseline,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.7377553216690319,0.5,4.893121647159756,0.0,True,False,False,False,,,,,,,,,,,,,
legacy_replication,balanced_ot,0.25,,baseline,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.0925689975862211,0.2533333333333333,8.309530483027702,0.0,False,False,False,False,,,,,,,,,,,,,
legacy_replication,balanced_ot,0.25,,baseline,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.3278681048302689,0.2933333333333333,2.292872465815961,0.0,False,False,False,False,,,,,,,,,,,,,
legacy_replication,balanced_ot,0.25,,baseline,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.4039930311080139,0.3833333333333333,2.3256583713934327,0.0,False,False,False,False,,,,,,,,,,,,,
legacy_replication,balanced_ot,0.25,,baseline,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.997363397939288,0.9233333333333332,0.1593009840254486,1.0,True,True,True,True,,,,,,,,,,,,,
legacy_replication,balanced_ot,0.25,,baseline,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.997363397939288,0.9233333333333332,0.1593009840254486,1.0,True,True,True,True,,,,,,,,,,,,,
legacy_replication,balanced_ot,0.25,,baseline,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.3852393374397056,0.37,2.3306769462315744,0.0,False,False,False,False,,,,,,,,,,,,,
legacy_replication,balanced_ot,0.25,,baseline,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.3852393374397056,0.37,2.3306769462315744,0.0,False,False,False,False,,,,,,,,,,,,,
legacy_replication,balanced_ot,0.5,,epsilon_scan,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.9582877787945684,0.72,2.711046274101556,0.0,True,True,False,False,,,,,,,,,,,,,
legacy_replication,balanced_ot,0.5,,epsilon_scan,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,-0.1287680287857905,0.1033333333333333,7.0971483083852505,0.0,False,False,False,False,,,,,,,,,,,,,
legacy_replication,balanced_ot,0.5,,epsilon_scan,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.9512833721259432,0.5766666666666667,1.0068496909182147,0.0,True,False,False,False,,,,,,,,,,,,,
legacy_replication,balanced_ot,0.5,,epsilon_scan,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.9530626369167275,0.5566666666666666,0.9546052033412924,0.0,True,False,False,False,,,,,,,,,,,,,
legacy_replication,balanced_ot,0.5,,epsilon_scan,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.9992940814640364,0.97,0.085213598994859,1.0,True,True,True,True,,,,,,,,,,,,,
legacy_replication,balanced_ot,0.5,,epsilon_scan,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.9992940814640364,0.97,0.085213598994859,1.0,True,True,True,True,,,,,,,,,,,,,
legacy_replication,balanced_ot,0.5,,epsilon_scan,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.9516778683012748,0.6033333333333333,1.0331438296829814,0.0,True,True,False,False,,,,,,,,,,,,,
legacy_replication,balanced_ot,0.5,,epsilon_scan,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.9516778683012748,0.6033333333333333,1.0331438296829814,0.0,True,True,False,False,,,,,,,,,,,,,
legacy_replication,row_softmax,0.1,,epsilon_scan,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.810869891053285,0.5366666666666666,1.3925001613683674,0.0,True,False,False,False,,,,,,,,,,,,,
legacy_replication,row_softmax,0.1,,epsilon_scan,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.653722583876704,0.5566666666666666,2.481305689726777,0.0,False,False,False,False,,,,,,,,,,,,,
legacy_replication,row_softmax,0.1,,epsilon_scan,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.3967237123216499,0.3133333333333333,4.5697472197179305,0.0,False,False,False,False,,,,,,,,,,,,,
legacy_replication,row_softmax,0.1,,epsilon_scan,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.2682905903513735,0.37,5.437792720475059,0.0,False,False,False,False,,,,,,,,,,,,,
legacy_replication,row_softmax,0.1,,epsilon_scan,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.8986295087242262,0.6333333333333333,1.0927082861455193,0.3333333333333333,True,True,False,False,,,,,,,,,,,,,
legacy_replication,row_softmax,0.1,,epsilon_scan,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.8986295087242262,0.6333333333333333,1.0927082861455193,0.3333333333333333,True,True,False,False,,,,,,,,,,,,,
legacy_replication,row_softmax,0.1,,epsilon_scan,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.018092886263505,0.3533333333333334,6.2748730278746,0.0,False,False,False,False,,,,,,,,,,,,,
legacy_replication,row_softmax,0.1,,epsilon_scan,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.018092886263505,0.3533333333333334,6.2748730278746,0.0,False,False,False,False,,,,,,,,,,,,,
legacy_replication,row_softmax,0.25,,baseline,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.8522979894657732,0.7366666666666667,3.595224792682426,0.0,True,True,False,False,,,,,,,,,,,,,
legacy_replication,row_softmax,0.25,,baseline,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.2641392053952024,0.3066666666666666,5.506893789650409,0.0,False,False,False,False,,,,,,,,,,,,,
legacy_replication,row_softmax,0.25,,baseline,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.595548716243874,0.4333333333333333,2.757015953964207,0.0,False,False,False,False,,,,,,,,,,,,,
legacy_replication,row_softmax,0.25,,baseline,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.7770774440344196,0.5266666666666666,2.950869758316577,0.0,True,False,False,False,,,,,,,,,,,,,
legacy_replication,row_softmax,0.25,,baseline,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.9807231185436084,0.8533333333333333,0.5894493559812988,0.6666666666666666,True,True,True,True,,,,,,,,,,,,,
legacy_replication,row_softmax,0.25,,baseline,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.9807231185436084,0.8533333333333333,0.5894493559812988,0.6666666666666666,True,True,True,True,,,,,,,,,,,,,
legacy_replication,row_softmax,0.25,,baseline,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.784088359150382,0.48,2.756211254342151,0.0,True,False,False,False,,,,,,,,,,,,,
legacy_replication,row_softmax,0.25,,baseline,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.784088359150382,0.48,2.756211254342151,0.0,True,False,False,False,,,,,,,,,,,,,
legacy_replication,row_softmax,0.5,,epsilon_scan,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.953936596416265,0.7366666666666666,2.627412207315261,0.0,True,True,False,False,,,,,,,,,,,,,
legacy_replication,row_softmax,0.5,,epsilon_scan,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.1082962436872194,0.1666666666666666,5.979882879034615,0.0,False,False,False,False,,,,,,,,,,,,,
legacy_replication,row_softmax,0.5,,epsilon_scan,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.9273363445939312,0.64,1.3691524632016612,0.0,True,True,False,False,,,,,,,,,,,,,
legacy_replication,row_softmax,0.5,,epsilon_scan,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.9364244286330796,0.5733333333333333,1.3841371278300558,0.0,True,False,False,False,,,,,,,,,,,,,
legacy_replication,row_softmax,0.5,,epsilon_scan,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.9959042755130114,0.9466666666666668,0.3221709743692351,0.6666666666666666,True,True,True,True,,,,,,,,,,,,,
legacy_replication,row_softmax,0.5,,epsilon_scan,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.9959042755130114,0.9466666666666668,0.3221709743692351,0.6666666666666666,True,True,True,True,,,,,,,,,,,,,
legacy_replication,row_softmax,0.5,,epsilon_scan,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.9652432343303264,0.64,1.3120067438513807,0.0,True,True,False,False,,,,,,,,,,,,,
legacy_replication,row_softmax,0.5,,epsilon_scan,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.9652432343303264,0.64,1.3120067438513807,0.0,True,True,False,False,,,,,,,,,,,,,
legacy_replication,uot,0.1,1.0,interaction_corner,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.8810284164570741,0.7166666666666667,2.657772624406364,0.0,True,True,False,False,,,,,,,,,,,,,
legacy_replication,uot,0.1,1.0,interaction_corner,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.6472256903225291,0.6733333333333333,3.458587637958596,0.0,False,True,False,False,,,,,,,,,,,,,
legacy_replication,uot,0.1,1.0,interaction_corner,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.1115369046830687,0.25,3.782370632877115,0.0,False,False,False,False,,,,,,,,,,,,,
legacy_replication,uot,0.1,1.0,interaction_corner,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,-0.0856101749378555,0.11,4.341218060777142,0.0,False,False,False,False,,,,,,,,,,,,,
legacy_replication,uot,0.1,1.0,interaction_corner,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.9723185352526824,0.8300000000000001,0.3659516559420053,1.0,True,True,True,True,,,,,,,,,,,,,
legacy_replication,uot,0.1,1.0,interaction_corner,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.9723185352526824,0.8300000000000001,0.3659516559420053,1.0,True,True,True,True,,,,,,,,,,,,,
legacy_replication,uot,0.1,1.0,interaction_corner,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,-0.1930024520010897,0.1166666666666666,4.581444071959663,0.0,False,False,False,False,,,,,,,,,,,,,
legacy_replication,uot,0.1,1.0,interaction_corner,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,-0.1930024520010897,0.1166666666666666,4.581444071959663,0.0,False,False,False,False,,,,,,,,,,,,,
legacy_replication,uot,0.1,2.0,epsilon_scan,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.8571967720874543,0.6266666666666667,3.059547590845539,0.0,True,True,False,False,,,,,,,,,,,,,
legacy_replication,uot,0.1,2.0,epsilon_scan,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.5834162255183224,0.6133333333333333,4.06357756663575,0.0,False,True,False,False,,,,,,,,,,,,,
legacy_replication,uot,0.1,2.0,epsilon_scan,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.0858916079518257,0.1966666666666666,3.700630576311979,0.0,False,False,False,False,,,,,,,,,,,,,
legacy_replication,uot,0.1,2.0,epsilon_scan,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,-0.0890712111427605,0.1066666666666666,4.157255042930055,0.0,False,False,False,False,,,,,,,,,,,,,
legacy_replication,uot,0.1,2.0,epsilon_scan,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.9765863309272582,0.8300000000000001,0.3802837533589698,1.0,True,True,True,True,,,,,,,,,,,,,
legacy_replication,uot,0.1,2.0,epsilon_scan,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,0.9765863309272582,0.8300000000000001,0.3802837533589698,1.0,True,True,True,True,,,,,,,,,,,,,
legacy_replication,uot,0.1,2.0,epsilon_scan,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; amended sample expansion,internal_fidelity,3,-0.2030707818092363,0.0966666666666666,4.633406722762471,0.0,False,False,False,False,,,,,,,,,,,,,
