dataset,pair_type,biological_pair_id,direction,pair_id,independent_unit_id,method,epsilon,tau,grid_role,arm,stage,intervention,solver_iterations,converged,runtime_seconds,peak_memory_mb,memory_measurement,solver_last_error,row_mass_l1,col_mass_l1
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.125,,scale_equivalence,S,full_endpoint,I_EXPR,200,True,10.821679199999835,501.8515625,process_rss_after_solve,1.7763568394002505e-15,5.999974822534782e-16,1.3000668250273684e-15
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.125,,scale_equivalence,S,full_endpoint,I_SPATIAL,200,True,11.94091810000009,472.28125,process_rss_after_solve,1.7763568394002505e-15,9.64939933512099e-16,1.336821278674627e-15
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.5,,epsilon_scan,shared,base,NONE,200,True,18.198495900000125,298.4140625,process_rss_after_solve,0.0,6.295962015623324e-16,1.271227047239254e-15
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.5,,epsilon_scan,R,full_endpoint,I_EXPR,200,True,19.33753999999999,401.4921875,process_rss_after_solve,1.7763568394002505e-15,6.336077496005288e-16,1.2449893546651047e-15
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.5,,epsilon_scan,R,matched_fd,I_EXPR,200,True,18.950290799999948,401.4375,process_rss_after_solve,3.552713678800501e-15,6.829389484486192e-16,1.3009341867653568e-15
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.5,,epsilon_scan,R,full_endpoint,I_SPATIAL,200,True,17.99719260000029,487.2890625,process_rss_after_solve,3.552713678800501e-15,6.285119993898469e-16,1.2865142978712996e-15
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.5,,epsilon_scan,R,matched_fd,I_SPATIAL,200,True,17.95685689999982,487.2890625,process_rss_after_solve,0.0,6.552917930502389e-16,1.283044850919346e-15
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.5,,epsilon_scan,N,full_endpoint,I_EXPR,200,True,17.996038599999792,573.13671875,process_rss_after_solve,1.7763568394002505e-15,6.194047011409687e-16,1.2758891165809416e-15
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.5,,epsilon_scan,N,matched_fd,I_EXPR,200,True,17.46702920000007,573.13671875,process_rss_after_solve,0.0,6.396792817664476e-16,1.2496514240067924e-15
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.5,,epsilon_scan,N,full_endpoint,I_SPATIAL,200,True,17.080648099999962,418.609375,process_rss_after_solve,3.552713678800501e-15,1.0110185258427329e-15,1.4137996329210978e-15
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.5,,epsilon_scan,N,matched_fd,I_SPATIAL,200,True,14.276675300000079,418.609375,process_rss_after_solve,0.0,6.428234680666556e-16,1.2577829403004337e-15
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.1,2.0,epsilon_scan,shared,base,NONE,180,True,16.449529299999995,281.28125,process_rss_after_solve,9.464993233621044e-09,0.19986386918889743,0.19986386918889743
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.1,2.0,epsilon_scan,R,full_endpoint,I_EXPR,185,True,17.335393100000147,350.01953125,process_rss_after_solve,9.48763467789604e-09,0.3541099106887965,0.3541099106887965
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,uot,0.1,2.0,epsilon_scan,R,matched_fd,I_EXPR,180,True,17.52130939999961,350.01953125,process_rss_after_solve,9.523160926505625e-09,0.20130505989203556,0.2013050598920355
