dataset,pair_type,biological_pair_id,direction,pair_id,independent_unit_id,method,epsilon,tau,grid_role,parameter_index,pair_file_id,arm,intervention,score,spearman,top_decile_overlap,raw_mae,reference_mad,nmae,reference_response_median,reference_response_iqr,estimable,spearman_gate_pass,overlap_gate_pass,nmae_gate_pass,gate_pass,claim_status
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.25,,baseline,1,SDLPFC_Br2720_ANT_MID,R,I_SPATIAL,registered_finite_difference_fixed_score,0.5002632516725564,0.42,0.1795904081681819,0.07612411699601956,2.3591788680789882,0.47766944374652276,0.16089297920809692,True,False,False,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.25,,baseline,1,SDLPFC_Br2720_ANT_MID,N,I_EXPR,matched_finite_difference,0.7055169535630905,0.41333333333333333,0.08002203256682446,0.013224001906864513,6.051272007552073,0.20752764276887747,0.026357869986452453,True,True,False,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.25,,baseline,1,SDLPFC_Br2720_ANT_MID,N,I_EXPR,registered_finite_difference_fixed_score,0.24381013858228387,0.36666666666666664,0.172937944992081,0.013224001906864513,13.077580161441885,0.20752764276887747,0.026357869986452453,True,False,False,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.25,,baseline,1,SDLPFC_Br2720_ANT_MID,N,I_SPATIAL,matched_finite_difference,0.5018305519246898,0.42,0.17814770326679785,0.07908794255742319,2.252526712747023,0.47730339926216603,0.16399749329065594,True,False,False,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.25,,baseline,1,SDLPFC_Br2720_ANT_MID,N,I_SPATIAL,registered_finite_difference_fixed_score,0.5199395626398057,0.43333333333333335,0.18195324413182523,0.07908794255742319,2.3006445514714824,0.47730339926216603,0.16399749329065594,True,False,False,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.5,,epsilon_scan,2,SDLPFC_Br2720_ANT_MID,R,I_EXPR,matched_finite_difference,0.9998690523862456,0.9666666666666667,8.219610378294544e-05,0.0030083611618606666,0.027322551834869216,0.016385551186245594,0.007574888771267552,True,True,True,True,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.5,,epsilon_scan,2,SDLPFC_Br2720_ANT_MID,R,I_EXPR,registered_finite_difference_fixed_score,0.9998690523862456,0.9666666666666667,8.219610378294544e-05,0.0030083611618606666,0.027322551834869216,0.016385551186245594,0.007574888771267552,True,True,True,True,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.5,,epsilon_scan,2,SDLPFC_Br2720_ANT_MID,R,I_SPATIAL,matched_finite_difference,0.9816876434167305,0.7466666666666667,0.06609658963055792,0.06643292542049835,0.9949372124167115,0.3119080240453125,0.13725095463131343,True,True,True,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.5,,epsilon_scan,2,SDLPFC_Br2720_ANT_MID,R,I_SPATIAL,registered_finite_difference_fixed_score,0.9816876434167305,0.7466666666666667,0.06609658963055792,0.06643292542049835,0.9949372124167115,0.3119080240453125,0.13725095463131343,True,True,True,False,False,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br2720_ANT_MID,forward,SDLPFC_Br2720_ANT_MID,spatialDLPFC::Br2720,balanced_ot,0.5,,epsilon_scan,2,SDLPFC_Br2720_ANT_MID,N,I_EXPR,matched_finite_difference,0.9532404414401962,0.7933333333333333,0.05597841615480676,0.017331955155686585,3.229780809607065,0.1844450008281762,0.03488998268916765,True,True,True,False,False,post-review sensitivity analysis; amended sample expansion
