dataset,pair_type,biological_pair_id,direction,pair_id,independent_unit_id,method,epsilon,tau,grid_role,parameter_index,pair_file_id,intervention,max_absolute_plan_difference,mean_absolute_plan_difference,normalized_l1_plan_difference,equivalence_tolerance,equivalence_pass,row_response_spearman,row_response_nmae,transported_mass_difference,objective_n,objective_s,objective_ratio_s_over_n,gate_n,gate_s_reference,gate_conclusion_consistent,claim_status
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br3942_ANT_MID,forward,SDLPFC_Br3942_ANT_MID,spatialDLPFC::Br3942,row_softmax,0.25,,baseline,1,SDLPFC_Br3942_ANT_MID,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br3942_ANT_MID,forward,SDLPFC_Br3942_ANT_MID,spatialDLPFC::Br3942,row_softmax,0.25,,baseline,1,SDLPFC_Br3942_ANT_MID,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br3942_ANT_MID,reverse,SDLPFC_Br3942_ANT_MID__reverse,spatialDLPFC::Br3942,balanced_ot,0.25,,baseline,1,SDLPFC_Br3942_ANT_MID__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.4033575356160397,-1.7016787678080199,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br3942_ANT_MID,reverse,SDLPFC_Br3942_ANT_MID__reverse,spatialDLPFC::Br3942,balanced_ot,0.25,,baseline,1,SDLPFC_Br3942_ANT_MID__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-2.8342417640196853,-1.4171208820098427,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br3942_ANT_MID,reverse,SDLPFC_Br3942_ANT_MID__reverse,spatialDLPFC::Br3942,uot,0.25,2.0,baseline,1,SDLPFC_Br3942_ANT_MID__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-4.932404480828634,-2.466202240414317,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br3942_ANT_MID,reverse,SDLPFC_Br3942_ANT_MID__reverse,spatialDLPFC::Br3942,uot,0.25,2.0,baseline,1,SDLPFC_Br3942_ANT_MID__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.8644586305685267,-1.9322293152842633,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br3942_ANT_MID,reverse,SDLPFC_Br3942_ANT_MID__reverse,spatialDLPFC::Br3942,row_softmax,0.25,,baseline,1,SDLPFC_Br3942_ANT_MID__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br3942_ANT_MID,reverse,SDLPFC_Br3942_ANT_MID__reverse,spatialDLPFC::Br3942,row_softmax,0.25,,baseline,1,SDLPFC_Br3942_ANT_MID__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6423_ANT_MID,forward,SDLPFC_Br6423_ANT_MID,spatialDLPFC::Br6423,balanced_ot,0.25,,baseline,1,SDLPFC_Br6423_ANT_MID,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.4130987514539077,-1.7065493757269539,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6423_ANT_MID,forward,SDLPFC_Br6423_ANT_MID,spatialDLPFC::Br6423,balanced_ot,0.25,,baseline,1,SDLPFC_Br6423_ANT_MID,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-2.7003569220391626,-1.3501784610195813,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6423_ANT_MID,forward,SDLPFC_Br6423_ANT_MID,spatialDLPFC::Br6423,uot,0.25,2.0,baseline,1,SDLPFC_Br6423_ANT_MID,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-4.951885877168473,-2.4759429385842364,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6423_ANT_MID,forward,SDLPFC_Br6423_ANT_MID,spatialDLPFC::Br6423,uot,0.25,2.0,baseline,1,SDLPFC_Br6423_ANT_MID,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.6994114143735777,-1.8497057071867888,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6423_ANT_MID,forward,SDLPFC_Br6423_ANT_MID,spatialDLPFC::Br6423,row_softmax,0.25,,baseline,1,SDLPFC_Br6423_ANT_MID,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6423_ANT_MID,forward,SDLPFC_Br6423_ANT_MID,spatialDLPFC::Br6423,row_softmax,0.25,,baseline,1,SDLPFC_Br6423_ANT_MID,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6423_ANT_MID,reverse,SDLPFC_Br6423_ANT_MID__reverse,spatialDLPFC::Br6423,balanced_ot,0.25,,baseline,1,SDLPFC_Br6423_ANT_MID__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.413098751453911,-1.7065493757269554,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6423_ANT_MID,reverse,SDLPFC_Br6423_ANT_MID__reverse,spatialDLPFC::Br6423,balanced_ot,0.25,,baseline,1,SDLPFC_Br6423_ANT_MID__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-2.7003569220391626,-1.3501784610195813,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6423_ANT_MID,reverse,SDLPFC_Br6423_ANT_MID__reverse,spatialDLPFC::Br6423,uot,0.25,2.0,baseline,1,SDLPFC_Br6423_ANT_MID__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-4.951885877168479,-2.4759429385842395,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6423_ANT_MID,reverse,SDLPFC_Br6423_ANT_MID__reverse,spatialDLPFC::Br6423,uot,0.25,2.0,baseline,1,SDLPFC_Br6423_ANT_MID__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.6994114143735777,-1.8497057071867888,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6423_ANT_MID,reverse,SDLPFC_Br6423_ANT_MID__reverse,spatialDLPFC::Br6423,row_softmax,0.25,,baseline,1,SDLPFC_Br6423_ANT_MID__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6423_ANT_MID,reverse,SDLPFC_Br6423_ANT_MID__reverse,spatialDLPFC::Br6423,row_softmax,0.25,,baseline,1,SDLPFC_Br6423_ANT_MID__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6432_ANT_MID,forward,SDLPFC_Br6432_ANT_MID,spatialDLPFC::Br6432,balanced_ot,0.25,,baseline,1,SDLPFC_Br6432_ANT_MID,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.4000587747498012,-1.7000293873749006,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6432_ANT_MID,forward,SDLPFC_Br6432_ANT_MID,spatialDLPFC::Br6432,balanced_ot,0.25,,baseline,1,SDLPFC_Br6432_ANT_MID,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-2.8498070670099684,-1.4249035335049842,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6432_ANT_MID,forward,SDLPFC_Br6432_ANT_MID,spatialDLPFC::Br6432,uot,0.25,2.0,baseline,1,SDLPFC_Br6432_ANT_MID,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-4.927674334650184,-2.463837167325092,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6432_ANT_MID,forward,SDLPFC_Br6432_ANT_MID,spatialDLPFC::Br6432,uot,0.25,2.0,baseline,1,SDLPFC_Br6432_ANT_MID,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.8835441642945105,-1.9417720821472553,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6432_ANT_MID,forward,SDLPFC_Br6432_ANT_MID,spatialDLPFC::Br6432,row_softmax,0.25,,baseline,1,SDLPFC_Br6432_ANT_MID,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6432_ANT_MID,forward,SDLPFC_Br6432_ANT_MID,spatialDLPFC::Br6432,row_softmax,0.25,,baseline,1,SDLPFC_Br6432_ANT_MID,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6432_ANT_MID,reverse,SDLPFC_Br6432_ANT_MID__reverse,spatialDLPFC::Br6432,balanced_ot,0.25,,baseline,1,SDLPFC_Br6432_ANT_MID__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.400058774749803,-1.7000293873749015,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6432_ANT_MID,reverse,SDLPFC_Br6432_ANT_MID__reverse,spatialDLPFC::Br6432,balanced_ot,0.25,,baseline,1,SDLPFC_Br6432_ANT_MID__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-2.8498070670099693,-1.4249035335049847,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6432_ANT_MID,reverse,SDLPFC_Br6432_ANT_MID__reverse,spatialDLPFC::Br6432,uot,0.25,2.0,baseline,1,SDLPFC_Br6432_ANT_MID__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-4.927674334650182,-2.463837167325091,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6432_ANT_MID,reverse,SDLPFC_Br6432_ANT_MID__reverse,spatialDLPFC::Br6432,uot,0.25,2.0,baseline,1,SDLPFC_Br6432_ANT_MID__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.8835441642945217,-1.9417720821472608,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6432_ANT_MID,reverse,SDLPFC_Br6432_ANT_MID__reverse,spatialDLPFC::Br6432,row_softmax,0.25,,baseline,1,SDLPFC_Br6432_ANT_MID__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6432_ANT_MID,reverse,SDLPFC_Br6432_ANT_MID__reverse,spatialDLPFC::Br6432,row_softmax,0.25,,baseline,1,SDLPFC_Br6432_ANT_MID__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6471_ANT_MID,forward,SDLPFC_Br6471_ANT_MID,spatialDLPFC::Br6471,balanced_ot,0.25,,baseline,1,SDLPFC_Br6471_ANT_MID,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.4121520983945763,-1.7060760491972882,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6471_ANT_MID,forward,SDLPFC_Br6471_ANT_MID,spatialDLPFC::Br6471,balanced_ot,0.25,,baseline,1,SDLPFC_Br6471_ANT_MID,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-2.878318317386145,-1.4391591586930725,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6471_ANT_MID,forward,SDLPFC_Br6471_ANT_MID,spatialDLPFC::Br6471,uot,0.25,2.0,baseline,1,SDLPFC_Br6471_ANT_MID,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-4.948300058590622,-2.474150029295311,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6471_ANT_MID,forward,SDLPFC_Br6471_ANT_MID,spatialDLPFC::Br6471,uot,0.25,2.0,baseline,1,SDLPFC_Br6471_ANT_MID,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.9467306361496717,-1.9733653180748358,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6471_ANT_MID,forward,SDLPFC_Br6471_ANT_MID,spatialDLPFC::Br6471,row_softmax,0.25,,baseline,1,SDLPFC_Br6471_ANT_MID,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6471_ANT_MID,forward,SDLPFC_Br6471_ANT_MID,spatialDLPFC::Br6471,row_softmax,0.25,,baseline,1,SDLPFC_Br6471_ANT_MID,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6471_ANT_MID,reverse,SDLPFC_Br6471_ANT_MID__reverse,spatialDLPFC::Br6471,balanced_ot,0.25,,baseline,1,SDLPFC_Br6471_ANT_MID__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.4121520983945772,-1.7060760491972886,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6471_ANT_MID,reverse,SDLPFC_Br6471_ANT_MID__reverse,spatialDLPFC::Br6471,balanced_ot,0.25,,baseline,1,SDLPFC_Br6471_ANT_MID__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-2.8783183173861437,-1.4391591586930719,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion
