independent_unit_id	cohort_role	method	epsilon	tau	arm	intervention	mass_local_to_endpoint_n_estimable	mass_local_to_endpoint_spearman	mass_local_to_endpoint_top_overlap	mass_local_to_endpoint_raw_mae	mass_local_to_endpoint_rmae	mass_local_to_endpoint_intercept	mass_local_to_endpoint_slope	mass_local_to_endpoint_r2	shape_local_to_endpoint_n_estimable	shape_local_to_endpoint_spearman	shape_local_to_endpoint_top_overlap	shape_local_to_endpoint_raw_mae	shape_local_to_endpoint_rmae	shape_local_to_endpoint_intercept	shape_local_to_endpoint_slope	shape_local_to_endpoint_r2	local_mass_n_estimable	local_mass_median	local_mass_q90	local_mass_mean	local_mass_maximum	local_shape_n_estimable	local_shape_median	local_shape_q90	local_shape_mean	local_shape_maximum	endpoint_mass_n_estimable	endpoint_mass_median	endpoint_mass_q90	endpoint_mass_mean	endpoint_mass_maximum	endpoint_shape_n_estimable	endpoint_shape_median	endpoint_shape_q90	endpoint_shape_mean	endpoint_shape_maximum	biological_pairs
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	307.0	0.9829091498443876	0.8928571428571428	0.005321156611674366	0.1331910226965345	0.005850942193003054	0.9618736516290209	0.9449704506035355	307.0	0.8847329157589687	0.7535714285714286	0.07263866797044383	0.3699110483909036	0.048117188132221426	0.5510928907615665	0.8142011536358194	307.0	0.03633654557460985	0.05388079932748029	0.03541120862938835	0.07390757014267625	307.0	0.26700367278248877	0.31908090935380984	0.269007267213274	0.37043976565743364	307.0	0.04085535933194048	0.057641042311888074	0.03995892974613073	0.07811248047054414	307.0	0.19631480707184534	0.22633838339678083	0.19636859924283018	0.2582271058643739	1
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	307.0	0.5227593828802313	0.4178571428571428	0.015431610028806952	0.642402945938641	0.006774387166629113	0.4913859546332762	0.27488415159788804	307.0	0.13050795570637477	0.11785714285714285	0.17858162940900008	0.3991341336952565	0.3476204187742896	0.3710566660788203	0.022559049480732285	307.0	0.036336545578932	0.0538807993322154	0.03541120863464967	0.073907570149432	307.0	0.2670036727267018	0.3190809093690584	0.2690072671911897	0.370439765753383	307.0	0.02412894019863827	0.04136586108236104	0.023979275950615324	0.07352789633215762	307.0	0.45245972574351434	0.579628270896168	0.4474214597441638	0.6520503495482168	1
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	307.0	0.9999292081899565	1.0	4.980741813467031e-05	0.0008452371274949629	-0.0006660715006620899	1.0110764328588595	0.9994885195935772	307.0	0.9964640833151641	0.9178571428571429	0.0004997753148693398	0.02551480875562173	0.004321731248872213	0.7602811591678146	0.9408158808173515	307.0	0.05806100180298143	0.06575313155128534	0.05893465864729513	0.09416166884502633	307.0	0.01874689723045662	0.025594585373937447	0.020077431185595022	0.08861425337318135	307.0	0.058023060504597296	0.06571744379615	0.058921315291768195	0.09635497875423248	307.0	0.018416408732988755	0.025009419645251815	0.01958767691202067	0.05855472124482504	1
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	307.0	0.7585989531603572	0.7821428571428571	0.017715694825078072	0.4118012709639196	0.011771370574955635	1.2352490101393814	0.7850521127990768	307.0	0.1599313657994672	0.06785714285714285	0.17799301244451357	0.39483697574845067	0.3299862689058796	0.4426766254513061	0.030349710949816366	307.0	0.022269724834017388	0.04784127659637117	0.02531594155557014	0.0923994581083203	307.0	0.27201018338420985	0.32261396861348	0.27292948500706277	0.3690151458688957	307.0	0.03772756881754711	0.07460919932586219	0.043020359452901766	0.13005410552650493	307.0	0.4548791358286063	0.5852333905339355	0.4508001535981635	0.6540029816091538	1
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	242.0	0.9470477785845557	0.8577441077441077	0.0069074602246309725	0.18040742712556346	0.008428427412380953	0.8226437362645944	0.8926443134864577	242.0	0.8417972867499528	0.67003367003367	0.07041666298553592	0.35455599001258126	0.025332810381800148	0.6440991347144424	0.769579861621069	242.0	0.035194407382374976	0.06969722962092262	0.03708207753846614	0.10644481307576445	242.0	0.2688377565190071	0.3209607879778321	0.26902131445582267	0.36471293949947187	242.0	0.038844379769283774	0.066730258252085	0.03888211541628703	0.09049485144462785	242.0	0.20340211135539912	0.23155644318060703	0.19860465147028677	0.25431556492050506	1
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	242.0	0.603519336556235	0.5984848484848485	0.01514300387647343	0.3931493336461338	0.009838368992557299	0.7759609433253456	0.47488763115983457	242.0	0.3653477765437268	0.4225589225589226	0.15941795544160908	0.3737552498016437	0.15475488675824736	1.0095145084363015	0.15111057124492489	242.0	0.03519440736570598	0.06969722963316963	0.03708207753866209	0.10644481306139451	242.0	0.2688377565874182	0.3209607879573529	0.26902131442926175	0.36471293944903566	242.0	0.03687244917799619	0.07526254729963772	0.03971273629130481	0.14047753770514881	242.0	0.42586323749902805	0.5688925565233311	0.42653066994029787	0.695304594634722	1
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	242.0	0.9998144013451961	0.9772727272727273	0.00010535276366296303	0.0018248613380747987	-0.0006438515604267687	1.0122599853954999	0.9996842177814314	242.0	0.9964731280137273	0.936026936026936	0.0016387565657880372	0.06319476320337084	0.0034092017348392287	0.8214480907056183	0.9845094745476972	242.0	0.0559296302613299	0.06891691561412751	0.05766336586801668	0.08428352394514878	242.0	0.023564264878963962	0.04594043981659124	0.02741619826530684	0.06531401303201725	242.0	0.05588464449290023	0.06916604227909487	0.057726551621442315	0.08431316079327525	242.0	0.02320339933766623	0.04141875542206376	0.025930081103452254	0.05630501649029972	1
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	242.0	0.924215141541546	0.8080808080808081	0.017181966494113132	0.34448552163999924	-0.007174174426125065	1.6021920536161	0.920515393731015	242.0	0.33589268631122643	0.3442760942760943	0.1652699518193997	0.375828713717658	0.18873629205433817	0.9063163952317024	0.10832260838264118	242.0	0.02915224237918056	0.07779414221784875	0.03569280730907526	0.12610328030695667	242.0	0.2789144444282746	0.3264575420320619	0.27684515336585624	0.3637556200174039	242.0	0.03805203118160162	0.11699171746699968	0.049855964089541835	0.1942097744414829	242.0	0.44316302518721923	0.5815164831197797	0.43974738888592596	0.7034004459010375	1
HER2ST::C	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	150.5	0.9515610448687485	0.9348739495798319	0.006539733966561599	0.16490269785029865	0.00930919949727971	0.8293760329008807	0.9110672597073555	150.5	0.7973589255857791	0.6386554621848739	0.0758183267271754	0.3710084619010778	0.04887386886327436	0.5549053834855673	0.6666436166615399	150.5	0.036517515213318	0.06795878275546127	0.03753152820724436	0.12631853741828158	150.5	0.2781064001948017	0.3256109528836152	0.28017677733017876	0.40386465164102703	150.5	0.040463452852669266	0.06714620683383012	0.040253127932043414	0.11589512832829948	150.5	0.20603898249530586	0.2347517540847672	0.2043584506030034	0.28227024384531096	1
HER2ST::C	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	150.5	0.613694332177041	0.5210084033613445	0.01539742945103541	0.40207369778587665	0.007871650255501784	0.7922658265732341	0.4627932575344452	150.5	0.5825284425980922	0.5672268907563025	0.15396276537353726	0.35731659346609485	-0.054366717845943324	1.7319948728650194	0.3384027179235988	150.5	0.03651751521727893	0.06795878276360273	0.03753152820808463	0.12631853739916526	150.5	0.2781064002136811	0.3256109528351747	0.28017677731817503	0.40386465172658625	150.5	0.03567680216089436	0.07048083583446246	0.039299001501297795	0.15152091764173273	150.5	0.43412643671633244	0.5686476805608873	0.4308862376348629	0.681122721838131	1
