independent_unit_id	method	strategy	coverage	training_positive_precision	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST::A	balanced_ot	all_top1	1.0	0.6792965618939342	0.006049228201919065	0.020551203763732356	0.039069782135251904	0.025428553257789296	128.5	0.870542013331387	0.8315513463213156
HER2ST::B	balanced_ot	all_top1	1.0	0.5400090124292143	0.0	0.029196368533330432	0.06022650448677168	0.02565749148074016	114.2	0.3105209898134193	0.781600941718172
HER2ST::C	balanced_ot	all_top1	1.0	0.5104312523131955	0.004166666666666667	0.04439655172413793	0.07239780485697	0.03944768687043117	70.65	0.7880026455026455	0.8488747450396499
HER2ST::D	balanced_ot	all_top1	1.0	0.6339755922876034	0.0023809523809523807	0.025270780969640746	0.04455068805442588	0.0256276474994667	114.35	0.4404533805239569	0.8389827496459386
HER2ST::E	balanced_ot	all_top1	1.0	0.7679677735509121	0.004757676204324631	0.0203004202151309	0.043133272742675866	0.022719232890213485	195.45	0.5281814309060741	0.773977631082216
HER2ST::F	balanced_ot	all_top1	1.0	0.8023172993679166	0.004788518928168955	0.022471112625514128	0.043824672044091045	0.023542403688688696	204.5	0.9083755562623707	0.8062715846453773
HER2ST::G	balanced_ot	all_top1	1.0	0.6984130728847406	0.00459255021612001	0.020267865767826933	0.0404655193344817	0.02557878620961221	144.95	0.36410340432957833	0.7948284349407118
HER2ST::H	balanced_ot	all_top1	1.0	0.835042126339131	0.005663217856312486	0.022394762179502162	0.04596407121343183	0.025511038701452705	173.2	0.18795667113049444	0.7781440941449784
HER2ST::A	balanced_ot	identity_no_training	0.0		0.8743313717040261	0.9559628169456083	0.9777835989648134	0.9094526317180671	1.0	0.9893543521627013	0.4035384276077259
HER2ST::B	balanced_ot	identity_no_training	0.0		0.7652767445320636	0.8755908201974505	0.9220388303762871	0.8162137788726176	1.95	0.9201893562482379	0.405794561982575
HER2ST::C	balanced_ot	identity_no_training	0.0		0.5513259441707716	0.7782191590086327	0.8484238373712057	0.6564235478871377	2.55	0.9577157453019522	0.4242763827051489
HER2ST::D	balanced_ot	identity_no_training	0.0		0.8665191676885861	0.9471593945665557	0.9658155296778532	0.9012998941022501	1.0	0.9682382201917995	0.4107463172229803
HER2ST::E	balanced_ot	identity_no_training	0.0		0.9742631950475087	1.0	1.0	0.9864520075059291	1.0	0.9876446846544885	0.3889094217288995
HER2ST::F	balanced_ot	identity_no_training	0.0		0.9609706735354762	0.9920225112410002	0.9958762886597938	0.9751459172369388	1.0	0.994261184982786	0.4188618415993809
HER2ST::G	balanced_ot	identity_no_training	0.0		0.9496586381273004	0.9865199230942776	0.9910716486523041	0.9670305747689516	1.0	0.9782079104237125	0.41890018148154035
HER2ST::H	balanced_ot	identity_no_training	0.0		0.981327814203153	0.9989010989010989	1.0	0.988935410471119	1.0	0.9886530742735111	0.41638594823259767
HER2ST::A	balanced_ot	max_probability_gate	0.8	0.6496013282744353	0.002127659574468085	0.015014429667120532	0.04085040891587868	0.022781932198704204	131.85000000000002	0.870542013331387	0.8295256681902601
HER2ST::B	balanced_ot	max_probability_gate	0.8	0.5577333216559204	0.0	0.024941049384394263	0.055575341696074004	0.02543305222129704	114.7	0.30312005741248693	0.7787846305566555
HER2ST::C	balanced_ot	max_probability_gate	0.8	0.5228920693196849	0.004166666666666667	0.019281609195402297	0.06516096275170685	0.03508120837760513	72.6	0.7953042328042328	0.846919642501138
HER2ST::D	balanced_ot	max_probability_gate	0.8	0.652048236621072	0.002631578947368421	0.025270780969640746	0.046573045778003114	0.025514803647317445	116.25	0.44491300519539156	0.8378395254268627
HER2ST::E	balanced_ot	max_probability_gate	0.8	0.7657165071680989	0.004757676204324631	0.015412869494246842	0.037079865365739074	0.02042763052650613	207.45	0.5299152444313531	0.7728792759083682
HER2ST::F	balanced_ot	max_probability_gate	0.8	0.773076544427158	0.003911325945712815	0.018324122988254594	0.03575381699568047	0.021022482244521155	219.54999999999998	0.9219911041373097	0.8048662177939785
HER2ST::G	balanced_ot	max_probability_gate	0.8	0.6670996866768153	0.0028381642512077293	0.015586129375564226	0.04200398087294323	0.02283074557380687	153.3	0.3584589339482658	0.7924586975394945
HER2ST::H	balanced_ot	max_probability_gate	0.8	0.8404539815730959	0.0011363636363636363	0.0174966211048905	0.03648553287513219	0.020222477540456224	181.25	0.19059128802129205	0.7759423076759773
HER2ST::A	balanced_ot	oracle_truth	0.8	1.0	0.006049228201919065	0.022540418252946847	0.035366078431548195	0.025519502795189414	129.45	0.8686901614795353	0.8340814763894457
HER2ST::B	balanced_ot	oracle_truth	0.8	1.0	0.006636271529888551	0.01747249122310973	0.048796519330908256	0.028742088640913856	113.9	0.28546271475514423	0.7850812139435142
HER2ST::C	balanced_ot	oracle_truth	0.8	1.0	0.004166666666666667	0.017614942528735633	0.06513590009506526	0.0333439323320751	71.9	0.7876322751322751	0.8507090302288827
HER2ST::D	balanced_ot	oracle_truth	0.8	1.0	0.0023809523809523807	0.024661559745849562	0.036980084716813556	0.02411083209826506	113.6	0.3804408491956361	0.8396913988469701
HER2ST::E	balanced_ot	oracle_truth	0.8	1.0	0.0047977831561962885	0.02073106661455955	0.03886472128114195	0.022705393246673613	192.64999999999998	0.5347823179829252	0.7759457515239105
HER2ST::F	balanced_ot	oracle_truth	0.8	1.0	0.0019081208175076867	0.016569904934711974	0.04087137534079434	0.020081510492156923	206.45	0.9209533355939937	0.8079213537215177
HER2ST::G	balanced_ot	oracle_truth	0.8	1.0	0.004958047292143402	0.018789790702795343	0.044526440403411915	0.02554608476551687	146.1	0.308703145771425	0.7972624614104318
HER2ST::H	balanced_ot	oracle_truth	0.8	1.0	0.005770722283936265	0.018539334745643357	0.03763058670987059	0.023412825576840143	179.5	0.176104998758788	0.7790746513278969
HER2ST::A	balanced_ot	random_gate	0.8	0.6827878345396421	0.006049228201919065	0.018746652293866482	0.040551263616733384	0.024817959450320948	132.32	0.8702152159457661	0.8312471821147496
HER2ST::B	balanced_ot	random_gate	0.8	0.5401902427640481	0.0	0.02596094487732291	0.054983932445585096	0.025294981364902734	115.78	0.3051130644054939	0.780711881639544
HER2ST::C	balanced_ot	random_gate	0.8	0.5094875426225275	0.0055	0.03370689655172414	0.067106257021865	0.03843593907468745	71.77000000000001	0.7756851851851851	0.8481475955896395
HER2ST::D	balanced_ot	random_gate	0.8	0.6362064163157963	0.003433583959899749	0.023647011179311263	0.04064149433842857	0.025455860388612476	115.75999999999999	0.44246151060525774	0.8383194229114082
HER2ST::E	balanced_ot	random_gate	0.8	0.7652360826385698	0.00406000178571998	0.01779914018185912	0.03508380239407191	0.01995248982531412	205.65	0.5206793916393838	0.7730391690635676
HER2ST::F	balanced_ot	random_gate	0.8	0.7994235939164889	0.00440390354355357	0.017358501831164358	0.03772647361345885	0.020885833549627975	217.64	0.9169869114721787	0.8056946628623056
HER2ST::G	balanced_ot	random_gate	0.8	0.6974527139906214	0.004241673023137554	0.018900588879955077	0.04061695214380924	0.02372155941266316	153.27	0.35620449732540815	0.7939430932658691
HER2ST::H	balanced_ot	random_gate	0.8	0.8350533961673143	0.003870378981632179	0.015536152963262937	0.03609496674586189	0.021045416552737325	185.3	0.1780108045545729	0.7768024048104909
HER2ST::A	balanced_ot	top2_margin_gate	0.8	0.7867907250060595	0.006049228201919065	0.02064121029390116	0.04092163398710376	0.026059661910865103	131.35	0.8686901614795353	0.8318326923373469
HER2ST::B	balanced_ot	top2_margin_gate	0.8	0.6584640858227526	0.002127659574468085	0.02899844671244968	0.060281875472375235	0.0278295269073252	114.75	0.30824826254069204	0.7797993742292504
HER2ST::C	balanced_ot	top2_margin_gate	0.8	0.5948573434337426	0.008333333333333333	0.02939655172413793	0.07073113819030333	0.0395886191083323	71.75	0.7991137566137566	0.8472396746383445
HER2ST::D	balanced_ot	top2_margin_gate	0.8	0.7508034662157804	0.005012531328320802	0.024498423246063508	0.04874834465236672	0.027639269761210297	113.80000000000001	0.44695515324845103	0.8384455805706705
HER2ST::E	balanced_ot	top2_margin_gate	0.8	0.9082808282509489	0.003621312567960995	0.01921959562940435	0.04217074885001542	0.021972718971038755	198.7	0.5153225460951179	0.7749137868317597
HER2ST::F	balanced_ot	top2_margin_gate	0.8	0.9160772856586972	0.0030341329632566742	0.020247199911331518	0.04493994535822491	0.022089654594008332	208.0	0.9197365145685186	0.8070606517175217
HER2ST::G	balanced_ot	top2_margin_gate	0.8	0.8121717384751184	0.00459255021612001	0.017124590914025763	0.04185440822337058	0.02440915540822532	148.05	0.3383705155703738	0.7947178219011377
HER2ST::H	balanced_ot	top2_margin_gate	0.8	0.9492213060595693	0.004576261334573355	0.021825584979890178	0.048241641216918284	0.024129777244833523	179.45	0.15824743632085703	0.7779112475256429
HER2ST::A	row_softmax	all_top1	1.0	0.807692575111784	0.006049228201919065	0.02261164332417192	0.03710899782152641	0.026253694989415367	131.1	0.870542013331387	0.8332888374195551
HER2ST::B	row_softmax	all_top1	1.0	0.8164360052096536	0.0	0.02236217518256113	0.055884005488161845	0.024740257662880745	112.85	0.28802681731924684	0.7848558437445998
HER2ST::C	row_softmax	all_top1	1.0	0.6680462708625827	0.004166666666666667	0.024081804127176178	0.07506837015911424	0.03546812598028247	70.5	0.8016137566137566	0.8478396610189527
HER2ST::D	row_softmax	all_top1	1.0	0.8969314823860997	0.0	0.030018702602992418	0.046043258766921405	0.024935896192328222	112.30000000000001	0.44263841628408895	0.8397091159497418
HER2ST::E	row_softmax	all_top1	1.0	0.9613025886202466	0.00363499245852187	0.02690452689276699	0.05134223650375521	0.025150631487927295	180.95	0.543045891750784	0.7766521793368741
HER2ST::F	row_softmax	all_top1	1.0	0.9809815955773663	0.0038269804666304936	0.02437923344302181	0.047797773226664605	0.023773066759761673	192.85000000000002	0.9154906132845285	0.8086244325262402
HER2ST::G	row_softmax	all_top1	1.0	0.7691898559357384	0.002987736900780379	0.022053365842800692	0.043533189987400675	0.024756247903891967	145.65	0.271617223817082	0.7960027612746776
HER2ST::H	row_softmax	all_top1	1.0	0.9083414715464335	0.006799581492676121	0.03175652250247305	0.056821534453674265	0.028250869539658944	173.25	0.17167914438834708	0.7797562676646039
HER2ST::A	row_softmax	identity_no_training	0.0		0.8743313717040261	0.9559628169456083	0.9777835989648134	0.9094526317180671	1.0	0.9893543521627013	0.4035384276077259
HER2ST::B	row_softmax	identity_no_training	0.0		0.7652767445320636	0.8755908201974505	0.9220388303762871	0.8162137788726176	1.95	0.9201893562482379	0.405794561982575
