dataset	pair_id	biological_pair_id	independent_unit_id	direction	method	representation_features	model	ridge_alpha	fold	strategy	coverage	repeat	source_ids_sha256	n_train_available	n_train_selected	n_test	training_positive_precision	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	1	max_probability_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	211	169	62	0.6568047337278107	0.0	0.0	0.0	0.014187484775540868	161.0	0.5161290322580645	0.8108312436778711
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	1	top2_margin_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	211	169	62	0.7928994082840237	0.0	0.0	0.0	0.014166086229152844	163.5	0.5161290322580645	0.8114869545320965
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	1	oracle_truth	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	211	169	62	1.0	0.0	0.0	0.0	0.013939598638073048	156.5	0.5161290322580645	0.8137994485052044
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	1	random_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	211	169	62	0.6804733727810651	0.0	0.0	0.0	0.013936311249553754	162.5	0.5161290322580645	0.8110766048612604
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	1	random_gate	0.8	1	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	211	169	62	0.6923076923076923	0.0	0.0	0.0	0.014406344487209077	164.0	0.5161290322580645	0.8108420351155559
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	1	random_gate	0.8	2	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	211	169	62	0.7041420118343196	0.0	0.0	0.0	0.014775089081549361	169.0	0.5161290322580645	0.8105414169683207
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	1	random_gate	0.8	3	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	211	169	62	0.6745562130177515	0.0	0.0	0.0	0.013976795942123744	161.0	0.5161290322580645	0.8105684199758013
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	1	random_gate	0.8	4	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	211	169	62	0.7159763313609467	0.0	0.0	0.0	0.014635222277206369	159.5	0.5161290322580645	0.8114421149635623
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	2	identity_no_training	0.0	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	221	0	52		0.7884615384615384	0.9230769230769231	0.9423076923076923	0.8477330361945747	1.0	1.0	0.40082750389677185
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	2	all_top1	1.0	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	221	221	52	0.6787330316742082	0.0	0.0	0.019230769230769232	0.01596368373766719	110.5	1.0	0.819212390119998
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	2	max_probability_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	221	177	52	0.6497175141242938	0.0	0.019230769230769232	0.019230769230769232	0.017173045620025477	117.5	1.0	0.8166519001249056
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	cost_features_500	multioutput_ridge	1.0	2	top2_margin_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	221	177	52	0.7627118644067796	0.0	0.019230769230769232	0.019230769230769232	0.016664502657617583	113.5	1.0	0.819461472501849
