independent_unit_id	method	metric	max_probability	top2_margin	raw_margin_minus_max	beneficial_margin_effect
HER2ST::A	balanced_ot	training_positive_precision	0.6496013282744353	0.7867907250060595	0.13718939673162422	0.13718939673162422
HER2ST::B	balanced_ot	training_positive_precision	0.5577333216559204	0.6584640858227526	0.10073076416683224	0.10073076416683224
HER2ST::C	balanced_ot	training_positive_precision	0.5228920693196849	0.5948573434337426	0.07196527411405773	0.07196527411405773
HER2ST::D	balanced_ot	training_positive_precision	0.652048236621072	0.7508034662157804	0.0987552295947084	0.0987552295947084
HER2ST::E	balanced_ot	training_positive_precision	0.7657165071680989	0.9082808282509489	0.14256432108285	0.14256432108285
HER2ST::F	balanced_ot	training_positive_precision	0.773076544427158	0.9160772856586972	0.14300074123153916	0.14300074123153916
HER2ST::G	balanced_ot	training_positive_precision	0.6670996866768153	0.8121717384751184	0.14507205179830307	0.14507205179830307
HER2ST::H	balanced_ot	training_positive_precision	0.8404539815730959	0.9492213060595693	0.10876732448647342	0.10876732448647342
HER2ST::A	row_softmax	training_positive_precision	0.8173212162222874	0.9046912497466315	0.08737003352434414	0.08737003352434414
HER2ST::B	row_softmax	training_positive_precision	0.8168510694864164	0.9355637290609116	0.11871265957449517	0.11871265957449517
HER2ST::C	row_softmax	training_positive_precision	0.6968191235497785	0.74588017080166	0.04906104725188154	0.04906104725188154
HER2ST::D	row_softmax	training_positive_precision	0.9029341760561433	0.9762590320954878	0.07332485603934447	0.07332485603934447
HER2ST::E	row_softmax	training_positive_precision	0.9535586689486515	0.9904699407788956	0.03691127183024412	0.03691127183024412
HER2ST::F	row_softmax	training_positive_precision	0.982477055400962	1.0	0.017522944599038026	0.017522944599038026
HER2ST::G	row_softmax	training_positive_precision	0.7500518363917936	0.8677470736520456	0.117695237260252	0.117695237260252
HER2ST::H	row_softmax	training_positive_precision	0.9347201387080065	0.9849298088517424	0.050209670143735896	0.050209670143735896
HER2ST::A	uot	training_positive_precision	0.738671846534204	0.8552348688499459	0.1165630223157419	0.1165630223157419
HER2ST::B	uot	training_positive_precision	0.682737778527389	0.7985311531144257	0.11579337458703665	0.11579337458703665
HER2ST::C	uot	training_positive_precision	0.6887844407916673	0.79437752120795	0.10559308041628268	0.10559308041628268
HER2ST::D	uot	training_positive_precision	0.7439595377348984	0.8571906793854177	0.11323114165051928	0.11323114165051928
HER2ST::E	uot	training_positive_precision	0.9111253524129244	0.9843927819693838	0.07326742955645948	0.07326742955645948
HER2ST::F	uot	training_positive_precision	0.9168452170844399	0.9880563240528131	0.07121110696837318	0.07121110696837318
HER2ST::G	uot	training_positive_precision	0.7222378092446682	0.8749941822289238	0.1527563729842556	0.1527563729842556
HER2ST::H	uot	training_positive_precision	0.9038102381368334	0.9845836713575566	0.08077343322072328	0.08077343322072328
HER2ST::A	balanced_ot	top1	0.002127659574468085	0.006049228201919065	0.00392156862745098	0.00392156862745098
HER2ST::B	balanced_ot	top1	0.0	0.002127659574468085	0.002127659574468085	0.002127659574468085
HER2ST::C	balanced_ot	top1	0.004166666666666667	0.008333333333333333	0.004166666666666667	0.004166666666666667
HER2ST::D	balanced_ot	top1	0.002631578947368421	0.005012531328320802	0.0023809523809523807	0.0023809523809523807
HER2ST::E	balanced_ot	top1	0.004757676204324631	0.003621312567960995	-0.0011363636363636359	-0.0011363636363636359
HER2ST::F	balanced_ot	top1	0.003911325945712815	0.0030341329632566742	-0.0008771929824561405	-0.0008771929824561405
HER2ST::G	balanced_ot	top1	0.0028381642512077293	0.00459255021612001	0.0017543859649122805	0.0017543859649122805
HER2ST::H	balanced_ot	top1	0.0011363636363636363	0.004576261334573355	0.0034398976982097187	0.0034398976982097187
HER2ST::A	row_softmax	top1	0.002127659574468085	0.006049228201919065	0.00392156862745098	0.00392156862745098
HER2ST::B	row_softmax	top1	0.00425531914893617	0.0	-0.00425531914893617	-0.00425531914893617
HER2ST::C	row_softmax	top1	0.004166666666666667	0.004166666666666667	0.0	0.0
HER2ST::D	row_softmax	top1	0.0	0.0024390243902439024	0.0024390243902439024	0.0024390243902439024
HER2ST::E	row_softmax	top1	0.001282051282051282	0.001282051282051282	0.0	0.0
HER2ST::F	row_softmax	top1	0.002072594501718213	0.002949787484174353	0.00087719298245614	0.00087719298245614
HER2ST::G	row_softmax	top1	0.002987736900780379	0.0014492753623188406	-0.0015384615384615385	-0.0015384615384615385
HER2ST::H	row_softmax	top1	0.003350383631713555	0.004576261334573355	0.0012258777028598	0.0012258777028598
HER2ST::A	uot	top1	0.004088443888193575	0.006049228201919065	0.00196078431372549	0.00196078431372549
HER2ST::B	uot	top1	0.0	0.0	0.0	0.0
HER2ST::C	uot	top1	0.004166666666666667	0.004166666666666667	0.0	0.0
HER2ST::D	uot	top1	0.0023809523809523807	0.0023809523809523807	0.0	0.0
HER2ST::E	uot	top1	0.0024585218702865763	0.001282051282051282	-0.0011764705882352942	-0.0011764705882352942
HER2ST::F	uot	top1	0.002949787484174353	0.002949787484174353	0.0	0.0
HER2ST::G	uot	top1	0.003203661327231121	0.003203661327231121	0.0	0.0
HER2ST::H	uot	top1	0.004486747268077192	0.005810829235807923	0.001324081967730731	0.001324081967730731
HER2ST::A	balanced_ot	top5	0.015014429667120532	0.02064121029390116	0.005626780626780629	0.005626780626780629
HER2ST::B	balanced_ot	top5	0.024941049384394263	0.02899844671244968	0.004057397328055417	0.004057397328055417
HER2ST::C	balanced_ot	top5	0.019281609195402297	0.02939655172413793	0.010114942528735633	0.010114942528735633
HER2ST::D	balanced_ot	top5	0.025270780969640746	0.024498423246063508	-0.0007723577235772376	-0.0007723577235772376
HER2ST::E	balanced_ot	top5	0.015412869494246842	0.01921959562940435	0.0038067261351575083	0.0038067261351575083
HER2ST::F	balanced_ot	top5	0.018324122988254594	0.020247199911331518	0.0019230769230769232	0.0019230769230769232
HER2ST::G	balanced_ot	top5	0.015586129375564226	0.017124590914025763	0.0015384615384615372	0.0015384615384615372
HER2ST::H	balanced_ot	top5	0.0174966211048905	0.021825584979890178	0.0043289638749996785	0.0043289638749996785
HER2ST::A	row_softmax	top5	0.01690398890962095	0.02254550575803435	0.005641516848413401	0.005641516848413401
HER2ST::B	row_softmax	top5	0.026870787137981595	0.015146909827760891	-0.011723877310220704	-0.011723877310220704
HER2ST::C	row_softmax	top5	0.024544767090139138	0.022985312899106	-0.001559454191033139	-0.001559454191033139
HER2ST::D	row_softmax	top5	0.022222535355605658	0.026805868688938993	0.004583333333333335	0.004583333333333335
HER2ST::E	row_softmax	top5	0.019307185962092722	0.021823805145378572	0.0025166191832858495	0.0025166191832858495
HER2ST::F	row_softmax	top5	0.01935505082330614	0.020485448154378905	0.0011303973310727647	0.0011303973310727647
HER2ST::G	row_softmax	top5	0.017363349739741112	0.019192367192328356	0.0018290174525872442	0.0018290174525872442
HER2ST::H	row_softmax	top5	0.023523165997590547	0.0212063470141049	-0.0023168189834856454	-0.0023168189834856454
HER2ST::A	uot	top5	0.015014429667120532	0.02617798439051298	0.01116355472339245	0.01116355472339245
HER2ST::B	uot	top5	0.026870787137981595	0.024362055559482572	-0.002508731578499023	-0.002508731578499023
HER2ST::C	uot	top5	0.035378100423472475	0.035378100423472475	0.0	0.0
HER2ST::D	uot	top5	0.02241654171296246	0.021866844298695086	-0.0005496974142673756	-0.0005496974142673756
HER2ST::E	uot	top5	0.015598664091806146	0.018035748612223998	0.002437084520417852	0.002437084520417852
HER2ST::F	uot	top5	0.020385978658357687	0.022224710102352288	0.0018387314439946012	0.0018387314439946012
HER2ST::G	uot	top5	0.02009276599946968	0.018663052452487304	-0.0014297135469823752	-0.0014297135469823752
HER2ST::H	uot	top5	0.02001587082362871	0.022015933846709634	0.002000063023080926	0.002000063023080926
HER2ST::A	balanced_ot	top10	0.04085040891587868	0.04092163398710376	7.12250712250756e-05	7.12250712250756e-05
HER2ST::B	balanced_ot	top10	0.055575341696074004	0.060281875472375235	0.0047065337763012305	0.0047065337763012305
HER2ST::C	balanced_ot	top10	0.06516096275170685	0.07073113819030333	0.005570175438596475	0.005570175438596475
HER2ST::D	balanced_ot	top10	0.046573045778003114	0.04874834465236672	0.0021752988743636084	0.0021752988743636084
HER2ST::E	balanced_ot	top10	0.037079865365739074	0.04217074885001542	0.005090883484276346	0.005090883484276346
HER2ST::F	balanced_ot	top10	0.03575381699568047	0.04493994535822491	0.00918612836254444	0.00918612836254444
HER2ST::G	balanced_ot	top10	0.04200398087294323	0.04185440822337058	-0.00014957264957264627	-0.00014957264957264627
HER2ST::H	balanced_ot	top10	0.03648553287513219	0.048241641216918284	0.011756108341786094	0.011756108341786094
HER2ST::A	row_softmax	top10	0.035366078431548195	0.04068268536105835	0.005316606929510158	0.005316606929510158
