dataset	pair_type	biological_pair_id	independent_unit_id	cohort_role	pair_id	direction	method	epsilon	tau	branch	witness	score	n_estimable	spearman	aurc	oracle_aurc	random_aurc	normalized_excess_aurc	retained_loss_at_80pct_coverage	retained_loss_at_90pct_coverage
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	row_softmax	0.25		main21	heldout_expression_loss	finite_response_h001	1500	-0.576270350342378	0.3092009919883437	0.26492252642634123	0.2948378180267494	1.4801281616589135	0.30392991369921313	0.29793048121241605
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	row_softmax	0.25		main21	heldout_expression_loss	local_reference	1500	-0.5762723450099312	0.30920135833480866	0.26492252642634123	0.2948378180267494	1.4801404077860725	0.30392991369921324	0.2979895623409258
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	row_softmax	0.25		main21	heldout_expression_loss	endpoint_response	1500	-0.5763477085989817	0.3091716932224671	0.26492252642634123	0.2948378180267494	1.4791487707083604	0.30385368006123725	0.29789112450821076
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	row_softmax	0.25		main21	heldout_expression_loss	source_boundary_proximity	1500	-0.1416351118378006	0.30165412590708124	0.26492252642634123	0.2948378180267494	1.2278536332314682	0.30059427695039115	0.2977630550738713
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	balanced_ot	0.25		main21	heldout_expression_loss	finite_response_h001	1500	0.5148754323890811	0.28936412691068414	0.2734049716426299	0.3024271256159434	0.5498956170768379	0.2923777071271832	0.2977546778826503
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	balanced_ot	0.25		main21	heldout_expression_loss	local_reference	1500	0.5149269524119789	0.28936459939340464	0.2734049716426299	0.3024271256159434	0.5499118971476051	0.2923777071271832	0.2977546778826503
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	balanced_ot	0.25		main21	heldout_expression_loss	endpoint_response	1500	0.5063591797151911	0.2895356510561455	0.2734049716426299	0.3024271256159434	0.5558057278707873	0.2924849895609292	0.2978783546762185
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	balanced_ot	0.25		main21	heldout_expression_loss	source_boundary_proximity	1500	-0.12250067495135604	0.3086177961871501	0.2734049716426299	0.3024271256159434	1.2133084462614008	0.30774109656618465	0.3052746073029879
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID	forward	uot	0.25	2.0	main21	heldout_expression_loss	finite_response_h001	1500	0.7706534098643186	0.3327034424911928	0.3229388880405993	0.4035788947066967	0.12108821482400427	0.33775912137056907	0.36902999600303393
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID	forward	uot	0.25	2.0	main21	heldout_expression_loss	local_reference	1500	0.7708636784024024	0.33269456284049337	0.3229388880405993	0.4035788947066967	0.12097810011709181	0.33775912137056907	0.36902999600303393
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID	forward	uot	0.25	2.0	main21	heldout_expression_loss	endpoint_response	1500	0.751554178247683	0.333395132185401	0.3229388880405993	0.4035788947066967	0.12966571528320234	0.33780795761555815	0.36905163775063254
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID	forward	uot	0.25	2.0	main21	heldout_expression_loss	source_boundary_proximity	1500	0.30063310967764856	0.38379135589539765	0.3229388880405993	0.4035788947066967	0.7546188346284187	0.386014487745614	0.3944319296502196
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID	forward	row_softmax	0.25		main21	heldout_expression_loss	finite_response_h001	1500	-0.7211489984850207	0.4517002432482722	0.32385554290646007	0.40514103330032725	1.5727862343247636	0.43753707429746386	0.42055557380552105
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID	forward	row_softmax	0.25		main21	heldout_expression_loss	local_reference	1500	-0.7211715531617316	0.4517010966806888	0.32385554290646007	0.40514103330032725	1.5727967335222526	0.43753707429746386	0.42055557380552105
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID	forward	row_softmax	0.25		main21	heldout_expression_loss	endpoint_response	1500	-0.7195800857863315	0.4516865886913225	0.32385554290646007	0.40514103330032725	1.5726182516148912	0.43849748559967383	0.42148694047190893
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID	forward	row_softmax	0.25		main21	heldout_expression_loss	source_boundary_proximity	1500	0.3014232023262205	0.3850337829182931	0.32385554290646007	0.40514103330032725	0.7526341997248848	0.3872632589382872	0.3958421972067866
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID	forward	balanced_ot	0.25		main21	heldout_expression_loss	finite_response_h001	1500	0.3556675148350444	0.36504177352459405	0.32287405997434415	0.4034202853216576	0.5235219076800149	0.3711456525432108	0.3806135266736758
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID	forward	balanced_ot	0.25		main21	heldout_expression_loss	local_reference	1500	0.35590307049550074	0.365038152875146	0.32287405997434415	0.4034202853216576	0.5234769564804718	0.3708434314886328	0.3806135266736758
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID	forward	balanced_ot	0.25		main21	heldout_expression_loss	endpoint_response	1500	0.33425896485665907	0.3668488614656597	0.32287405997434415	0.4034202853216576	0.5459573220433017	0.3710613134672963	0.38275158160034867
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID	forward	balanced_ot	0.25		main21	heldout_expression_loss	source_boundary_proximity	1500	0.30089129343639986	0.3836542059638264	0.32287405997434415	0.4034202853216576	0.7545995573026504	0.38588084842064224	0.39428512474391364
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	heldout_expression_loss	finite_response_h001	1500	0.38164751895445287	0.25138859717153045	0.22713687409763794	0.2746376828555829	0.5105538980920233	0.25320124251425924	0.2582245048746547
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	heldout_expression_loss	local_reference	1500	0.3820614746939888	0.25137338388181074	0.22713687409763794	0.2746376828555829	0.510233623761596	0.25320124251425924	0.2582245048746547
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	heldout_expression_loss	endpoint_response	1500	0.3462043423130411	0.2525563106871474	0.22713687409763794	0.2746376828555829	0.5351369219636252	0.2544955643707115	0.2578802832440014
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	heldout_expression_loss	source_boundary_proximity	1500	0.1955187143940664	0.2610509205463192	0.22713687409763794	0.2746376828555829	0.7139677688752785	0.26083354964558986	0.26617243386961964
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2743_ANT_MID	spatialDLPFC::Br2743	primary_expansion	SDLPFC_Br2743_ANT_MID__reverse	reverse	row_softmax	0.25		main21	heldout_expression_loss	finite_response_h001	1500	-0.3741188009416893	0.27567546613772853	0.21944587490931466	0.2688928959155499	1.1371684296476299	0.2696393014872087	0.27058124594964705
