independent_unit_id	cohort_role	method	epsilon0	tau0	contrast_type	regularization_regime	u	v	alpha	beta	metric	reference_value	comparison_value	contrast
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	1.0	0.0	0.5	endpoint_response_q90	0.02537267068050559	0.2242354588382336	0.19886278815772798
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	1.0	0.0	0.5	h001_response_mean	0.019527433644678897	0.1345221519994157	0.11499471835473682
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	1.0	0.0	0.5	h001_response_median	0.017947703220280192	0.13408934761018015	0.11614164438989996
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.5	1.0	0.0	0.5	h001_response_q90	0.026279476158974524	0.15954925142948115	0.13326977527050662
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	0.0	0.75	0.0	endpoint_response_mean	0.4490341133323954	0.4474215226983263	-0.001612590634069072
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	0.0	0.75	0.0	endpoint_response_median	0.45342465159460765	0.4524378554563331	-0.0009867961382745982
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	0.0	0.75	0.0	endpoint_response_q90	0.5817229542991367	0.5772515034327896	-0.004471450866346927
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	0.0	0.75	0.0	h001_response_mean	0.27096721354617326	0.20226630644638544	-0.06870090709978781
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	0.0	0.75	0.0	h001_response_median	0.2701018775547379	0.20155070383112372	-0.06855117372361416
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	0.0	0.75	0.0	h001_response_q90	0.32021437109784623	0.23990307622351045	-0.08031129487433575
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	0.25	0.5625	0.1875	endpoint_response_mean	0.22688178443085255	0.16784787161664327	-0.05903391281420929
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	0.25	0.5625	0.1875	endpoint_response_median	0.22640320932883762	0.16550430432657337	-0.06089890500226426
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	0.75	0.25	0.5625	0.1875	endpoint_response_q90	0.27144197428238603	0.20205325024944198	-0.06938872403294404
