independent_unit_id	cohort_role	method	epsilon	tau	split	score	local_fidelity_n_estimable	local_fidelity_spearman	local_fidelity_top_overlap	local_fidelity_raw_mae	local_fidelity_rmae	local_fidelity_intercept	local_fidelity_slope	local_fidelity_r2	endpoint_transfer_n_estimable	endpoint_transfer_spearman	endpoint_transfer_top_overlap	endpoint_transfer_raw_mae	endpoint_transfer_rmae	endpoint_transfer_intercept	endpoint_transfer_slope	endpoint_transfer_r2	heldout_aurc	heldout_oracle_aurc	heldout_random_aurc	heldout_normalized_excess_aurc	heldout_retained_loss_at_80pct_coverage	heldout_retained_loss_at_90pct_coverage
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		historical	endpoint_response	307.0	0.9999952506984241	1.0	6.810984850479876e-06	0.00034867199352481314	-6.17909290194222e-05	1.0035044145643641	0.9999906296845957	307.0	0.9973766383859997	0.9678571428571429	0.0005299632841343715	0.027866720634630537	0.00400434288084465	0.7685770396916116	0.9424073426034478	0.1484049519422494	0.1365317876265592	0.17405059152905028	0.3264514064444867	0.14866366609173448	0.15970797976799928
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		historical	finite_response_h001	307.0	0.9999952506984241	1.0	6.810984850479876e-06	0.00034867199352481314	-6.17909290194222e-05	1.0035044145643641	0.9999906296845957	307.0	0.9973766383859997	0.9678571428571429	0.0005299632841343715	0.027866720634630537	0.00400434288084465	0.7685770396916116	0.9424073426034478	0.14809828431585703	0.1365317876265592	0.17405059152905028	0.31623346163260413	0.1480578878404224	0.15910869750702325
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		historical	local_reference	307.0	0.9999952506984241	1.0	6.810984850479876e-06	0.00034867199352481314	-6.17909290194222e-05	1.0035044145643641	0.9999906296845957	307.0	0.9973766383859997	0.9678571428571429	0.0005299632841343715	0.027866720634630537	0.00400434288084465	0.7685770396916116	0.9424073426034478	0.14807597663390287	0.1365317876265592	0.17405059152905028	0.31559306362968503	0.1480578878404224	0.15910869750702325
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		random_20260720	endpoint_response	307.0	0.999991444515379	1.0	8.822111090278672e-05	0.0019170058221297584	-0.00021417735597514137	1.0065659768567996	0.9999954808637074	307.0	0.9881810165873548	0.8678571428571429	0.0061949398315221775	0.15535295430275378	0.014211304189912274	0.557694466937144	0.9407321760375221	0.3717544503231317	0.35903003932308414	0.3901141414724438	0.41485349867791804	0.37188138632425516	0.3789137750365541
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		random_20260720	finite_response_h001	307.0	0.999991444515379	1.0	8.822111090278672e-05	0.0019170058221297584	-0.00021417735597514137	1.0065659768567996	0.9999954808637074	307.0	0.9881810165873548	0.8678571428571429	0.0061949398315221775	0.15535295430275378	0.014211304189912274	0.557694466937144	0.9407321760375221	0.3725911053054036	0.35903003932308414	0.3901141414724438	0.43742456354285975	0.37423212822250107	0.37954967970291287
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		random_20260720	local_reference	307.0	0.999991444515379	1.0	8.822111090278672e-05	0.0019170058221297584	-0.00021417735597514137	1.0065659768567996	0.9999954808637074	307.0	0.9881810165873548	0.8678571428571429	0.0061949398315221775	0.15535295430275378	0.014211304189912274	0.557694466937144	0.9407321760375221	0.3726023814549062	0.35903003932308414	0.3901141414724438	0.4377284471386291	0.37423212822250107	0.3795799023874109
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		random_20260721	endpoint_response	307.0	0.9999870597762954	1.0	9.031256471390549e-05	0.0019414495854424355	-0.00022469833212968596	1.0067678200565586	0.9999969262797799	307.0	0.988496133747043	0.9107142857142857	0.006445882209446748	0.16062090487282166	0.016802884866712255	0.5014852154584057	0.9241245957077792	0.41599019328213704	0.4036503349072811	0.4382413920104895	0.3530223303454306	0.4164099182255939	0.4258255975573464
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		random_20260721	finite_response_h001	307.0	0.9999870597762954	1.0	9.031256471390549e-05	0.0019414495854424355	-0.00022469833212968596	1.0067678200565586	0.9999969262797799	307.0	0.988496133747043	0.9107142857142857	0.006445882209446748	0.16062090487282166	0.016802884866712255	0.5014852154584057	0.9241245957077792	0.416478998593263	0.4036503349072811	0.4382413920104895	0.36324190491915626	0.4166776813437876	0.4265337699686216
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		random_20260721	local_reference	307.0	0.9999870597762954	1.0	9.031256471390549e-05	0.0019414495854424355	-0.00022469833212968596	1.0067678200565586	0.9999969262797799	307.0	0.988496133747043	0.9107142857142857	0.006445882209446748	0.16062090487282166	0.016802884866712255	0.5014852154584057	0.9241245957077792	0.41645250017314805	0.4036503349072811	0.4382413920104895	0.3623727384528189	0.41671553443515297	0.4265337699686216
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		random_20260722	endpoint_response	307.0	0.9999908624637353	1.0	8.168900043060727e-05	0.0018068757393759991	-0.00022315127395822467	1.0067359325128429	0.9999954687971816	307.0	0.9880939360611953	0.8607142857142858	0.005749050446445698	0.14546021807771475	0.01532593371016975	0.5352179345052039	0.9197803691549189	0.3365774041043905	0.3217451235267447	0.35350005759399655	0.46621600516837924	0.33689013254344097	0.34325269971225136
