independent_unit_id	cohort_role	method	epsilon0	tau0	condition_id	physical_id	condition_family	u	v	alpha	beta	regularization_regime	shared_at_u1	endpoint_response_n_estimable	endpoint_response_median	endpoint_response_q90	endpoint_response_mean	endpoint_response_maximum	h001_response_n_estimable	h001_response_median	h001_response_q90	h001_response_mean	h001_response_maximum	h001_to_endpoint_n_estimable	h001_to_endpoint_spearman	h001_to_endpoint_top_overlap	h001_to_endpoint_raw_mae	h001_to_endpoint_rmae	h001_to_endpoint_intercept	h001_to_endpoint_slope	h001_to_endpoint_r2	heldout_endpoint_n_estimable	heldout_endpoint_spearman	heldout_endpoint_aurc	heldout_endpoint_oracle_aurc	heldout_endpoint_random_aurc	heldout_endpoint_normalized_excess_aurc	heldout_endpoint_retained_loss_at_80pct_coverage	heldout_endpoint_retained_loss_at_90pct_coverage	heldout_h001_n_estimable	heldout_h001_spearman	heldout_h001_aurc	heldout_h001_oracle_aurc	heldout_h001_random_aurc	heldout_h001_normalized_excess_aurc	heldout_h001_retained_loss_at_80pct_coverage	heldout_h001_retained_loss_at_90pct_coverage	truth_endpoint_n_estimable	truth_endpoint_spearman	truth_endpoint_aurc	truth_endpoint_oracle_aurc	truth_endpoint_random_aurc	truth_endpoint_normalized_excess_aurc	truth_endpoint_retained_loss_at_80pct_coverage	truth_endpoint_retained_loss_at_90pct_coverage	truth_h001_n_estimable	truth_h001_spearman	truth_h001_aurc	truth_h001_oracle_aurc	truth_h001_random_aurc	truth_h001_normalized_excess_aurc	truth_h001_retained_loss_at_80pct_coverage	truth_h001_retained_loss_at_90pct_coverage	crop_endpoint_n_estimable	crop_endpoint_auroc	crop_endpoint_auprc	crop_h001_n_estimable	crop_h001_auroc	crop_h001_auprc	uot_endpoint_mass_n_estimable	uot_endpoint_mass_median	uot_endpoint_mass_q90	uot_endpoint_mass_mean	uot_endpoint_mass_maximum	uot_h001_mass_n_estimable	uot_h001_mass_median	uot_h001_mass_q90	uot_h001_mass_mean	uot_h001_mass_maximum	uot_endpoint_shape_n_estimable	uot_endpoint_shape_median	uot_endpoint_shape_q90	uot_endpoint_shape_mean	uot_endpoint_shape_maximum	uot_h001_shape_n_estimable	uot_h001_shape_median	uot_h001_shape_q90	uot_h001_shape_mean	uot_h001_shape_maximum	uot_endpoint_combined_n_estimable	uot_endpoint_combined_median	uot_endpoint_combined_q90	uot_endpoint_combined_mean	uot_endpoint_combined_maximum	uot_h001_combined_n_estimable	uot_h001_combined_median	uot_h001_combined_q90	uot_h001_combined_mean	uot_h001_combined_maximum
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		factor__expression_compensation_only__coregularized	factor__expression_compensation_only__coregularized	factorial_extra	1.5	0.6666666666666666	0.5	1.0	coregularized	False	307.0	0.07940422404436666	0.09294202952707653	0.07924771089312864	0.10544260226434235	307.0	0.1327575389682464	0.1579648039219786	0.13318621601807945	0.1796758954616962	307.0	0.9824047579554562	0.9428571428571428	0.0539385051249508	0.6806317118445331	0.00674097657178872	0.5444011887198404	0.9704702038362243	307.0	-0.005762484056996815	0.17059304726205116	0.13653178762655915	0.17405059152905028	0.9158110948946809	0.16983914499856115	0.17216778844260744	307.0	0.00038978197891683525	0.17131384027180047	0.13653178762655915	0.17405059152905028	0.9365260426154609	0.16972024128275157	0.17250919551593522	273.0	0.09786837250340899	0.08588146519178501	0.07062754153056247	0.08664359018040149	0.9616564179683504	0.08658919869043513	0.08616375538396914	273.0	0.16324419998207032	0.08440248821501337	0.07062754153056247	0.08664359018040149	0.8684586844599189	0.08419806192638762	0.08545558617607169	307.0	0.8105472958414135	0.4189867208947715	307.0	0.8311786252962724	0.4483766550007053																														
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		factor__expression_compensation_only__fixed	factor__expression_compensation_only__fixed	factorial_extra	1.5	0.6666666666666666	0.5	1.0	fixed	False	307.0	0.19904121025964194	0.22571773558213004	0.1976595680501882	0.25091240546741217	307.0	0.2705190257922335	0.31911567586734413	0.27099270081987226	0.36295545909690163	307.0	0.8773093844069733	0.8428571428571429	0.07333313276968413	0.37100724995545853	0.0584274305747825	0.5137855634272332	0.8036723509145999	307.0	-0.027660252343884424	0.17245017456680006	0.13653178762655915	0.17405059152905028	0.9643593772675245	0.1702064856122214	0.17198680197521043	307.0	0.004165375929618909	0.17184892202798263	0.13653178762655915	0.17405059152905028	0.9507810926943346	0.16977781342390968	0.17267294315237025	273.0	0.006981077102373806	0.08789383847048723	0.07062754153056247	0.08664359018040149	1.08688144529236	0.08831961312732355	0.08634257920562755	273.0	0.17647383209319661	0.08416735238929432	0.07062754153056247	0.08664359018040149	0.8532887383416613	0.08408263475781814	0.08545558617607171	307.0	0.7429433311786253	0.33944411891951826	307.0	0.8198125404007757	0.41960920863756923																														
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		factor__spatial_compensation_only__coregularized	factor__spatial_compensation_only__coregularized	factorial_extra	1.5	0.3333333333333333	1.0	0.5	coregularized	False	307.0	0.10183520428762691	0.12415979358323515	0.10305406655320845	0.13829191786301742	307.0	0.13323367119660356	0.15858352447613644	0.13370463798257654	0.18041281067381282	307.0	0.9689170833970003	0.775	0.030650571429368098	0.29742224110625193	-0.001180367734301199	0.7795872743105048	0.9393220834390966	307.0	0.0158758715629765	0.1722617104689685	0.13653178762655915	0.17405059152905028	0.9634031954268161	0.17068870121295554	0.17282264402201036	307.0	0.0006032021519825279	0.17136366364654187	0.13653178762655915	0.17405059152905028	0.9378756588886041	0.1697202412827516	0.17250919551593524	273.0	0.26339447907180835	0.08221761091331584	0.07062754153056247	0.08664359018040149	0.7312448367161644	0.08223564390763147	0.08419596179350339	273.0	0.16623769103374084	0.08432029956005735	0.07062754153056247	0.08664359018040149	0.86324550597653	0.08419806192638764	0.0854555861760717	307.0	0.8443762120232708	0.46088544441254786	307.0	0.8317711700064641	0.4493385471637701																														
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		factor__spatial_compensation_only__fixed	factor__spatial_compensation_only__fixed	factorial_extra	1.5	0.3333333333333333	1.0	0.5	fixed	False	307.0	0.01836059208460909	0.026987537050000652	0.02037386007073505	0.17026341096701053	307.0	0.017954839229688897	0.026304863427780246	0.019540742521294098	0.09751347899062715	307.0	0.9960252987834376	0.9571428571428571	0.0008483948513431175	0.04164134083564013	-0.008464712791668485	1.4758176579511917	0.9253512365221901	307.0	0.5983668080722475	0.1478160992897619	0.13653178762655915	0.17405059152905028	0.3064679063654505	0.1480743735032482	0.15959142944363747	307.0	0.5915961182472382	0.14806706025377836	0.13653178762655915	0.17405059152905028	0.3153416843063319	0.1480578878404224	0.15910869750702322	273.0	-0.09509457910059027	0.08787753641881305	0.07062754153056247	0.08664359018040149	1.0677298170044585	0.08664189535412603	0.08702439946257692	273.0	-0.09698368398454271	0.08800228316755504	0.07062754153056247	0.08664359018040149	1.0751300216416741	0.0871985157742202	0.08691304148068207	307.0	0.46482439129497954	0.18114130308193477	307.0	0.49838396897220427	0.19644630881234362																														
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		grid__u0p500000__v0p000000__coregularized	grid__u0p500000__v0p000000__coregularized	grid	0.5	0.0	0.5	0.0	coregularized	False	307.0	0.4524378554563332	0.5772515034327896	0.4474215226983263	0.6519624355069855	307.0	0.13457529698950338	0.16018047099991278	0.13505104621000785	0.1822297482241353	307.0	0.06536860551887368	0.04285714285714286	0.3123704764883184	0.6981570189213584	0.39344287682625323	0.3996906902012081	0.005676597510344716	307.0	0.07096516092261404	0.1740015622494697	0.13653178762655915	0.17405059152905028	1.0008234392778577	0.17469900883954073	0.17675323305435348	307.0	0.0006032021519825279	0.17136366364654187	0.13653178762655915	0.17405059152905028	0.9378756588886041	0.1697202412827516	0.17250919551593524	273.0	0.4822640594699418	0.07787784981179224	0.07062754153056247	0.08664359018040149	0.4529066769439217	0.07910064745765355	0.08264794081478627	273.0	0.16623769103374084	0.08432029956005735	0.07062754153056247	0.08664359018040149	0.86324550597653	0.08419806192638764	0.0854555861760717	307.0	0.6481900452488687	0.24780359018981077	307.0	0.8317711700064641	0.4493385471637701																														
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		grid__u0p500000__v0p000000__fixed	grid__u0p500000__v0p000000__fixed	grid	0.5	0.0	0.5	0.0	fixed	False	307.0	0.4544018844819916	0.5847474358684038	0.45077628705862105	0.6540110007455435	307.0	0.2726517473594884	0.32201055730883166	0.27311528725901224	0.366007765205466	307.0	0.0946874256115035	0.04285714285714286	0.17810766049533525	0.3951131982951297	0.3764337618608818	0.2722019918542158	0.00991553113797089	307.0	0.07836973031565864	0.1735190891596554	0.13653178762655915	0.17405059152905028	0.9874016250492206	0.1740524077057658	0.17672881738460455	307.0	0.005355818050081937	0.17188088326517226	0.13653178762655915	0.17405059152905028	0.9516780748740655	0.16945517175875585	0.17271439293808433	273.0	0.47885918825699847	0.07800791918305405	0.07062754153056247	0.08664359018040149	0.460784882667966	0.0793483220054658	0.08303757672951739	273.0	0.18185657193815202	0.08404083282137226	0.07062754153056247	0.08664359018040149	0.845290547450789	0.08379493852582076	0.08544528979279317	307.0	0.6469510881275587	0.2439205184427675	307.0	0.8213208360267183	0.4221658040395928																														
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		grid__u0p500000__v0p250000__coregularized	grid__u0p500000__v0p250000__coregularized	grid	0.5	0.25	0.375	0.125	coregularized	False	307.0	0.16550430432657343	0.20205325024944196	0.16784787161664327	0.22287844833023301	307.0	0.06722251531248359	0.08001129745248622	0.06745918912640095	0.09102082180588497	307.0	0.901929478392713	0.6	0.10038868249024235	0.598093270551118	0.009526228711725522	2.346924784528084	0.811812500886139	307.0	0.03196077683944189	0.17269678543278766	0.13653178762655915	0.17405059152905028	0.9747368744883536	0.17142138547096056	0.17236337366239063	307.0	0.0005710137696857825	0.17132794605671547	0.13653178762655915	0.17405059152905028	0.9370248655242619	0.1697202412827516	0.17250919551593524	273.0	0.33876345316341017	0.0807314193542758	0.07062754153056247	0.08664359018040149	0.6376768153521186	0.08133351533096586	0.08344936331941256	273.0	0.1653261669631356	0.08434231704619996	0.07062754153056247	0.08664359018040149	0.8645986830883546	0.08419806192638762	0.08545558617607169	307.0	0.8462615815556992	0.45913617468890144	307.0	0.8317173023055375	0.4493506338727606																														
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		grid__u0p500000__v0p250000__fixed	grid__u0p500000__v0p250000__fixed	grid	0.5	0.25	0.375	0.125	fixed	False	307.0	0.29849304015021966	0.35092684915114	0.29489673461551796	0.40618027453589445	307.0	0.20562814164094498	0.24163632948091768	0.2058348534718527	0.2750424433269901	307.0	0.5966379651165706	0.25357142857142856	0.08906188114366523	0.3020104012334447	0.09405447513341084	0.9757446617735794	0.344285883540221	307.0	0.06786583312283297	0.1735718336773125	0.13653178762655915	0.17405059152905028	0.9952525605395294	0.17375506557379738	0.17418516597467676	307.0	0.011567236556347428	0.17179390999387922	0.13653178762655915	0.17405059152905028	0.9490540011065659	0.1693379697549674	0.1732156390798768	273.0	0.48541443528562467	0.07749878041351085	0.07062754153056247	0.08664359018040149	0.4332904264239548	0.07840794477552132	0.08210592174610683	273.0	0.18289431157078218	0.08397052220239898	0.07062754153056247	0.08664359018040149	0.8405768881544351	0.08384078508017397	0.08555863790545801	307.0	0.7900775694893342	0.3770469304977787	307.0	0.8157185951303598	0.4133006496522964																														
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		grid__u0p500000__v0p500000__coregularized	grid__u0p500000__v0p500000__coregularized	grid	0.5	0.5	0.25	0.25	coregularized	False	307.0	0.0	0.0	0.0	0.0	307.0	5.209114767693059e-14	8.707423148060148e-14	5.908708343630665e-14	1.758464725028715e-13	307.0		0.10260169937589292	5.908708343630665e-14	5.9087083436306646e+286	0.0	0.0		307.0		0.17405059152905028	0.13653178762655915	0.17405059152905028	1.0	0.17405059152905028	0.17405059152905028	307.0	-0.09509395801772282	0.1788517735884559	0.13653178762655915	0.17405059152905028	1.125137880408423	0.1775886213045783	0.17567313313341468	273.0		0.08664359018040149	0.07062754153056247	0.08664359018040149	1.0	0.08664359018040149	0.08664359018040149	273.0	-0.2500899433327514	0.09027020508044156	0.07062754153056247	0.08664359018040149	1.2189985977659497	0.09007868844207975	0.08844795350439294	307.0	0.5	0.19941348973607037	307.0	0.3185197155785391	0.1459056842430217																														
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		grid__u0p500000__v0p500000__fixed	grid__u0p500000__v0p500000__fixed	grid	0.5	0.5	0.25	0.25	fixed	False	307.0	0.17174627394394132	0.2057828372115551	0.17262772438775686	0.22757579016684965	307.0	0.1389644665756433	0.16193475888061173	0.13887530688797395	0.18445400019824257	307.0	0.9015244035173144	0.5714285714285714	0.0337524174997829	0.1955214182396805	0.004184970194677511	1.2129064408041705	0.8116217206998267	307.0	0.054363018718963645	0.17221638579865284	0.13653178762655915	0.17405059152905028	0.9605003610815612	0.17193237602098846	0.1729713691754935	307.0	0.029106082536613724	0.17111406392891565	0.13653178762655915	0.17405059152905028	0.9317340392396929	0.16964796817115424	0.1726192561674571	273.0	0.3573130122346524	0.0801909534482533	0.07062754153056247	0.08664359018040149	0.6022803866809241	0.08109500730853808	0.0832993099551746	273.0	0.18071325947560382	0.08386958897441982	0.07062754153056247	0.08664359018040149	0.8334945607090012	0.08397674170487088	0.08555863790545803	307.0	0.8320405085110967	0.42084439503823423	307.0	0.8047834518422754	0.39727306159020964																														
