independent_unit_id	pair_id	direction	method	strategy	coverage	macro_f1	balanced_accuracy	accuracy	training_positive_precision
HER2ST::B	HER2ST_B1_CONTROLLED	forward	uot	oracle_truth	0.8	0.17386349649599123	0.3393940275292362	0.22427137282209747	1.0
HER2ST::B	HER2ST_B1_CONTROLLED	forward	uot	random_gate	0.8	0.1598655923018361	0.2967893590952675	0.1883931032481757	0.7207459074587458
HER2ST::B	HER2ST_B1_CONTROLLED	forward	uot	top2_margin_gate	0.8	0.15897563433586903	0.2594515064972819	0.1978210094152123	0.8245757463148767
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	balanced_ot	max_probability_gate	0.8	0.17258884455146212	0.20769066324621882	0.18390223407514497	0.5218322881571668
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	balanced_ot	oracle_truth	0.8	0.1869570561189406	0.22590716288446278	0.23303558036880967	1.0
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	balanced_ot	random_gate	0.8	0.17493719279500144	0.2161340031710402	0.18677206519229206	0.5184125036616493
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	balanced_ot	top2_margin_gate	0.8	0.15835490849765238	0.20742143658810325	0.18721898366055126	0.6230159279268831
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	row_softmax	max_probability_gate	0.8	0.17388014543850316	0.22844653079121416	0.24918062412209727	0.8150489553619613
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	row_softmax	oracle_truth	0.8	0.14848286259495766	0.19858585427581843	0.21011830713733967	1.0
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	row_softmax	random_gate	0.8	0.15830139130224838	0.2110876357590814	0.22403606014445598	0.8371324064794113
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	row_softmax	top2_margin_gate	0.8	0.15790634172507187	0.20880033336723897	0.24405855514210273	0.9296893069154267
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	uot	max_probability_gate	0.8	0.135234682880306	0.15028553297669187	0.18094782614780314	0.6258427467277979
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	uot	oracle_truth	0.8	0.1798060571837367	0.22920003356084598	0.2514550710034491	1.0
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	uot	random_gate	0.8	0.16753221492062484	0.17753788812629911	0.22042237902397752	0.6327357624353487
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	uot	top2_margin_gate	0.8	0.15984231558196696	0.18945247692260836	0.23236565901611617	0.7386314990200581
HER2ST::C	HER2ST_C1_CONTROLLED	forward	balanced_ot	max_probability_gate	0.8	0.3553892142746152	0.5468096497858402	0.5887342016910123	0.5614423851732473
HER2ST::C	HER2ST_C1_CONTROLLED	forward	balanced_ot	oracle_truth	0.8	0.31621524260324	0.5276738473167044	0.576183444954209	1.0
