independent_unit_id	method	max_probability__macro_f1	top2_margin__macro_f1	margin_minus_max__macro_f1	max_probability__balanced_accuracy	top2_margin__balanced_accuracy	margin_minus_max__balanced_accuracy	max_probability__accuracy	top2_margin__accuracy	margin_minus_max__accuracy	max_probability__training_positive_precision	top2_margin__training_positive_precision	margin_minus_max__training_positive_precision
HER2ST::A	balanced_ot	0.24237228118172943	0.2581800060207242	0.015807724838994786	0.449370825286465	0.4797537846938892	0.030382959407424193	0.5162187166622035	0.5525573739401283	0.036338657277924735	0.6599653350548853	0.7859822932124335	0.1260169581575482
HER2ST::A	row_softmax	0.28352399182335436	0.27962962106963585	-0.0038943707537185124	0.5730240127494791	0.5606916021839236	-0.012332410565555563	0.6279773633564368	0.6296647127249067	0.0016873493684698149	0.8222876565309762	0.8987863392297828	0.07649868269880655
HER2ST::A	uot	0.26089394847139824	0.26488647894594813	0.0039925304745498935	0.5194275560722799	0.5209935787622343	0.0015660226899544272	0.5900348618557165	0.6027910854012838	0.012756223545567269	0.7496514508465872	0.8561322187671108	0.10648076792052352
HER2ST::B	balanced_ot	0.18948805828341592	0.1638352286528823	-0.025652829630533613	0.2369567069834261	0.2313274738637715	-0.005629233119654603	0.2294872038490216	0.20389278236718933	-0.025594421481832275	0.5602208295317874	0.6485255984031615	0.08830476887137406
HER2ST::B	row_softmax	0.1852349693310891	0.16531573210898423	-0.01991923722210487	0.25472425103548163	0.2475499170008935	-0.007174334034588142	0.2755682827853962	0.25190643733951545	-0.023661845445880736	0.8141638930160482	0.913141445232766	0.09897755221671778
HER2ST::B	uot	0.1474618527087957	0.15940897495891798	0.011947122250122288	0.2212930578518859	0.22445199170994512	0.0031589338580592097	0.18613025782444922	0.21509333421566423	0.02896307639121501	0.6819513202314758	0.7816036226674674	0.09965230243599166
HER2ST::C	balanced_ot	0.3049399993681584	0.3043136288031416	-0.0006263705650167983	0.4808051587638422	0.48676612058964996	0.005960961825807742	0.5036920232263826	0.5138297708949339	0.010137747668551245	0.5240025336291587	0.6059531974756817	0.08195066384652294
HER2ST::C	row_softmax	0.3348238490117136	0.40158936515178784	0.06676551614007425	0.532468458763977	0.5888307006304205	0.05636224186644356	0.5385872380085834	0.5818021038376906	0.04321486582910716	0.6968041967063578	0.7475373858470062	0.050733189140648394
HER2ST::C	uot	0.31320714648643067	0.3274272355489114	0.014220089062480734	0.5271963078160558	0.531890837142938	0.004694529326882302	0.5390361854705958	0.5400989411961923	0.0010627557255964426	0.6957250991595586	0.7949247909316223	0.09919969177206367
HER2ST::D	balanced_ot	0.39302547775758656	0.3962663182335362	0.0032408404759496356	0.5428673815606473	0.5412490864575465	-0.001618295103100742	0.55928784715841	0.5599479583550154	0.0006601111966054729	0.6413375915366823	0.7415438052292398	0.10020621369255744
HER2ST::D	row_softmax	0.42880492762179384	0.43071693381479736	0.0019120061930035237	0.5886038537060746	0.5893941476452578	0.0007902939391831731	0.6111194406465622	0.6162123322452429	0.005092891598680649	0.9012689535336331	0.974127824379048	0.07285887084541487
HER2ST::D	uot	0.4272294099762185	0.43001643779523846	0.0027870278190199604	0.590282549436039	0.5889784084462018	-0.0013041409898372214	0.6148735894261574	0.6215761295305593	0.006702540104401855	0.7401125110057851	0.8536887641863269	0.11357625318054176
HER2ST::E	balanced_ot	0.3701879700878916	0.38379712536271293	0.013609155274821316	0.4642808424888416	0.5010986429037935	0.03681780041495186	0.4603242319769211	0.47891091471301694	0.018586682736095816	0.7575681916630164	0.8918858659191058	0.13431767425608943
HER2ST::E	row_softmax	0.40005532968072416	0.4007091282971048	0.000653798616380652	0.5269366410972843	0.5239570414122559	-0.002979599685028478	0.5022597916783182	0.5154152840492618	0.0131554923709436	0.9512959517245961	0.9912728689802282	0.039976917255632016
HER2ST::E	uot	0.3684159268978261	0.3832419281358852	0.014826001238059106	0.47012932176820527	0.4936131909954985	0.02348386922729323	0.457802609006582	0.4871280097085682	0.029325400701986193	0.9075173467244144	0.9803618978455579	0.07284455112114352
HER2ST::F	balanced_ot	0.3128323890481222	0.30797522513590403	-0.0048571639122181876	0.4236511375804996	0.4212647346298158	-0.002386402950683819	0.6079084728326604	0.6095434167812024	0.0016349439485420225	0.7746630417618826	0.9138936115652128	0.13923056980333015
HER2ST::F	row_softmax	0.30156879628897365	0.31015152869467444	0.008582732405700788	0.4658834621774849	0.45815886184206833	-0.007724600335416554	0.61141394292865	0.6090510578727635	-0.0023628850558865544	0.9828704315069547	1.0	0.017129568493045255
HER2ST::F	uot	0.2811844817902528	0.3103177716942402	0.02913328990398739	0.4543106758745624	0.43289686877314326	-0.021413807101419158	0.5745613468198598	0.6007421248773711	0.02618077805751129	0.9169361703574439	0.9883254364082302	0.07138926605078633
HER2ST::G	balanced_ot	0.20362980110173318	0.20479665177392087	0.0011668506721876915	0.2707961084045559	0.266585875802961	-0.004210232601594921	0.3397465526781878	0.3528147194971002	0.013068166818912375	0.6607368483941948	0.8040561860185852	0.14331933762439042
HER2ST::G	row_softmax	0.18330160193885675	0.1896503858521175	0.0063487839132607415	0.2581614888426152	0.2573731859985665	-0.0007883028440486828	0.3007068914417428	0.3277529416755473	0.02704605023380452	0.7485020694277708	0.8537846234171258	0.10528255398935504
HER2ST::G	uot	0.22335798726444633	0.21393716368404941	-0.00942082358039692	0.30702079035983143	0.2898321118193645	-0.017188678540466906	0.3563662494368287	0.3664782273471302	0.010111977910301495	0.7174594624557821	0.8685132726089084	0.15105381015312636
HER2ST::H	balanced_ot	0.10503125680509878	0.11944491617226596	0.014413659367167181	0.21337640771181626	0.2327026993428563	0.01932629163104005	0.16766212530862065	0.17204094817796256	0.0043788228693419085	0.8373143299548561	0.9263084617584662	0.08899413180361004
HER2ST::H	row_softmax	0.08532023895977592	0.0789372777141504	-0.0063829612456255125	0.18458063534450736	0.1813791253917183	-0.003201509952789061	0.12560602520836492	0.11685078499529432	-0.0087552402130706	0.9298078729279206	0.9739911252138594	0.04418325228593889
HER2ST::H	uot	0.10206743844144642	0.10845273046253669	0.006385292021090269	0.20069312099869316	0.21067603571706395	0.009982914718370789	0.16548333010637215	0.16174599103056742	-0.00373733907580473	0.897513465398566	0.9783273320030172	0.08081386660445122
