independent_unit_id	pair_id	direction	method	fold	repeat	strategy	coverage	n_train_available	n_train_selected	n_test	training_positive_precision	macro_f1	balanced_accuracy	accuracy
HER2ST::A	HER2ST_A1_CONTROLLED	forward	balanced_ot	2	1	random_gate	0.8	179	144	94	0.7569444444444444	0.2845528455284553	0.7446808510638298	0.7446808510638298
HER2ST::A	HER2ST_A1_CONTROLLED	forward	balanced_ot	2	1	oracle_truth	0.8	179	144	94	1.0	0.3001949317738791	0.8191489361702128	0.8191489361702128
HER2ST::A	HER2ST_A1_CONTROLLED	forward	balanced_ot	2	2	max_probability_gate	0.8	179	144	94	0.7291666666666666	0.24324324324324323	0.574468085106383	0.574468085106383
HER2ST::A	HER2ST_A1_CONTROLLED	forward	balanced_ot	2	2	top2_margin_gate	0.8	179	144	94	0.8125	0.267515923566879	0.6702127659574468	0.6702127659574468
HER2ST::A	HER2ST_A1_CONTROLLED	forward	balanced_ot	2	2	random_gate	0.8	179	144	94	0.7361111111111112	0.2543859649122807	0.6170212765957447	0.6170212765957447
HER2ST::A	HER2ST_A1_CONTROLLED	forward	balanced_ot	2	2	oracle_truth	0.8	179	144	94	1.0	0.2822085889570552	0.7340425531914894	0.7340425531914894
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	0	0	max_probability_gate	0.8	173	139	100	0.8633093525179856	0.3612596553773024	0.5054347826086957	0.72
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	0	0	top2_margin_gate	0.8	173	139	100	0.935251798561151	0.3263888888888889	0.4782608695652174	0.67
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	0	0	random_gate	0.8	173	139	100	0.8705035971223022	0.3494949494949495	0.5054347826086957	0.72
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	0	0	oracle_truth	0.8	173	139	100	1.0	0.33604336043360433	0.5	0.71
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	0	1	max_probability_gate	0.8	173	139	100	0.8633093525179856	0.34235209235209235	0.5108695652173914	0.73
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	0	1	top2_margin_gate	0.8	173	139	100	0.935251798561151	0.3111111111111111	0.4429347826086957	0.71
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	0	1	random_gate	0.8	173	139	100	0.8705035971223022	0.2784313725490196	0.3858695652173913	0.71
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	0	1	oracle_truth	0.8	173	139	100	1.0	0.26666666666666666	0.358695652173913	0.66
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	0	2	max_probability_gate	0.8	173	139	100	0.8633093525179856	0.31501182033096925	0.6413043478260869	0.55
HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	0	2	top2_margin_gate	0.8	173	139	100	0.935251798561151	0.2801346801346801	0.6032608695652174	0.48
