independent_unit_id	method	strategy	coverage	macro_f1	balanced_accuracy	accuracy	training_positive_precision
HER2ST::A	balanced_ot	max_probability_gate	0.8	0.24237228118172943	0.449370825286465	0.5162187166622035	0.6599653350548853
HER2ST::A	balanced_ot	oracle_truth	0.8	0.27746782127295294	0.5393935210531946	0.6321198113248567	1.0
HER2ST::A	balanced_ot	random_gate	0.8	0.25777161977305896	0.4764127938709317	0.5568924704120861	0.6872530543402668
HER2ST::A	balanced_ot	top2_margin_gate	0.8	0.2581800060207242	0.4797537846938892	0.5525573739401283	0.7859822932124335
HER2ST::A	row_softmax	max_probability_gate	0.8	0.28352399182335436	0.5730240127494791	0.6279773633564368	0.8222876565309762
HER2ST::A	row_softmax	oracle_truth	0.8	0.27671154676206	0.5519278131088321	0.6218435451376021	1.0
HER2ST::A	row_softmax	random_gate	0.8	0.28091173758446464	0.5678664435889476	0.6386477882821809	0.8065204814324426
HER2ST::A	row_softmax	top2_margin_gate	0.8	0.27962962106963585	0.5606916021839236	0.6296647127249067	0.8987863392297828
HER2ST::A	uot	max_probability_gate	0.8	0.26089394847139824	0.5194275560722799	0.5900348618557165	0.7496514508465872
HER2ST::A	uot	oracle_truth	0.8	0.25990149597294376	0.5387218679356828	0.631492645127397	1.0
HER2ST::A	uot	random_gate	0.8	0.25971547703048276	0.5253462906559137	0.6066674371686043	0.7763797203995046
HER2ST::A	uot	top2_margin_gate	0.8	0.26488647894594813	0.5209935787622343	0.6027910854012838	0.8561322187671108
HER2ST::B	balanced_ot	max_probability_gate	0.8	0.18948805828341592	0.2369567069834261	0.2294872038490216	0.5602208295317874
HER2ST::B	balanced_ot	oracle_truth	0.8	0.19328025319250625	0.27323373632689324	0.24015048084608104	1.0
HER2ST::B	balanced_ot	random_gate	0.8	0.19420901050913048	0.25102048895950557	0.22005346089400912	0.5362648911570027
HER2ST::B	balanced_ot	top2_margin_gate	0.8	0.1638352286528823	0.2313274738637715	0.20389278236718933	0.6485255984031615
HER2ST::B	row_softmax	max_probability_gate	0.8	0.1852349693310891	0.25472425103548163	0.2755682827853962	0.8141638930160482
HER2ST::B	row_softmax	oracle_truth	0.8	0.16362705199279198	0.24395181879594383	0.22177822771528022	1.0
HER2ST::B	row_softmax	random_gate	0.8	0.16026882421508287	0.24411634446754418	0.22806977021817104	0.8164492373674492
HER2ST::B	row_softmax	top2_margin_gate	0.8	0.16531573210898423	0.2475499170008935	0.25190643733951545	0.913141445232766
HER2ST::B	uot	max_probability_gate	0.8	0.1474618527087957	0.2212930578518859	0.18613025782444922	0.6819513202314758
HER2ST::B	uot	oracle_truth	0.8	0.17683477683986398	0.2842970305450411	0.2378632219127733	1.0
HER2ST::B	uot	random_gate	0.8	0.16369890361123046	0.2371636236107833	0.20440774113607663	0.6767408349470472
HER2ST::B	uot	top2_margin_gate	0.8	0.15940897495891798	0.22445199170994512	0.21509333421566423	0.7816036226674674
HER2ST::C	balanced_ot	max_probability_gate	0.8	0.3049399993681584	0.4808051587638422	0.5036920232263826	0.5240025336291587
HER2ST::C	balanced_ot	oracle_truth	0.8	0.3565121937134316	0.5667745633606978	0.597773047581672	1.0
HER2ST::C	balanced_ot	random_gate	0.8	0.3082026172786867	0.5030645928405032	0.5368266295615114	0.5210615667563603
HER2ST::C	balanced_ot	top2_margin_gate	0.8	0.3043136288031416	0.48676612058964996	0.5138297708949339	0.6059531974756817
HER2ST::C	row_softmax	max_probability_gate	0.8	0.3348238490117136	0.532468458763977	0.5385872380085834	0.6968041967063578
HER2ST::C	row_softmax	oracle_truth	0.8	0.38405862290358594	0.6073682082260514	0.6115772142347833	1.0
HER2ST::C	row_softmax	random_gate	0.8	0.3569738303038215	0.5592316135208292	0.5802497970260141	0.668468534201032
