dataset	pair_type	biological_pair_id	independent_unit_id	cohort_role	pair_id	direction	method	epsilon	tau	branch	witness	score	n_estimable	spearman	aurc	oracle_aurc	random_aurc	normalized_excess_aurc	retained_loss_at_80pct_coverage	retained_loss_at_90pct_coverage
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	heldout_expression_loss	low_max_probability	1500	0.15205693513641563	0.39027359669789646	0.3662461150692584	0.3921805817401216	0.9264690858529357	0.39042264346238	0.39239336975913
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	heldout_expression_loss	probability_margin_risk	1500	0.043970227542323354	0.3919466542535385	0.3662461150692584	0.3921805817401216	0.9909800540897206	0.39239285198505375	0.3922946207640432
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	heldout_expression_loss	assigned_raw_cost	1500	-0.012700624311388584	0.3899699834136217	0.3662461150692584	0.3921805817401216	0.9147621443481061	0.39000862264467634	0.3890053346927572
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	heldout_expression_loss	barycentric_displacement	1500	-0.15142814552362027	0.3927293668311636	0.3662461150692584	0.3921805817401216	1.0211604540786086	0.3914129708634739	0.39117733019961753
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	heldout_expression_loss	transported_mass_deficit	1500	0.003049680292402282	0.39196821266411636	0.3662461150692584	0.3921805817401216	0.9918113189409119	0.3925439401378135	0.39215483684332697
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	row_softmax	0.25		main21	heldout_expression_loss	source_boundary_proximity	1500	-0.0680219186469974	0.388807176681956	0.3662461150692584	0.3921805817401216	0.8699257979360907	0.3862610680632451	0.38850940826261354
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	heldout_expression_loss	finite_response_h001	1500	-0.13070883320392587	0.39099635970844393	0.36287457259180317	0.3893549378152952	1.061986376671745	0.3902958477121447	0.38987271946275337
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	heldout_expression_loss	local_reference	1500	-0.13068620919387075	0.3909944690041942	0.36287457259180317	0.3893549378152952	1.061914976438638	0.3902958477121447	0.38987271946275337
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	heldout_expression_loss	endpoint_response	1500	-0.1354773971010654	0.39125896178553915	0.36287457259180317	0.3893549378152952	1.0719032367633217	0.3908992994428032	0.39006206118288705
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	heldout_expression_loss	conditional_entropy	1500	0.16554293224130323	0.38729891317650406	0.36287457259180317	0.3893549378152952	0.9223566358908403	0.3873699692392814	0.3879346682720084
