independent_unit_id	cohort_role	method	epsilon	tau	branch	score	reference	amplitude_comparable	n_estimable	spearman	top_overlap	raw_mae	rmae	intercept	slope	r2
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		main21	assigned_raw_cost	endpoint_response	False	307.0	-0.06892517923381268	0.15357142857142858	0.4834208210550781	25.419408046935448	0.018619825065618406	0.0007943231437593702	0.00020667676370234034
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		main21	assigned_raw_cost	local_reference	False	307.0	-0.0848520682291798	0.13571428571428573	0.48290453048676263	24.721136373563077	0.02035473293408398	-0.001652786650822339	0.0005156032381180009
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		main21	barycentric_displacement	endpoint_response	False	307.0	0.16022879438667018	0.17142857142857143	0.08055627869026369	4.23583931346052	0.017219048479662272	0.018715766377370744	0.039291625473676595
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		main21	barycentric_displacement	local_reference	False	307.0	0.15102917838268817	0.17142857142857143	0.08019737202485308	4.105511639390557	0.017792548992062993	0.017847341919804978	0.02133687359715397
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		main21	conditional_entropy	endpoint_response	False	307.0	-0.16203600215954408	0.0	0.8721920982324614	45.86191962500877	0.04104245129437946	-0.024707644152123613	0.05080143151790151
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		main21	conditional_entropy	local_reference	False	307.0	-0.16398804476877799	0.0	0.871675807664146	44.62334717191413	0.04136165830044255	-0.024486141816772826	0.03107606392703649
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		main21	endpoint_response	endpoint_response	True	307.0	1.0	1.0	0.0	0.0	3.778680750319006e-19	1.0	1.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		main21	endpoint_response	local_reference	True	307.0	0.9973766383859997	0.9678571428571429	0.0005299632841343715	0.02713019612150057	-0.003790042646042123	1.2264371669447696	0.9424073426034478
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		main21	finite_response_h001	endpoint_response	True	307.0	0.997436330514679	0.9678571428571429	0.0005231643405503032	0.0275092161298094	0.00394552631269832	0.771850430106154	0.943818960126688
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		main21	finite_response_h001	local_reference	True	307.0	0.9999952506984241	1.0	6.810984850479876e-06	0.00034867199352481314	-6.17909290194222e-05	1.0035044145643641	0.9999906296845957
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		main21	local_reference	endpoint_response	True	307.0	0.9973766383859997	0.9678571428571429	0.0005299632841343715	0.027866720634630537	0.00400434288084465	0.7685770396916116	0.9424073426034478
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		main21	local_reference	local_reference	True	307.0	1.0	1.0	0.0	0.0	-1.393495139327139e-17	1.0000000000000004	1.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		main21	low_max_probability	endpoint_response	False	307.0	-0.30738680520685624	0.0	0.9639908273858764	50.688913525370594	0.36474604988390696	-0.35172277854851985	0.22518187740765144
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		main21	low_max_probability	local_reference	False	307.0	-0.314836657085356	0.0	0.9634745368175608	49.32276239594161	0.46031490881109216	-0.4484046287783061	0.22936248393405223
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		main21	probability_margin_risk	endpoint_response	False	307.0	-0.4447688039468542	0.0	0.9789281088914493	51.47435105136172	1.140156687482426	-1.1234664681790862	0.49776665573413653
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		main21	probability_margin_risk	local_reference	False	307.0	-0.46622624910167715	0.0	0.9784118183231338	50.087440608376994	1.6223140405931042	-1.6060927833565923	0.6360319770337187
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		main21	source_boundary_proximity	endpoint_response	False	307.0	0.10543016655618465	0.13571428571428573	0.37578490431083356	19.759657434091665	0.019793475436387053	0.002168998600336802	0.01168484612197318
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		main21	source_boundary_proximity	local_reference	False	307.0	0.10550914285382156	0.13571428571428573	0.37630119487914904	19.26383491735948	0.020202390428348406	0.0018665897229350786	0.005435010588930034
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		main21	transported_mass_deficit	endpoint_response	False	307.0	-0.07286545880935034	0.06428571428571428	0.019017784370213012	0.9999999999999953	0.0190177843702131	1.6698990890664098e-18	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		main21	transported_mass_deficit	local_reference	False	307.0	-0.06978933603942278	0.06428571428571428	0.019534074938528462	0.9999999999999958	0.019534074938528545	1.7152331370781302e-18	0.0
HER2ST::A	manual_truth_controlled	row_softmax	0.25		main21	assigned_raw_cost	endpoint_response	False	307.0	-0.28162143489904445	0.0	0.41930870989122226	10.828813341953937	0.05286500788025383	-0.03087393720983317	0.18087036554249392
HER2ST::A	manual_truth_controlled	row_softmax	0.25		main21	assigned_raw_cost	local_reference	False	307.0	-0.3027158449105356	0.0	0.4200534977869847	11.060278893868642	0.0518171515061568	-0.03021774929611231	0.1952092932426468
HER2ST::A	manual_truth_controlled	row_softmax	0.25		main21	barycentric_displacement	endpoint_response	False	307.0	-0.2484535231953916	0.08928571428571429	0.06040253889035274	1.5602279911121417	0.04029206362173618	-0.01731917627715592	0.15111107070348168
HER2ST::A	manual_truth_controlled	row_softmax	0.25		main21	barycentric_displacement	local_reference	False	307.0	-0.22429332571600175	0.08928571428571429	0.060815307904033195	1.6021344807323823	0.0393254159351004	-0.014957006929976023	0.14632533736602144
HER2ST::A	manual_truth_controlled	row_softmax	0.25		main21	conditional_entropy	endpoint_response	False	307.0	0.19134833747971705	0.12142857142857143	0.8496150780877445	21.9428351385773	0.02514578538928756	0.015270506636948336	0.06150974868083642
