dataset	pair_id	pair_type	independent_unit_id	cohort_role	direction	pair_file_id	method	epsilon	tau	arm	intervention	h_large	h_small	relative_l1_n_estimable	relative_l1_median	relative_l1_q90	relative_l1_mean	relative_l1_maximum
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	N	I_SPATIAL	0.005	0.0025	1500	0.001335485696891585	0.0015823426918917449	0.0013249139203102918	0.0018284652189621577
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	N	I_SPATIAL	0.0025	0.00125	1500	0.000666617897603769	0.0007898161555591553	0.0006614237547785702	0.0009121953658278635
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	N	I_SPATIAL	0.00125	0.000625	1500	0.00033302818257492704	0.00039458813216523744	0.00033045406222947796	0.0004555902549569693
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		R	I_EXPR	0.02	0.01	1500	0.000987756416698203	0.0013695160757274225	0.000991025132163562	0.0020949326312714464
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		R	I_EXPR	0.01	0.005	1500	0.0004937363802648371	0.0006848029141006296	0.0004953122129154565	0.0010461587608251127
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		R	I_EXPR	0.005	0.0025	1500	0.00024683244866350457	0.0003424119046597247	0.00024760599267433084	0.0005227543994081742
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		R	I_EXPR	0.0025	0.00125	1500	0.0001234072827744606	0.00017120851209393814	0.0001237904659477002	0.000261296047070949
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		R	I_EXPR	0.00125	0.000625	1500	6.170140011655252e-05	8.560488027867136e-05	6.189210042251519e-05	0.0001306277261891808
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		R	I_SPATIAL	0.02	0.01	1500	0.005969660267965735	0.006882728614349659	0.005807897616982422	0.00732579986079884
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		R	I_SPATIAL	0.01	0.005	1500	0.00296792243840748	0.003418635175330264	0.0028880722995603563	0.003638502384604286
