dataset	pair_id	pair_type	independent_unit_id	cohort_role	direction	pair_file_id	method	epsilon	tau	arm	intervention	reference_type	h001_n_estimable	h001_spearman	h001_top_overlap	h001_raw_mae	h001_rmae	h001_intercept	h001_slope	h001_r2	vector_relative_l1_n_estimable	vector_relative_l1_median	vector_relative_l1_q90	vector_relative_l1_mean	vector_relative_l1_maximum	direction_cosine_n_estimable	direction_cosine_median	direction_cosine_q90	direction_cosine_mean	direction_cosine_maximum	vector_rows_estimable	direction_rows_estimable	reference_rows_estimable	analytic_relative_l1_n_estimable	analytic_relative_l1_median	analytic_relative_l1_q90	analytic_relative_l1_mean	analytic_relative_l1_maximum	analytic_scalar_n_estimable	analytic_scalar_spearman	analytic_scalar_top_overlap	analytic_scalar_raw_mae	analytic_scalar_rmae	analytic_scalar_intercept	analytic_scalar_slope	analytic_scalar_r2
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		N	I_EXPR	richardson_vector	1500	0.9999746773220789	0.9933333333333333	0.0011248202877481718	0.0037595144094301437	-0.00036538634480715585	1.0049995500231648	0.9999723505274929	1500	0.0059761580366104496	0.006916240081145	0.005860750242765538	0.0075907689866894675	1500	0.9999911278139325	0.9999934535684007	0.9999906335238021	0.9999954301937808	1500	1500	1500	1500.0	2.9900368061434667e-07	3.9306481112388247e-07	2.896530768802564e-07	4.828746586091741e-07	1500.0	1.0	1.0	1.9862431779260615e-08	6.638668862283486e-08	2.6167518869114985e-08	0.9999999698704585	0.9999999999998702
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		N	I_SPATIAL	richardson_vector	1500	0.9999738310994806	1.0	0.0011344080200191788	0.0037915597218011778	0.00037913754459818375	0.9949603477154649	0.9999719250569749	1500	0.006039140800604909	0.006989296242881224	0.0059177508264507935	0.007687313627862987	1500	0.9999910038961544	0.9999933553344431	0.9999905109993685	0.9999953726331804	1500	1500	1500	1500.0	2.995582821244895e-07	3.9393455304778693e-07	2.9021983770557866e-07	4.841438883023516e-07	1500.0	1.0	1.0	1.9870545519218296e-08	6.641380737315321e-08	2.6313979078985544e-08	0.9999999693470718	0.9999999999998698
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	uot	0.25	2.0	R	I_EXPR	richardson_vector	1500	0.999999790222129	1.0	4.129580672720331e-05	0.0006496353637216689	3.310248549713683e-05	0.9988303804231032	0.9999999673635627	1500	0.0007348536699677338	0.000905065291702255	0.0007587950616377205	0.0012500274996748936	1500	0.9999999006401112	0.9999999274900423	0.9999998881468016	0.999999957274679	1500	1500	1500													
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	uot	0.25	2.0	R	I_SPATIAL	richardson_vector	1500	0.9998165652518068	1.0	0.0012475451266305221	0.0044704419616158056	0.0013899381872740002	0.9905909287735951	0.9997218863384707	1500	0.0065333307668931535	0.007659662187328322	0.0063173369433403796	0.007975588003026241	1500	0.9999912503250616	0.9999932093205834	0.999991173312768	0.9999944607208504	1500	1500	1500													
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	uot	0.25	2.0	N	I_EXPR	richardson_vector	1500	0.999888803506135	1.0	0.0010534661405677327	0.0035079403676885157	-0.0015676890670716587	1.0087589191162316	0.9998247282015559	1500	0.005343430010451539	0.0062190488394858355	0.005253205491904117	0.00674153269319318	1500	0.9999932395466333	0.9999946302199343	0.999993152706578	0.9999956606142237	1500	1500	1500													
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	uot	0.25	2.0	N	I_SPATIAL	richardson_vector	1500	0.9998937812861252	0.9866666666666667	0.0010645663749339162	0.0035449030748847753	0.0016772677496212807	0.9909022083162585	0.9998234997621795	1500	0.005406926025684234	0.006302738963782464	0.005310332398137216	0.0068215355188551395	1500	0.9999931267659274	0.9999945438131406	0.999993046024464	0.9999955877593799	1500	1500	1500													
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	row_softmax	0.25		R	I_EXPR	richardson_vector	1500	0.9999993528886014	0.9933333333333333	2.3278649539261688e-05	0.00024214375027756417	2.5853463161234562e-05	0.999489070474453	0.999999820030885	1500	0.0014584453993190826	0.0017454168369441774	0.001431363174213746	0.0022644400786721902	1500	0.9999988545973488	0.9999993009323974	0.9999988258545394	0.9999995649181281	1500	1500	1500	1500.0	1.4675337924706481e-08	2.133855089345939e-08	1.4496635929409279e-08	3.038481793141192e-08	1500.0	1.0	1.0	8.212156332778238e-10	8.5422582006624e-09	1.6987035041786354e-09	0.999999973787884	0.9999999999999999
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	row_softmax	0.25		R	I_SPATIAL	richardson_vector	1500	0.9999831039924908	0.9933333333333333	0.0011442994258764121	0.003977478510039581	0.001107870370605925	0.9922026806622369	0.9999760017650993	1500	0.005974823114245252	0.0068669264586701285	0.005755459950974353	0.007241472714590301	1500	0.9999925749910665	0.9999944628444929	0.9999922647394021	0.999995889023325	1500	1500	1500	1500.0	2.897669249660826e-07	3.8075793084753284e-07	2.7877137923138725e-07	4.473797273803238e-07	1500.0	1.0	1.0	2.1286862111391526e-08	7.399115002977946e-08	-3.402439025351965e-08	1.000000190255289	0.9999999999998826
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	row_softmax	0.25		N	I_EXPR	richardson_vector	1500	0.999986225771656	0.9933333333333333	0.0010588406443380177	0.0034294220161790578	-0.0001339600483279542	1.003876592483655	0.9999840001370818	1500	0.006089993492094391	0.007133976687967194	0.005973856098901797	0.007907575687792646	1500	0.9999886711593318	0.9999923584570192	0.9999880516415871	0.9999943489601281	1500	1500	1500	1500.0	2.9771820712237265e-07	3.909820771067631e-07	2.8551751354560157e-07	4.947047543501545e-07	1500.0	1.0	1.0	1.537188948215936e-08	4.9787184436960455e-08	4.186473800930836e-08	0.9999998980084625	0.9999999999999285
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	reverse	SDLPFC_Br2720_ANT_MID__reverse	row_softmax	0.25		N	I_SPATIAL	richardson_vector	1500	0.9999855395491287	0.9933333333333333	0.0010678710902715285	0.003458670241584126	0.00014430824112428734	0.9960874697095702	0.9999837410420789	1500	0.006151389362654551	0.007207718132945279	0.006028028157758705	0.007995095800376087	1500	0.9999885135586282	0.9999922808178263	0.9999879049264917	0.9999943152788991	1500	1500	1500	1500.0	2.983233892195988e-07	3.9175078162513654e-07	2.8603925821995635e-07	4.957591400261805e-07	1500.0	1.0	1.0	1.538394441474855e-08	4.982622850847097e-08	4.2017226602321943e-08	0.9999998974417643	0.9999999999999283
