dataset	pair_id	pair_type	independent_unit_id	cohort_role	direction	pair_file_id	method	epsilon	tau	arm	intervention	local_to_endpoint_n_estimable	local_to_endpoint_spearman	local_to_endpoint_top_overlap	local_to_endpoint_raw_mae	local_to_endpoint_rmae	local_to_endpoint_intercept	local_to_endpoint_slope	local_to_endpoint_r2	h001_to_endpoint_n_estimable	h001_to_endpoint_spearman	h001_to_endpoint_top_overlap	h001_to_endpoint_raw_mae	h001_to_endpoint_rmae	h001_to_endpoint_intercept	h001_to_endpoint_slope	h001_to_endpoint_r2	path_eta_n_estimable	path_eta_median	path_eta_q90	path_eta_mean	path_eta_maximum	path_kappa_n_estimable	path_kappa_median	path_kappa_q90	path_kappa_mean	path_kappa_maximum	path_length_n_estimable	path_length_median	path_length_q90	path_length_mean	path_length_maximum
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		R	I_EXPR	1500	0.9993197188087641	0.9866666666666667	0.00025964693754765045	0.007464179467478585	0.00011322437367221696	0.9945749084778616	0.9979376840291223	1500	0.999330975702656	0.9866666666666667	0.00025706761725653943	0.007390030664728202	0.00011276242257638514	0.9946001497653094	0.9979803973182729	1500	0.999676760568842	0.9998303788650863	0.999645821138238	0.9999313312260345	1500	0.9995543641085379	1.008963328986172	0.9979738300918037	1.0492080525801168	1500	0.03193196760288679	0.04882684183976244	0.034798798534526276	0.08270343921679703
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		R	I_SPATIAL	1500	0.4876472993987998	0.41333333333333333	0.18075536896189465	0.39116363474385896	-0.19433176454897771	2.30382879738538	0.22257723141847952	1500	0.5002632516725564	0.42	0.17959040830287487	0.3886426017680039	-0.209218870539009	2.346098849268444	0.2345306111448594	1500	0.9457229603435444	0.9658792138186888	0.945723255515573	0.9839306346729724	1500	1.9062569434314156	2.3792285787270346	1.8388367769871239	2.9095615354295115	1500	0.5039456989374402	0.6347031243939346	0.4895220499982315	0.7639608397147707
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		N	I_EXPR	1500	0.6958438861528383	0.3933333333333333	0.08122634049899032	0.39088868770275786	0.06141946842134557	0.5064594326321177	0.48580584479853084	1500	0.7055169535630905	0.41333333333333333	0.08002203262684092	0.3850931499394823	0.05897652290374185	0.5170662909521857	0.4989210751003952	1500	0.9858686534169341	0.9884265811837194	0.9855888643389681	0.9908050609383772	1500	0.6961689787093773	0.7711023499986306	0.6987186704592802	0.8240631465769495	1500	0.21055361667211403	0.23619493013345888	0.21083541431038974	0.2639487730826734
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	balanced_ot	0.25		N	I_SPATIAL	1500	0.4906977896434621	0.42	0.1793163107721279	0.385958857162568	-0.1309233980058453	2.0604512332477145	0.24009852901587514	1500	0.5018305519246898	0.42	0.1781477034004086	0.3834435568883297	-0.14193888702509933	2.089770040523644	0.25076661436068204	1500	0.9450069914658923	0.9648906685722551	0.9449337573997348	0.9812235911214563	1500	1.875057623566179	2.3725490785627663	1.8209843114588244	2.867374227669053	1500	0.5038524772235307	0.6400571692425748	0.4926163872706818	0.8051847058935093
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	R	I_EXPR	1500	0.9996552389578841	0.9866666666666667	0.004325212774825903	0.06355878544678388	-0.003492007900395721	1.1226704518579511	0.9989346898615901	1500	0.9996631927391968	0.9866666666666667	0.0042837172437367715	0.06294901069238451	-0.003456531966239632	1.1213835494467834	0.9989552459181279	1500	0.9999237355847743	0.9999918763650717	0.9998418998936469	1.0	1500	1.0771818900574681	1.0992891976953738	1.0789902328116217	1.1363704362918121	1500	0.06548322146556902	0.08940997862839137	0.06806062427775111	0.12380031543915336
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	R	I_SPATIAL	1500	0.5555416655740737	0.46	0.19943748606886547	0.41829634538261584	-0.29472437488772396	2.7619648069171836	0.2960850387791216	1500	0.5663687281638793	0.4666666666666667	0.19822799761677987	0.41575958757814174	-0.3064262829820114	2.7913617082882065	0.30787564931277334	1500	0.9496629357909043	0.9675239465749368	0.9493954291770003	0.987336170130175	1500	2.0122387841507425	2.5399967404145234	1.947667411675739	3.096990181418964	1500	0.5149709088897995	0.660927452870305	0.5031082026907563	0.8203888366868111
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	N	I_EXPR	1500	0.7508404368179721	0.48	0.0692706190466171	0.2994598491258656	0.05986024705795943	0.570407459683934	0.5782935246297627	1500	0.7586983283103683	0.4866666666666667	0.06821532973390725	0.2948977882879862	0.05763891771081421	0.5798330185403079	0.5889094439791825	1500	0.9897177839947633	0.9924839314503202	0.9896054900019259	0.9952664299430789	1500	0.7569340218080868	0.831199286278664	0.7608190913156873	0.9021772114091982	1500	0.23569486718557608	0.2595603110355538	0.23374137833567732	0.29234778768703124
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	uot	0.25	2.0	N	I_SPATIAL	1500	0.6179405590846929	0.52	0.16441847902889084	0.35649773181827943	-0.2629535404516291	2.409129956713452	0.38475830551354673	1500	0.626126269389453	0.52	0.163391053542517	0.3542700329752546	-0.2694918939681467	2.422288080588085	0.39482353212013965	1500	0.9538012266157418	0.9705328011693133	0.9534651266569811	0.9846012116108737	1500	1.78156493633448	2.2417322138440734	1.7299055628353552	2.6834205374493068	1500	0.4947674263070997	0.6277076701886323	0.4844428453502956	0.8060442968463691
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		R	I_EXPR	1500	0.9964588037594684	0.9	0.0028840328878756683	0.040231250538345545	0.0005065457639419904	1.0332644199702694	0.9910630026097033	1500	0.9965206206758316	0.9	0.0028540005948935617	0.03981231055042672	0.000504019034502723	1.0328524120339255	0.9912275390204165	1500	0.9989555541774306	0.9996528933016461	0.9988720312359299	0.9999402252120738	1500	1.0354095403498302	1.106301774983421	1.048114924579203	1.1743294671286026	1500	0.07059560882081137	0.10814124839098438	0.0717817789656451	0.16357520638181508
spatialDLPFC	SDLPFC_Br2720_ANT_MID	within_donor_adjacent_position	spatialDLPFC::Br2720	primary_expansion	forward	SDLPFC_Br2720_ANT_MID	row_softmax	0.25		R	I_SPATIAL	1500	0.8488038225794767	0.52	0.1743489842763999	0.37704087686531934	-0.14119797619103652	2.095401839587678	0.7017110049202372	1500	0.8510564138028507	0.5266666666666666	0.1731968080013482	0.37454922166668503	-0.14078243720166533	2.085617458700716	0.705773059101104	1500	0.9444113104072248	0.9721348038296193	0.9442047473265608	0.9831562270760678	1500	1.901349684450437	2.2217934515665783	1.8680412905642745	2.6457797608743383	1500	0.5007654616795749	0.6282792675952995	0.4920270753142437	0.7476374416129414
