dataset	pair_type	biological_pair_id	independent_unit_id	cohort_role	pair_id	direction	method	epsilon	tau	score	n_estimable	spearman	aurc	oracle_aurc	random_aurc	normalized_excess_aurc	retained_loss_at_80pct_coverage	retained_loss_at_90pct_coverage	auroc	auprc	prevalence	precision_at_prevalence	recall_at_prevalence
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	balanced_ot	0.25		finite_response_h001	341	-0.001416628362299202	0.20321342231982903	0.04329529310352105	0.19941348973607037	1.0243401004221337	0.19413919413919414	0.1986970684039088	0.49897651368239604	0.1967057868000256	0.19941348973607037	0.22058823529411764	0.22058823529411764
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	balanced_ot	0.25		local_reference	341	-0.0015657471372780654	0.20321342231982903	0.04329529310352105	0.19941348973607037	1.0243401004221337	0.19413919413919414	0.1986970684039088	0.498868778280543	0.1966806367203186	0.19941348973607037	0.22058823529411764	0.22058823529411764
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	balanced_ot	0.25		endpoint_response	341	0.036906896807268684	0.19630040413779856	0.04329529310352105	0.19941348973607037	0.9800594314729435	0.19047619047619047	0.1986970684039088	0.5266645119586296	0.2096093126693649	0.19941348973607037	0.23529411764705882	0.23529411764705882
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	balanced_ot	0.25		conditional_entropy	341	-0.21145042292002827	0.25518600991670365	0.04329529310352105	0.19941348973607037	1.3572454805630594	0.2490842490842491	0.22149837133550487	0.34723120017237663	0.14655980474322208	0.19941348973607037	0.0	0.0
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	balanced_ot	0.25		low_max_probability	341	-0.23590590201656186	0.25781065269110076	0.04329529310352105	0.19941348973607037	1.3740573758514392	0.2490842490842491	0.22149837133550487	0.3295625942684766	0.14320490436197356	0.19941348973607037	0.0	0.0
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	balanced_ot	0.25		probability_margin_risk	341	0.1979551737844411	0.1808750254513506	0.04329529310352105	0.19941348973607037	0.8812536611068267	0.19413919413919414	0.20195439739413681	0.6430187459599224	0.24517919656276663	0.19941348973607037	0.22058823529411764	0.22058823529411764
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	balanced_ot	0.25		assigned_raw_cost	341	0.5738090461186663	0.07793946247079005	0.04329529310352105	0.19941348973607037	0.2219098741500962	0.09523809523809523	0.13355048859934854	0.9145658263305323	0.7481026182091958	0.19941348973607037	0.6176470588235294	0.6176470588235294
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	balanced_ot	0.25		barycentric_displacement	341	0.591554180341151	0.07509832145710162	0.04329529310352105	0.19941348973607037	0.20371122034181824	0.08058608058608059	0.11074918566775244	0.9273863391510451	0.8223654558960006	0.19941348973607037	0.6764705882352942	0.6764705882352942
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	balanced_ot	0.25		transported_mass_deficit	341	-0.008799016727553673	0.21124194927394108	0.04329529310352105	0.19941348973607037	1.075766052856164	0.2125619478560655	0.21724968134825096	0.4936705451411334	0.1893679100220107	0.19941348973607037	0.16176470588235295	0.16176470588235295
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	balanced_ot	0.25		source_boundary_proximity	341	0.3441061530621215	0.14669890503859068	0.04329529310352105	0.19941348973607037	0.6623418292388271	0.16483516483516483	0.18892508143322476	0.7485994397759104	0.33573907748349546	0.19941348973607037	0.3382352941176471	0.3382352941176471
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	uot	0.25	2.0	finite_response_h001	341	0.010289195473541572	0.19356980319962946	0.04329529310352105	0.19941348973607037	0.9625688314207536	0.20146520146520147	0.19543973941368079	0.5074337427278603	0.20826902369101868	0.19941348973607037	0.19117647058823528	0.19117647058823528
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	uot	0.25	2.0	local_reference	341	0.009767279761115551	0.1938151101709716	0.04329529310352105	0.19941348973607037	0.9641401214858026	0.20146520146520147	0.19543973941368079	0.5070566688213747	0.20800807585361047	0.19941348973607037	0.19117647058823528	0.19117647058823528
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	uot	0.25	2.0	endpoint_response	341	0.04130590066914515	0.18670164948397697	0.04329529310352105	0.19941348973607037	0.9185755374691337	0.1978021978021978	0.18566775244299674	0.5298427063132944	0.2272763684381672	0.19941348973607037	0.20588235294117646	0.20588235294117646
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	uot	0.25	2.0	conditional_entropy	341	-0.26759364169957034	0.26370455499542234	0.04329529310352105	0.19941348973607037	1.4118101966721528	0.2490842490842491	0.22149837133550487	0.30666882137470375	0.13996088921542515	0.19941348973607037	0.0	0.0
