dataset	pair_type	biological_pair_id	independent_unit_id	cohort_role	method	epsilon	tau	arm	intervention	h001_spearman	h001_top_overlap	h001_rmae	vector_relative_l1_median	direction_cosine_median	neighborhood_error_median	neighborhood_error_q90
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_B1_CONTROLLED	HER2ST::B	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.999997867788716	1.0	0.0003874625971725914	0.0005763232130201848	0.999999877049641	0.0012597279533599715	0.0014385301292745823
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_B1_CONTROLLED	HER2ST::B	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.9998259921371181	0.9772727272727273	0.004294381096654766	0.006315550424732219	0.9999903447520465	0.011417867841471026	0.016008134098778826
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_C1_CONTROLLED	HER2ST::C	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.9997138122725364	1.0	0.004092958758423368	0.005911840992234542	0.9999926250246867	0.010963898857665272	0.01474082853767565
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_C1_CONTROLLED	HER2ST::C	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.9997243305090795	1.0	0.004128874433886763	0.0059716953247407785	0.9999925234719554	0.011138892868216527	0.015119816341377268
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_C1_CONTROLLED	HER2ST::C	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.9999835833073045	1.0	0.0013964128370763532	0.0010188272278795199	0.999999205787574	0.0015214414403091777	0.004054562429593138
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_C1_CONTROLLED	HER2ST::C	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.9996653170712567	1.0	0.004150027645309395	0.006026226258822269	0.999992865864787	0.011213427134352926	0.015013443176813985
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_C1_CONTROLLED	HER2ST::C	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.9999670010031925	1.0	0.00369525964202562	0.005705183342345299	0.9999926193268753	0.009638451408405009	0.01201717978301564
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_C1_CONTROLLED	HER2ST::C	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.9999431857261628	0.9642857142857143	0.003724282864548926	0.005759059903733564	0.9999925176746385	0.009910591726476589	0.01234696297189199
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_C1_CONTROLLED	HER2ST::C	manual_truth_controlled	row_softmax	0.25		R	I_EXPR	0.9999682064986786	1.0	0.0007781324864511803	0.0012881070558061185	0.9999985216946938	0.001301228516591354	0.0027960989791519647
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_C1_CONTROLLED	HER2ST::C	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.9999333761508563	1.0	0.0038207218210325722	0.005772896223858315	0.9999929541318928	0.010247413023885172	0.01238458383955858
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_C1_CONTROLLED	HER2ST::C	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.9997581113473994	1.0	0.0033566432678808866	0.0050963674079944135	0.9999928580606803	0.009127092217672493	0.012634069567078104
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_C1_CONTROLLED	HER2ST::C	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.9998173366122092	0.9642857142857143	0.003386848140376284	0.0051490353236177165	0.9999927429990498	0.00936835372740887	0.013088212919559382
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_C1_CONTROLLED	HER2ST::C	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.9999975062033193	1.0	0.0006343313488187739	0.0006515950316631331	0.9999998661820553	0.0014201324197490504	0.0015684848398097393
