threshold_set	independent_unit_id	cohort_role	method	epsilon	tau	arm	intervention	h001_spearman	h001_top_overlap	h001_rmae	vector_relative_l1_median	direction_cosine_median	neighborhood_error_median	neighborhood_error_q90	biological_pairs	gate_pass	sensitivity_gate_pass
prespecified	HER2ST::C	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.9999670010031924	1.0	0.0036952596420256	0.0057051833423452	0.9999926193268752	0.009638451408405	0.0120171797830156	1	True	True
prespecified	HER2ST::C	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.9999431857261628	0.9642857142857144	0.0037242828645489	0.0057590599037335	0.9999925176746384	0.0099105917264765	0.0123469629718919	1	True	True
prespecified	HER2ST::C	manual_truth_controlled	row_softmax	0.25		R	I_EXPR	0.9999682064986786	1.0	0.0007781324864511	0.0012881070558061	0.9999985216946938	0.0013012285165913	0.0027960989791519	1	True	True
prespecified	HER2ST::C	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.9999333761508564	1.0	0.0038207218210325	0.0057728962238583	0.9999929541318928	0.0102474130238851	0.0123845838395585	1	True	True
prespecified	HER2ST::C	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.9997581113473994	1.0	0.0033566432678808	0.0050963674079944	0.9999928580606804	0.0091270922176724	0.0126340695670781	1	True	True
prespecified	HER2ST::C	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.9998173366122092	0.9642857142857144	0.0033868481403762	0.0051490353236177	0.9999927429990498	0.0093683537274088	0.0130882129195593	1	True	True
prespecified	HER2ST::C	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.9999975062033192	1.0	0.0006343313488187	0.0006515950316631	0.9999998661820552	0.001420132419749	0.0015684848398097	1	True	True
prespecified	HER2ST::C	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.999779561849027	1.0	0.0042546842678864	0.0063561128832503	0.999990304429057	0.0116200736326672	0.0154421036113652	1	True	True
prespecified	HER2ST::D	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.9998929915713596	1.0	0.0039950181097174	0.0058792449260424	0.9999924779344004	0.0104829304326075	0.0140068957188058	1	True	True
prespecified	HER2ST::D	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.9999078446783044	1.0	0.0040364066920939	0.0059356370194851	0.9999923551090886	0.0108239398063057	0.0146038410246593	1	True	True
prespecified	HER2ST::D	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.9999939671168396	1.0	0.0004426321873191	0.0005225747694517	0.999999810186526	0.0005523828676042	0.0016498531463355	1	True	True
prespecified	HER2ST::D	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.9998893502595836	1.0	0.0040202835778562	0.0059660989595093	0.9999925986524968	0.0107530959809941	0.0144669496438134	1	True	True
prespecified	HER2ST::D	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.9998665586382	1.0	0.0038594553130623	0.005706896224301	0.9999924803545958	0.0099592822237239	0.0130560602561597	1	True	True
prespecified	HER2ST::D	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.999918321585255	0.9807692307692308	0.0038935829853786	0.005761740061195	0.9999923764693314	0.010200243213055	0.0135443628142318	1	True	True
prespecified	HER2ST::D	manual_truth_controlled	row_softmax	0.25		R	I_EXPR	0.999988590124566	1.0	0.0001523541093194	0.0007000050035641	0.9999996374876504	0.0003151340186175	0.000711828269636	1	True	True
prespecified	HER2ST::D	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.9999235232356254	0.9761904761904762	0.0039178619349128	0.0057759377449097	0.9999928803567733	0.0101786022804845	0.0133270850521633	1	True	True
prespecified	HER2ST::D	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.9998820961568072	1.0	0.0033740338473028	0.0049928010060368	0.9999938411308236	0.0088776595319508	0.0121138206704168	1	True	True
prespecified	HER2ST::D	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.9998894519952772	1.0	0.0034073231319256	0.0050454009344972	0.9999937464837636	0.0091935762444167	0.0125540281917897	1	True	True
prespecified	HER2ST::D	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.999993260358106	1.0	0.000495573689297	0.0005750647500273	0.999999938811116	0.0013737061542865	0.0015115192124979	1	True	True
prespecified	HER2ST::D	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.9999114971636158	1.0	0.0042362504507866	0.0061486634430211	0.999991642276586	0.0112799857333371	0.0150212271495863	1	True	True
prespecified	HER2ST::E	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.99993812934869	1.0	0.0040189597643565	0.0057719818040278	0.9999926425908352	0.0105038043226514	0.0138125726464572	1	True	True
prespecified	HER2ST::E	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.9999342916121594	1.0	0.00405601177474	0.0058360565883414	0.9999925487158904	0.0107465742166735	0.0141926326100117	1	True	True
prespecified	HER2ST::E	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.9999971722657216	1.0	0.0002589075595501	0.000567804402925	0.9999995335363432	0.0005503058364571	0.00112841539372	1	True	True
prespecified	HER2ST::E	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.9999413430058364	0.9907407407407408	0.0040782775265459	0.0058457845718453	0.9999928390982324	0.0108492252377074	0.0141647858651075	1	True	True
prespecified	HER2ST::E	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.9999585099037228	1.0	0.00389026532346	0.0058130637048376	0.9999921907488628	0.0103668633117657	0.0124390328749356	1	True	True
prespecified	HER2ST::E	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.9999646967363376	0.9791128337639964	0.0039253301400685	0.0058797185288637	0.9999920842295515	0.0106212686521466	0.012823434643771	1	True	True
prespecified	HER2ST::E	manual_truth_controlled	row_softmax	0.25		R	I_EXPR	0.99999353213055	1.0	8.842981060599346e-05	0.00069678229914	0.9999993633091953	0.000167393135803	0.0005236418943606	1	True	True
prespecified	HER2ST::E	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.999965760616636	1.0	0.0039411670370512	0.00585225236205	0.9999927829851004	0.0106634429315239	0.0126932516666121	1	True	True
