independent_unit_id	cohort_role	method	epsilon	tau	arm	intervention	h	h_spearman	h_top_overlap	h_rmae	scalar_gate_pass
HER2ST::A	manual_truth_controlled	row_softmax	0.25		R	I_EXPR	0.01	0.9999882393609872	1.0	0.00021098748052413886	True
HER2ST::A	manual_truth_controlled	row_softmax	0.25		R	I_EXPR	0.02	0.9999733707011053	1.0	0.00042216495533045693	True
HER2ST::A	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.000625	0.9999974740307744	1.0	0.0002389899075647885	True
HER2ST::A	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.00125	0.9999965738608514	1.0	0.00047803649388836677	True
HER2ST::A	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.0025	0.9999932912994383	1.0	0.0009564761655541216	True
HER2ST::A	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.005	0.9999840798517574	1.0	0.001914933914641975	True
HER2ST::A	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.01	0.9999695138287505	0.9857142857142858	0.003837458838107804	True
HER2ST::A	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.02	0.9999194836074592	0.9857142857142858	0.007707024088601834	True
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.000625	0.9999983664599956	1.0	0.00020348755796902808	True
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.00125	0.9999968764977264	1.0	0.00040689183505553713	True
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.0025	0.9999915296631028	1.0	0.0008133978945555359	True
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.005	0.9999804714313626	1.0	0.0016251641220457473	True
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.01	0.9999496129569188	1.0	0.0032435103065831675	True
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.02	0.9998580003786192	0.9821428571428572	0.006457583842872829	True
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.000625	0.9999974740307744	1.0	0.00020376504235514105	True
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.00125	0.9999956891723325	1.0	0.0004075491785112531	True
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.0025	0.9999904626933377	1.0	0.0008154891342027735	True
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.005	0.9999780425956597	1.0	0.0016329390962309365	True
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.01	0.9999487789577097	0.9821428571428572	0.0032736732655052787	True
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.02	0.9998514464921002	0.9821428571428572	0.006578531458406258	True
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.000625	0.9999998486815624	1.0	3.3054142354845006e-05	True
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.00125	0.9999998486815624	1.0	6.610828470970031e-05	True
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.0025	0.9999995460446873	1.0	0.000132221529509181	True
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.005	0.9999987971932018	1.0	0.0002644678600776221	True
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.01	0.9999968687570243	1.0	0.00052903988045025	True
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.02	0.9999943427877989	1.0	0.0010584991387436477	True
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.000625	0.9999973072309327	1.0	0.0002585770866022001	True
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.00125	0.9999958095279615	1.0	0.0005171897328785779	True
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.0025	0.9999890853459954	1.0	0.00103479740673002	True
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.005	0.9999761064187802	1.0	0.0020717845965798113	True
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.01	0.9999400059839372	1.0	0.004152577755362599	True
HER2ST::A	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.02	0.9998384021436626	0.9857142857142858	0.008344081031745994	True
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.000625	0.9999936033661481	1.0	0.00024659281104685827	True
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.00125	0.9999856910172176	0.9814814814814814	0.0004931447879832724	True
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.0025	0.9999695325458189	0.9814814814814814	0.000985725773623775	True
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.005	0.9999153918584343	0.9814814814814814	0.001968968663829495	True
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.01	0.9998024357112538	0.9814814814814814	0.003928690140982944	True
HER2ST::B	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.02	0.9994934456960041	0.9402356902356903	0.007822224123297155	True
