h	unit_family_records	scalar_gate_passes	scalar_gate_pass_fraction	minimum_spearman	minimum_top_overlap	maximum_rmae
0.000625	252	252	1.0	0.9999796355980126	0.9761904761904762	0.00029282785063408114
0.00125	252	252	1.0	0.9999694947998732	0.9761904761904762	0.0005857125865830124
0.0025	252	252	1.0	0.9999328793166067	0.9642857142857143	0.0011720507811049437
0.005	252	252	1.0	0.9998367901514056	0.9642857142857143	0.0023469688371804127
0.01	252	252	1.0	0.999655918069297	0.9642857142857143	0.004705744682051353
0.02	252	252	1.0	0.9986973078654703	0.9285714285714286	0.00945951053516009
