independent_unit_id	method	max_probability_precision_at_80pct	top2_margin_precision_at_80pct	margin_minus_max_precision_at_80pct	max_probability_precision_at_90pct	top2_margin_precision_at_90pct	margin_minus_max_precision_at_90pct
HER2ST::A	balanced_ot	0.6506849315068494	0.7876712328767124	0.136986301369863	0.6646341463414634	0.725609756097561	0.06097560975609756
HER2ST::B	balanced_ot	0.5552325581395349	0.6627906976744187	0.10755813953488375	0.5489690721649484	0.5902061855670103	0.04123711340206193
HER2ST::C	balanced_ot	0.5231481481481481	0.5925925925925926	0.06944444444444448	0.5247933884297521	0.5495867768595042	0.024793388429752095
HER2ST::D	balanced_ot	0.6554878048780488	0.75	0.09451219512195119	0.6603260869565217	0.6875000000000001	0.027173913043478326
HER2ST::E	balanced_ot	0.7646198830409358	0.922514619883041	0.15789473684210525	0.7727272727272727	0.8415584415584416	0.0688311688311688
HER2ST::F	balanced_ot	0.7725118483412323	0.9229857819905214	0.15047393364928913	0.7936842105263158	0.8642105263157895	0.07052631578947366
HER2ST::G	balanced_ot	0.6647286821705427	0.8139534883720931	0.14922480620155043	0.6827586206896552	0.7517241379310344	0.06896551724137928
HER2ST::H	balanced_ot	0.8411764705882353	0.9588235294117649	0.11764705882352955	0.8416230366492147	0.8992146596858639	0.05759162303664922
HER2ST::A	row_softmax	0.815068493150685	0.906392694063927	0.091324200913242	0.8231707317073171	0.8495934959349594	0.02642276422764228
HER2ST::B	row_softmax	0.8110465116279071	0.9447674418604651	0.13372093023255804	0.8195876288659795	0.8891752577319588	0.06958762886597936
HER2ST::C	row_softmax	0.6944444444444444	0.7453703703703703	0.050925925925925875	0.6942148760330578	0.7024793388429753	0.008264462809917439
HER2ST::D	row_softmax	0.899390243902439	0.9725609756097562	0.07317073170731708	0.9048913043478262	0.9565217391304348	0.05163043478260859
HER2ST::E	row_softmax	0.9532163742690059	0.9912280701754386	0.03801169590643272	0.9571428571428573	0.9844155844155845	0.027272727272727282
HER2ST::F	row_softmax	0.9834123222748816	1.0	0.016587677725118377	0.9831578947368422	0.9989473684210526	0.015789473684210464
HER2ST::G	row_softmax	0.748062015503876	0.8682170542635659	0.12015503875968991	0.7603448275862069	0.8172413793103449	0.05689655172413799
HER2ST::H	row_softmax	0.9367647058823529	0.9897058823529412	0.052941176470588214	0.925392670157068	0.9594240837696335	0.03403141361256545
HER2ST::A	uot	0.7351598173515982	0.8584474885844748	0.12328767123287665	0.7540650406504066	0.8231707317073171	0.06910569105691056
HER2ST::B	uot	0.680232558139535	0.8081395348837209	0.127906976744186	0.6881443298969072	0.7371134020618557	0.0489690721649485
HER2ST::C	uot	0.6851851851851852	0.7962962962962963	0.1111111111111111	0.7066115702479339	0.756198347107438	0.049586776859504134
HER2ST::D	uot	0.7469512195121951	0.8567073170731707	0.10975609756097565	0.7527173913043479	0.7880434782608696	0.035326086956521674
HER2ST::E	uot	0.9108187134502925	0.9912280701754386	0.08040935672514615	0.9116883116883118	0.9545454545454546	0.04285714285714276
HER2ST::F	uot	0.9170616113744077	0.9905213270142181	0.07345971563981052	0.9231578947368422	0.9715789473684211	0.04842105263157903
HER2ST::G	uot	0.7151162790697675	0.8817829457364341	0.16666666666666663	0.7310344827586207	0.8137931034482759	0.08275862068965517
HER2ST::H	uot	0.9044117647058825	0.9911764705882353	0.08676470588235291	0.8992146596858639	0.9594240837696335	0.060209424083769614
