dataset	biological_pair_id	independent_unit_id	pair_id	direction	method	max_probability__retained_loss_at_80pct_coverage	max_probability__retained_loss_at_90pct_coverage	top2_margin__retained_loss_at_80pct_coverage	top2_margin__retained_loss_at_90pct_coverage	max_probability_precision_at_80pct	top2_margin_precision_at_80pct	margin_minus_max_precision_at_80pct	max_probability_precision_at_90pct	top2_margin_precision_at_90pct	margin_minus_max_precision_at_90pct
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	HER2ST_A1_CONTROLLED	forward	balanced_ot	0.2922374429223744	0.2723577235772357	0.1689497716894977	0.2195121951219512	0.7077625570776256	0.8310502283105023	0.12328767123287676	0.7276422764227644	0.7804878048780488	0.05284552845528445
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	HER2ST_A1_CONTROLLED	forward	uot	0.1872146118721461	0.1747967479674796	0.0867579908675799	0.1178861788617886	0.812785388127854	0.91324200913242	0.1004566210045661	0.8252032520325204	0.8821138211382114	0.05691056910569092
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	0.2009132420091324	0.1951219512195122	0.1141552511415525	0.1788617886178861	0.7990867579908676	0.8858447488584476	0.08675799086757996	0.8048780487804879	0.821138211382114	0.016260162601626105
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	0.4063926940639269	0.3983739837398374	0.2557077625570776	0.3292682926829268	0.5936073059360731	0.7442922374429224	0.15068493150684925	0.6016260162601625	0.6707317073170732	0.06910569105691067
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	uot	0.3424657534246575	0.3170731707317073	0.1963470319634703	0.2357723577235772	0.6575342465753424	0.8036529680365296	0.1461187214611872	0.6829268292682926	0.7642276422764228	0.08130081300813019
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	row_softmax	0.1689497716894977	0.1585365853658536	0.0730593607305936	0.1219512195121951	0.8310502283105023	0.9269406392694064	0.09589041095890405	0.8414634146341464	0.8780487804878049	0.03658536585365846
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST::B	HER2ST_B1_CONTROLLED	forward	balanced_ot	0.4127906976744186	0.422680412371134	0.313953488372093	0.3865979381443299	0.5872093023255813	0.686046511627907	0.09883720930232565	0.5773195876288659	0.6134020618556701	0.03608247422680422
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST::B	HER2ST_B1_CONTROLLED	forward	uot	0.2674418604651162	0.268041237113402	0.1395348837209302	0.2164948453608247	0.7325581395348838	0.8604651162790697	0.12790697674418594	0.731958762886598	0.7835051546391754	0.05154639175257736
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST::B	HER2ST_B1_CONTROLLED	forward	row_softmax	0.1860465116279069	0.190721649484536	0.0581395348837209	0.134020618556701	0.8139534883720931	0.9418604651162791	0.12790697674418594	0.809278350515464	0.865979381443299	0.05670103092783496
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	balanced_ot	0.4767441860465116	0.4793814432989691	0.3604651162790697	0.4329896907216495	0.5232558139534884	0.6395348837209303	0.11627906976744184	0.5206185567010309	0.5670103092783505	0.046391752577319645
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	uot	0.3720930232558139	0.3556701030927835	0.2441860465116279	0.3092783505154639	0.627906976744186	0.7558139534883721	0.12790697674418605	0.6443298969072164	0.6907216494845361	0.046391752577319645
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	row_softmax	0.191860465116279	0.1701030927835051	0.0523255813953488	0.0876288659793814	0.808139534883721	0.9476744186046512	0.13953488372093015	0.8298969072164949	0.9123711340206186	0.08247422680412375
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST::C	HER2ST_C1_CONTROLLED	forward	balanced_ot	0.4444444444444444	0.4380165289256198	0.3518518518518518	0.4049586776859504	0.5555555555555556	0.6481481481481481	0.09259259259259256	0.5619834710743802	0.5950413223140496	0.03305785123966942
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST::C	HER2ST_C1_CONTROLLED	forward	uot	0.25	0.2396694214876033	0.1481481481481481	0.2148760330578512	0.75	0.8518518518518519	0.10185185185185186	0.7603305785123967	0.7851239669421488	0.024793388429752095
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST::C	HER2ST_C1_CONTROLLED	forward	row_softmax	0.4351851851851852	0.4462809917355372	0.4166666666666667	0.4545454545454545	0.5648148148148149	0.5833333333333333	0.01851851851851838	0.5537190082644627	0.5454545454545455	-0.008264462809917217
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	balanced_ot	0.5092592592592593	0.512396694214876	0.4629629629629629	0.4958677685950413	0.4907407407407407	0.5370370370370371	0.04629629629629639	0.487603305785124	0.5041322314049588	0.016528925619834767
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	uot	0.3796296296296296	0.3471074380165289	0.2592592592592592	0.2727272727272727	0.6203703703703705	0.7407407407407408	0.12037037037037035	0.6528925619834711	0.7272727272727273	0.07438016528925617
