independent_unit_id	method	metric	max_probability	top2_margin	raw_margin_minus_max	beneficial_margin_effect
HER2ST::A	balanced_ot	training_positive_precision	0.6496013282744353	0.7867907250060595	0.13718939673162422	0.13718939673162422
HER2ST::B	balanced_ot	training_positive_precision	0.5577333216559204	0.6584640858227526	0.10073076416683224	0.10073076416683224
HER2ST::C	balanced_ot	training_positive_precision	0.5228920693196849	0.5948573434337426	0.07196527411405773	0.07196527411405773
HER2ST::D	balanced_ot	training_positive_precision	0.652048236621072	0.7508034662157804	0.0987552295947084	0.0987552295947084
HER2ST::E	balanced_ot	training_positive_precision	0.7657165071680989	0.9082808282509489	0.14256432108285	0.14256432108285
HER2ST::F	balanced_ot	training_positive_precision	0.773076544427158	0.9160772856586972	0.14300074123153916	0.14300074123153916
HER2ST::G	balanced_ot	training_positive_precision	0.6670996866768153	0.8121717384751184	0.14507205179830307	0.14507205179830307
HER2ST::H	balanced_ot	training_positive_precision	0.8404539815730959	0.9492213060595693	0.10876732448647342	0.10876732448647342
HER2ST::A	row_softmax	training_positive_precision	0.8173212162222874	0.9046912497466315	0.08737003352434414	0.08737003352434414
HER2ST::B	row_softmax	training_positive_precision	0.8168510694864164	0.9355637290609116	0.11871265957449517	0.11871265957449517
HER2ST::C	row_softmax	training_positive_precision	0.6968191235497785	0.74588017080166	0.04906104725188154	0.04906104725188154
HER2ST::D	row_softmax	training_positive_precision	0.9029341760561433	0.9762590320954878	0.07332485603934447	0.07332485603934447
HER2ST::E	row_softmax	training_positive_precision	0.9535586689486515	0.9904699407788956	0.03691127183024412	0.03691127183024412
HER2ST::F	row_softmax	training_positive_precision	0.982477055400962	1.0	0.017522944599038026	0.017522944599038026
HER2ST::G	row_softmax	training_positive_precision	0.7500518363917936	0.8677470736520456	0.117695237260252	0.117695237260252
HER2ST::H	row_softmax	training_positive_precision	0.9347201387080065	0.9849298088517424	0.050209670143735896	0.050209670143735896
HER2ST::A	uot	training_positive_precision	0.738671846534204	0.8552348688499459	0.1165630223157419	0.1165630223157419
HER2ST::B	uot	training_positive_precision	0.682737778527389	0.7985311531144257	0.11579337458703665	0.11579337458703665
HER2ST::C	uot	training_positive_precision	0.6887844407916673	0.79437752120795	0.10559308041628268	0.10559308041628268
HER2ST::D	uot	training_positive_precision	0.7439595377348984	0.8571906793854177	0.11323114165051928	0.11323114165051928
HER2ST::E	uot	training_positive_precision	0.9111253524129244	0.9843927819693838	0.07326742955645948	0.07326742955645948
HER2ST::F	uot	training_positive_precision	0.9168452170844399	0.9880563240528131	0.07121110696837318	0.07121110696837318
HER2ST::G	uot	training_positive_precision	0.7222378092446682	0.8749941822289238	0.1527563729842556	0.1527563729842556
HER2ST::H	uot	training_positive_precision	0.9038102381368334	0.9845836713575566	0.08077343322072328	0.08077343322072328
HER2ST::A	balanced_ot	top1	0.08231238048349537	0.14549572116500886	0.06318334068151349	0.06318334068151349
HER2ST::B	balanced_ot	top1	0.23537534130062582	0.3539426555631405	0.11856731426251466	0.11856731426251466
HER2ST::C	balanced_ot	top1	0.014692982456140351	0.01276315789473684	-0.0019298245614035106	-0.0019298245614035106
HER2ST::D	balanced_ot	top1	0.03357415109817996	0.04425051920639886	0.010676368108218898	0.010676368108218898
HER2ST::E	balanced_ot	top1	0.9633880173810576	1.0	0.036611982618942385	0.036611982618942385
HER2ST::F	balanced_ot	top1	0.9415049233617082	1.0	0.05849507663829179	0.05849507663829179
HER2ST::G	balanced_ot	top1	0.500794641664041	0.7284569368593594	0.22766229519531844	0.22766229519531844
HER2ST::H	balanced_ot	top1	1.0	1.0	0.0	0.0
HER2ST::A	row_softmax	top1	0.15679229542865397	0.24394399494193314	0.08715169951327917	0.08715169951327917
HER2ST::B	row_softmax	top1	0.6168525561524077	0.8384497120889995	0.2215971559365918	0.2215971559365918
HER2ST::C	row_softmax	top1	0.013596491228070176	0.013596491228070176	0.0	0.0
HER2ST::D	row_softmax	top1	0.07341238292492863	0.1002913110045045	0.02687892807957587	0.02687892807957587
HER2ST::E	row_softmax	top1	1.0	1.0	0.0	0.0
HER2ST::F	row_softmax	top1	1.0	1.0	0.0	0.0
HER2ST::G	row_softmax	top1	0.5413167793521505	0.7821066960492933	0.24078991669714278	0.24078991669714278
HER2ST::H	row_softmax	top1	1.0	1.0	0.0	0.0
HER2ST::A	uot	top1	0.13032944337045613	0.21099916523273166	0.08066972186227553	0.08066972186227553
HER2ST::B	uot	top1	0.41353075425316893	0.6398824744445724	0.22635172019140343	0.22635172019140343
HER2ST::C	uot	top1	0.022192982456140348	0.022192982456140348	0.0	0.0
HER2ST::D	uot	top1	0.05369701924415465	0.07243561609496173	0.018738596850807074	0.018738596850807074
HER2ST::E	uot	top1	1.0	1.0	0.0	0.0
HER2ST::F	uot	top1	0.9991735537190083	1.0	0.0008264462809917106	0.0008264462809917106
HER2ST::G	uot	top1	0.6125724576963507	0.8665182881684503	0.2539458304720996	0.2539458304720996
HER2ST::H	uot	top1	1.0	1.0	0.0	0.0
HER2ST::A	balanced_ot	top5	0.2732993550794306	0.4158798703894701	0.1425805153100395	0.1425805153100395
HER2ST::B	balanced_ot	top5	0.3754152494380104	0.5171647707397337	0.14174952130172325	0.14174952130172325
HER2ST::C	balanced_ot	top5	0.10293540364320763	0.12236522820461114	0.019429824561403505	0.019429824561403505
HER2ST::D	balanced_ot	top5	0.14285858566790002	0.1917419371384539	0.048883351470553865	0.048883351470553865
HER2ST::E	balanced_ot	top5	0.9909285240830756	1.0	0.009071475916924365	0.009071475916924365
HER2ST::F	balanced_ot	top5	0.9872322940335991	1.0	0.012767705966400866	0.012767705966400866
HER2ST::G	balanced_ot	top5	0.7563156489406673	0.9154585367428214	0.15914288780215413	0.15914288780215413
HER2ST::H	balanced_ot	top5	1.0	1.0	0.0	0.0
HER2ST::A	row_softmax	top5	0.41358590652834637	0.572910676732358	0.1593247702040116	0.1593247702040116
HER2ST::B	row_softmax	top5	0.706897184952603	0.9091724249690603	0.20227524001645725	0.20227524001645725
HER2ST::C	row_softmax	top5	0.12361279155743765	0.1277794582241043	0.004166666666666652	0.004166666666666652
HER2ST::D	row_softmax	top5	0.21917130232032445	0.26982271307718175	0.05065141075685731	0.05065141075685731
HER2ST::E	row_softmax	top5	1.0	1.0	0.0	0.0
HER2ST::F	row_softmax	top5	1.0	1.0	0.0	0.0
HER2ST::G	row_softmax	top5	0.8336539250870851	0.9417036279700752	0.1080497028829901	0.1080497028829901
HER2ST::H	row_softmax	top5	1.0	1.0	0.0	0.0
HER2ST::A	uot	top5	0.36842637846606235	0.5173738412797979	0.14894746281373555	0.14894746281373555
HER2ST::B	uot	top5	0.5411889364140725	0.7527367774893752	0.21154784107530267	0.21154784107530267
HER2ST::C	uot	top5	0.1197502856758755	0.14371714727431606	0.023966861598440553	0.023966861598440553
HER2ST::D	uot	top5	0.19622170498494648	0.2546954413899619	0.058473736405015436	0.058473736405015436
HER2ST::E	uot	top5	1.0	1.0	0.0	0.0
HER2ST::F	uot	top5	1.0	1.0	0.0	0.0
HER2ST::G	uot	top5	0.8495920709444481	0.9685335006058691	0.11894142966142096	0.11894142966142096
HER2ST::H	uot	top5	1.0	1.0	0.0	0.0
HER2ST::A	balanced_ot	top10	0.428649460656906	0.5817196263409202	0.15307016568401421	0.15307016568401421
HER2ST::B	balanced_ot	top10	0.42039207699771775	0.5698191343540181	0.14942705735630035	0.14942705735630035
HER2ST::C	balanced_ot	top10	0.1797998588425086	0.19851129259931438	0.018711433756805784	0.018711433756805784
HER2ST::D	balanced_ot	top10	0.2559573222655471	0.3055249699192726	0.049567647653725455	0.049567647653725455
HER2ST::E	balanced_ot	top10	0.9952295993518928	1.0	0.004770400648107187	0.004770400648107187
HER2ST::F	balanced_ot	top10	0.9941254767959313	1.0	0.005874523204068671	0.005874523204068671
HER2ST::G	balanced_ot	top10	0.8253246631251772	0.9557404223626889	0.1304157592375117	0.1304157592375117
HER2ST::H	balanced_ot	top10	1.0	1.0	0.0	0.0
HER2ST::A	row_softmax	top10	0.5957679930233915	0.7128633276200314	0.1170953345966399	0.1170953345966399
HER2ST::B	row_softmax	top10	0.7591565205370252	0.9471400239213204	0.18798350338429515	0.18798350338429515
HER2ST::C	row_softmax	top10	0.16592071654231366	0.17603565907104926	0.010114942528735599	0.010114942528735599
HER2ST::D	row_softmax	top10	0.32618649426792007	0.3993986052880779	0.07321211102015784	0.07321211102015784
HER2ST::E	row_softmax	top10	1.0	1.0	0.0	0.0
HER2ST::F	row_softmax	top10	1.0	1.0	0.0	0.0
HER2ST::G	row_softmax	top10	0.883281761053547	0.966110847689795	0.082829086636248	0.082829086636248
HER2ST::H	row_softmax	top10	1.0	1.0	0.0	0.0
