dataset	pair_id	biological_pair_id	independent_unit_id	direction	method	strategy	coverage	training_positive_precision	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST_A1_CONTROLLED	HER2ST::A	reverse	balanced_ot	max_probability_gate	0.8	0.5895452958446395	0.07290497958876536	0.22659243910894683	0.34955471527738585	0.16168983843057938	22.6	0.8692307692307691	0.8784997765473687
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST_A1_CONTROLLED	HER2ST::A	reverse	balanced_ot	oracle_truth	0.8	1.0	0.3292126423344325	0.6070827924826457	0.7533159723621939	0.46360570578172666	3.8	0.8792307692307693	0.9150220730177067
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST_A1_CONTROLLED	HER2ST::A	reverse	balanced_ot	random_gate	0.8	0.6225738916571399	0.07670070330745313	0.21727102733412346	0.3483469076777954	0.16466863825630107	23.220000000000002	0.8692307692307691	0.8811802589845428
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST_A1_CONTROLLED	HER2ST::A	reverse	balanced_ot	top2_margin_gate	0.8	0.742783505994898	0.10277479917978818	0.3617980698685027	0.5257737591339939	0.23231411411894923	13.3	0.8725641025641024	0.89381470511657
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST_A1_CONTROLLED	HER2ST::A	reverse	row_softmax	all_top1	1.0	0.8424237646225518	0.40317989298546897	0.6554168379920398	0.825954436856858	0.5239053245687644	2.8	0.8825641025641027	0.9163239844111593
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST_A1_CONTROLLED	HER2ST::A	reverse	row_softmax	identity_no_training	0.0		1.0	1.0	1.0	1.0	1.0	1.0	0.9957446808510639
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST_A1_CONTROLLED	HER2ST::A	reverse	row_softmax	max_probability_gate	0.8	0.8354081403997556	0.1804877734151395	0.4291720617362583	0.6196484000225746	0.30476561936358443	7.9	0.8758974358974358	0.9057238141551551
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST_A1_CONTROLLED	HER2ST::A	reverse	row_softmax	oracle_truth	0.8	1.0	0.28720069121389735	0.6282373508125525	0.751617338396502	0.43577759786550463	3.9	0.8825641025641027	0.9142732210529891
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST_A1_CONTROLLED	HER2ST::A	reverse	row_softmax	random_gate	0.8	0.8438393817537616	0.15971270280221123	0.4066971827390022	0.5793101889550899	0.2844446425038432	8.52	0.8752307692307693	0.9043346758709833
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST_A1_CONTROLLED	HER2ST::A	reverse	row_softmax	top2_margin_gate	0.8	0.9279653132998804	0.2957000421930723	0.5914881120347004	0.7536974299850309	0.4349127542934331	4.2	0.8758974358974358	0.912892686613886
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST_A1_CONTROLLED	HER2ST::A	reverse	uot	all_top1	1.0	0.706524687959034	0.15983073053139082	0.4810626876180802	0.6235626808994381	0.3081109915902687	8.1	0.8725641025641024	0.9005166639965891
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST_A1_CONTROLLED	HER2ST::A	reverse	uot	identity_no_training	0.0		1.0	1.0	1.0	1.0	1.0	1.0	0.9957446808510639
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST_A1_CONTROLLED	HER2ST::A	reverse	uot	max_probability_gate	0.8	0.6601782527535311	0.08883320030422012	0.28189051838354845	0.4385964756691096	0.20187120801200348	16.0	0.8692307692307691	0.8881046016762033
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST_A1_CONTROLLED	HER2ST::A	reverse	uot	oracle_truth	0.8	1.0	0.3027505314445887	0.6443381465685207	0.7630552218629989	0.4592431359139348	3.6	0.885897435897436	0.9148872807451427
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST_A1_CONTROLLED	HER2ST::A	reverse	uot	random_gate	0.8	0.7134896416272838	0.08397225469565894	0.2973586249895861	0.4505333741826771	0.20050024073393552	15.16	0.8705641025641025	0.8910748091221823
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST_A1_CONTROLLED	HER2ST::A	reverse	uot	top2_margin_gate	0.8	0.7984714343634918	0.14947769276455997	0.438065662632794	0.6068960142327714	0.289811884752618	9.2	0.8725641025641024	0.900154929385739
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST_B1_CONTROLLED	HER2ST::B	forward	balanced_ot	all_top1	1.0	0.5542566738063799	0.33071646315090153	0.4962885374562762	0.5321064058817646	0.41219837053229663	20.5	0.46720726082428216	0.7942738912322979
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST_B1_CONTROLLED	HER2ST::B	forward	balanced_ot	identity_no_training	0.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST_B1_CONTROLLED	HER2ST::B	forward	balanced_ot	max_probability_gate	0.8	0.5818646972399595	0.2502911487325144	0.4016304329020806	0.4251889294937291	0.3280816773187022	30.5	0.40571378975634287	0.7778861507876238
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST_B1_CONTROLLED	HER2ST::B	forward	balanced_ot	oracle_truth	0.8	1.0	0.6430186175361831	0.756532474617581	0.8095560467900894	0.7031987575859207	2.9	0.694054172777577	0.8555353096369369
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST_B1_CONTROLLED	HER2ST::B	forward	balanced_ot	random_gate	0.8	0.5538367503035099	0.16945067632351157	0.28033224733373174	0.3136664259375788	0.2355638887788758	40.96	0.3555270970164587	0.7648510710947308
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST_B1_CONTROLLED	HER2ST::B	forward	balanced_ot	top2_margin_gate	0.8	0.6818988777817988	0.3673481310047366	0.5546863082489011	0.5764694896065505	0.45003201978298524	18.1	0.4993230174081238	0.7997266891251128
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST_B1_CONTROLLED	HER2ST::B	forward	row_softmax	all_top1	1.0	0.7905434087883801	0.8005709200909596	0.8764299530256977	0.9344294003868472	0.8450145669214997	1.2	0.8278781502185758	0.8635526146079412
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST_B1_CONTROLLED	HER2ST::B	forward	row_softmax	identity_no_training	0.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST_B1_CONTROLLED	HER2ST::B	forward	row_softmax	max_probability_gate	0.8	0.8229713341624721	0.6533628090530614	0.7449607130458193	0.7996563719967975	0.7040794851222844	3.1	0.6949557534663917	0.8467801106421421
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST_B1_CONTROLLED	HER2ST::B	forward	row_softmax	oracle_truth	0.8	1.0	0.6122148097655272	0.7286449736969282	0.7953344527812612	0.6791463452340467	3.4	0.6772900858007241	0.8524556043130834
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST_B1_CONTROLLED	HER2ST::B	forward	row_softmax	random_gate	0.8	0.7942617350654702	0.5028257755768889	0.6178917684657417	0.6575660657996136	0.565167580867691	10.040000000000001	0.5736294630653859	0.8309771678338663
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST_B1_CONTROLLED	HER2ST::B	forward	row_softmax	top2_margin_gate	0.8	0.9230067194367921	0.8365436723922622	0.9043520309477756	0.9517408123791103	0.8712910077294109	1.0	0.8633738601823708	0.8649561111415787
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST_B1_CONTROLLED	HER2ST::B	forward	uot	all_top1	1.0	0.7209773952166464	0.7219874468266354	0.83068279238492	0.875195726259556	0.7733116966653386	1.3	0.7446730574390148	0.8526094902406536
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST_B1_CONTROLLED	HER2ST::B	forward	uot	identity_no_training	0.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST_B1_CONTROLLED	HER2ST::B	forward	uot	max_probability_gate	0.8	0.7363454648904584	0.539810972468073	0.6617356418939793	0.7432199006667092	0.6094744263233765	6.2	0.6144100580270793	0.8304193232274419
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST_B1_CONTROLLED	HER2ST::B	forward	uot	oracle_truth	0.8	1.0	0.6494167551070074	0.7775605970806366	0.8324677466686372	0.7176232353810095	2.0	0.7006737942908157	0.8555805137565038
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST_B1_CONTROLLED	HER2ST::B	forward	uot	random_gate	0.8	0.7159317238449237	0.43666953696147165	0.5570866029896212	0.6014835107165637	0.5065657677461367	14.280000000000001	0.5344481479266239	0.8205637607657781
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST_B1_CONTROLLED	HER2ST::B	forward	uot	top2_margin_gate	0.8	0.8492663696817585	0.7608951332355588	0.8558459271225228	0.8876690685201323	0.8088451530741645	1.0	0.7746742619083045	0.853543647108584
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED__reverse	HER2ST_B1_CONTROLLED	HER2ST::B	reverse	balanced_ot	all_top1	1.0	0.5257613510520487	0.3220416397061622	0.45670206422309334	0.5347035613240463	0.3988936948765519	20.0	0.45606262449409407	0.7736348816307262
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED__reverse	HER2ST_B1_CONTROLLED	HER2ST::B	reverse	balanced_ot	identity_no_training	0.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED__reverse	HER2ST_B1_CONTROLLED	HER2ST::B	reverse	balanced_ot	max_probability_gate	0.8	0.5336019460718814	0.22045953386873726	0.34920006597394027	0.41559522450170644	0.29915120894426483	30.8	0.37953539121277863	0.7529001960970341
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED__reverse	HER2ST_B1_CONTROLLED	HER2ST::B	reverse	balanced_ot	oracle_truth	0.8	1.0	0.6286098529542369	0.7303442063461856	0.8066811301843464	0.6841115068270869	3.2	0.6841903601923394	0.852533015255398
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED__reverse	HER2ST_B1_CONTROLLED	HER2ST::B	reverse	balanced_ot	random_gate	0.8	0.5265437352245863	0.20381430873266598	0.31380606199012934	0.36193811136908616	0.2685861630296572	38.88	0.37395095091285097	0.7478676401035462
