dataset	pair_id	biological_pair_id	independent_unit_id	direction	method	representation_features	model	ridge_alpha	fold	strategy	coverage	repeat	source_ids_sha256	n_train_available	n_train_selected	n_test	training_positive_precision	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	heldout_expression_100	multioutput_ridge	1.0	1	max_probability_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	211	169	62	0.6568047337278107	0.08064516129032258	0.22580645161290322	0.4032258064516129	0.16905272788543982	15.5	0.5161290322580645	0.8820633860223539
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	heldout_expression_100	multioutput_ridge	1.0	1	top2_margin_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	211	169	62	0.7928994082840237	0.11290322580645161	0.3870967741935484	0.5	0.23337763049453186	10.5	0.532258064516129	0.893397896200547
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	heldout_expression_100	multioutput_ridge	1.0	1	oracle_truth	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	211	169	62	1.0	0.24193548387096775	0.5	0.6451612903225806	0.3681956751269145	5.5	0.5806451612903226	0.9074766048535865
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	heldout_expression_100	multioutput_ridge	1.0	1	random_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	211	169	62	0.6804733727810651	0.08064516129032258	0.16129032258064516	0.3225806451612903	0.15756598837108846	16.5	0.532258064516129	0.8815392403224815
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	heldout_expression_100	multioutput_ridge	1.0	1	random_gate	0.8	1	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	211	169	62	0.6923076923076923	0.0967741935483871	0.22580645161290322	0.3870967741935484	0.17045146528428048	16.5	0.532258064516129	0.882610708917817
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	heldout_expression_100	multioutput_ridge	1.0	1	random_gate	0.8	2	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	211	169	62	0.7041420118343196	0.08064516129032258	0.24193548387096775	0.3709677419354839	0.1757972574207766	15.0	0.532258064516129	0.8830957451626824
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	heldout_expression_100	multioutput_ridge	1.0	1	random_gate	0.8	3	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	211	169	62	0.6745562130177515	0.08064516129032258	0.1935483870967742	0.3548387096774194	0.15561170017441756	18.5	0.532258064516129	0.8795890405746092
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	heldout_expression_100	multioutput_ridge	1.0	1	random_gate	0.8	4	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	211	169	62	0.7159763313609467	0.0967741935483871	0.25806451612903225	0.41935483870967744	0.18688390458781537	16.5	0.532258064516129	0.8853504719751972
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	heldout_expression_100	multioutput_ridge	1.0	2	identity_no_training	0.0	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	221	0	52		1.0	1.0	1.0	1.0	1.0	1.0	1.0000000000000002
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	heldout_expression_100	multioutput_ridge	1.0	2	all_top1	1.0	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	221	221	52	0.6787330316742082	0.1346153846153846	0.4423076923076923	0.7115384615384616	0.2969782412810709	6.5	1.0	0.9124873082818517
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	heldout_expression_100	multioutput_ridge	1.0	2	max_probability_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	221	177	52	0.6497175141242938	0.057692307692307696	0.19230769230769232	0.4230769230769231	0.16526242597781649	13.0	1.0	0.8999569258781891
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	heldout_expression_100	multioutput_ridge	1.0	2	top2_margin_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	221	177	52	0.7627118644067796	0.09615384615384616	0.34615384615384615	0.6730769230769231	0.24727734011958089	7.5	1.0	0.9117098125780357
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	heldout_expression_100	multioutput_ridge	1.0	2	oracle_truth	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	221	177	52	1.0	0.34615384615384615	0.7307692307692307	0.8653846153846154	0.5241394472096274	2.0	1.0	0.9268880311877327
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	heldout_expression_100	multioutput_ridge	1.0	2	random_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	221	177	52	0.6892655367231638	0.07692307692307693	0.17307692307692307	0.4807692307692308	0.1773010016158302	12.0	1.0	0.9029413643694537
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	heldout_expression_100	multioutput_ridge	1.0	2	random_gate	0.8	1	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	221	177	52	0.6949152542372882	0.11538461538461539	0.2692307692307692	0.5384615384615384	0.21291516999250562	10.0	1.0	0.9044678146608433
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	heldout_expression_100	multioutput_ridge	1.0	2	random_gate	0.8	2	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	221	177	52	0.711864406779661	0.07692307692307693	0.21153846153846154	0.5384615384615384	0.19086336417183475	9.0	1.0	0.906128848679627
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	heldout_expression_100	multioutput_ridge	1.0	2	random_gate	0.8	3	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	221	177	52	0.6666666666666666	0.07692307692307693	0.19230769230769232	0.4230769230769231	0.17097474293264636	12.5	1.0	0.9018261050758122
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	heldout_expression_100	multioutput_ridge	1.0	2	random_gate	0.8	4	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	221	177	52	0.6949152542372882	0.057692307692307696	0.25	0.4807692307692308	0.17588013848867373	12.0	1.0	0.9053151689870819
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	heldout_expression_100	multioutput_ridge	1.0	3	identity_no_training	0.0	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	0	54		1.0	1.0	1.0	1.0	1.0	1.0	0.9814814814814817
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	heldout_expression_100	multioutput_ridge	1.0	3	all_top1	1.0	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	219	54	0.7853881278538812	0.4074074074074074	0.7592592592592593	0.7962962962962963	0.549193907792764	2.0	1.0	0.9076821874693304
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST_A1_CONTROLLED	HER2ST::A	forward	balanced_ot	heldout_expression_100	multioutput_ridge	1.0	3	max_probability_gate	0.8	0	82fad5edfdf5d0f55f26aeca5eef79e1bc88f32665ac60a4b3887c8aa2009dd3	219	176	54	0.7556818181818182	0.1111111111111111	0.5555555555555556	0.7037037037037037	0.3018969469591395	5.0	1.0	0.8967328444036977
