status	config_sha256	pair_path	pair_sha256	method	converged	iterations	solver_seconds	n_source	n_target
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_D1_CONTROLLED.npz	15f9fdb20731869413341f8185fecffb51c2306d1ecc76e7d4f3e08d4c743ab1	row_softmax	True	1	0.000520200002938509	255	204
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_D1_CONTROLLED__reverse.npz	da9ea4c68c0f946e000a5828d83f2ae6a754e77317c5292d1feb1ec8b101e2d6	balanced_ot	True	200	0.10493530001258478	204	255
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_D1_CONTROLLED__reverse.npz	da9ea4c68c0f946e000a5828d83f2ae6a754e77317c5292d1feb1ec8b101e2d6	uot	True	80	0.0467757000005804	204	255
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_D1_CONTROLLED__reverse.npz	da9ea4c68c0f946e000a5828d83f2ae6a754e77317c5292d1feb1ec8b101e2d6	row_softmax	True	1	0.0008014999912120402	204	255
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_E1_CONTROLLED.npz	08cad387da23ede03d82d436c7c4d444b9b09c0013a9e90741b4e726bbdb2833	balanced_ot	True	200	0.6949204999837093	534	427
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_E1_CONTROLLED.npz	08cad387da23ede03d82d436c7c4d444b9b09c0013a9e90741b4e726bbdb2833	uot	True	80	0.2688499000505544	534	427
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_E1_CONTROLLED.npz	08cad387da23ede03d82d436c7c4d444b9b09c0013a9e90741b4e726bbdb2833	row_softmax	True	1	0.0031979000195860863	534	427
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_E1_CONTROLLED__reverse.npz	d1a9c0ef1f2121f5365f38d31496432615f0c8e508d1f94f4a3aa429e7460df0	balanced_ot	True	200	0.681037699978333	427	534
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_E1_CONTROLLED__reverse.npz	d1a9c0ef1f2121f5365f38d31496432615f0c8e508d1f94f4a3aa429e7460df0	uot	True	80	0.27229170000646263	427	534
COMPLETED	be2abd5e1bb282b5410ceff2126c8bfbea75ccc0acebadc76a1797a67658e6a4	data/processed/p1_v2_expanded_pairs\HER2ST_E1_CONTROLLED__reverse.npz	d1a9c0ef1f2121f5365f38d31496432615f0c8e508d1f94f4a3aa429e7460df0	row_softmax	True	1	0.0032476999913342297	427	534
