method	strategy	coverage	metric	n_independent_units	median	q25	q75
row_softmax	identity_no_training	0.0	mean_reciprocal_rank	8	1.0	1.0	1.0
row_softmax	identity_no_training	0.0	median_true_rank	8	1.0	1.0	1.0
row_softmax	identity_no_training	0.0	region_label_accuracy	8	1.0	1.0	1.0
row_softmax	identity_no_training	0.0	true_pair_cosine	8	1.0	0.99900512214342	1.0
row_softmax	max_probability_gate	0.8	training_positive_precision	8	0.8601276961392154	0.8001512612127607	0.9394297712681677
row_softmax	max_probability_gate	0.8	top1	8	0.5790846677522792	0.13594731730272264	1.0
row_softmax	max_probability_gate	0.8	top5	8	0.7702755550198441	0.3649822554763409	1.0
row_softmax	max_probability_gate	0.8	top10	8	0.8212191407952861	0.5283726183345236	1.0
row_softmax	max_probability_gate	0.8	mean_reciprocal_rank	8	0.6739317039958415	0.25306779250649075	1.0
row_softmax	max_probability_gate	0.8	median_true_rank	8	3.5999999999999996	1.0	14.0875
row_softmax	max_probability_gate	0.8	region_label_accuracy	8	0.8397129424438362	0.6649435183765192	1.0
row_softmax	max_probability_gate	0.8	true_pair_cosine	8	0.9045768851183016	0.8945880864003697	0.9375829725582514
row_softmax	oracle_truth	0.8	training_positive_precision	8	1.0	1.0	1.0
row_softmax	oracle_truth	0.8	top1	8	0.788013175993709	0.2454972227281795	1.0
row_softmax	oracle_truth	0.8	top5	8	0.8774332379195136	0.5273590172105361	1.0
row_softmax	oracle_truth	0.8	top10	8	0.9054079159745972	0.6445429528573149	1.0
row_softmax	oracle_truth	0.8	mean_reciprocal_rank	8	0.8333214027127636	0.37503229855289194	1.0
row_softmax	oracle_truth	0.8	median_true_rank	8	2.15	1.0	10.275
row_softmax	oracle_truth	0.8	region_label_accuracy	8	0.9228101118009049	0.7770496279999619	1.0
row_softmax	oracle_truth	0.8	true_pair_cosine	8	0.9175487723206743	0.9045711817528292	0.9462042681085486
row_softmax	random_gate	0.8	training_positive_precision	8	0.8576025253757743	0.7988479399429419	0.9206340134606206
row_softmax	random_gate	0.8	top1	8	0.5211187352452996	0.11101106374532893	1.0
row_softmax	random_gate	0.8	top5	8	0.7213225806308239	0.33194634590978755	1.0
row_softmax	random_gate	0.8	top10	8	0.7743973720023001	0.48240799215479757	1.0
row_softmax	random_gate	0.8	mean_reciprocal_rank	8	0.6196055285854551	0.22406662072833938	1.0
row_softmax	random_gate	0.8	median_true_rank	8	5.865	1.0	16.73
