independent_unit_id	method	strategy	coverage	training_positive_precision	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST::A	balanced_ot	all_top1	1.0	0.6792965618939342	0.1726510432785901	0.4327834168574576	0.5903574134811562	0.3010532381394215	9.4	0.873767819783	0.8986162552994182
HER2ST::B	balanced_ot	all_top1	1.0	0.5400090124292143	0.32637905142853185	0.4764953008396848	0.5334049836029054	0.40554603270442424	20.25	0.46163494265918814	0.783954386431512
HER2ST::C	balanced_ot	all_top1	1.0	0.5104312523131955	0.018026315789473682	0.10640922228944008	0.2024148013712442	0.09077157741373423	54.5	0.7951801678525816	0.8907632971878006
HER2ST::D	balanced_ot	all_top1	1.0	0.6339755922876034	0.046271425129743804	0.19028677838272667	0.3089579933211879	0.130082318024956	44.4	0.4804853201290672	0.8961137777134427
HER2ST::E	balanced_ot	all_top1	1.0	0.7679677735509121	0.9956989247311828	1.0	1.0	0.9978494623655914	1.0	1.0	0.9051357682493835
HER2ST::F	balanced_ot	all_top1	1.0	0.8023172993679166	1.0	1.0	1.0	1.0	1.0	1.0	0.9431891978311563
HER2ST::G	balanced_ot	all_top1	1.0	0.6984130728847406	0.7081868728902827	0.9046530418385542	0.9345543570692232	0.7941373596715284	1.4	0.7789593246625459	0.8981726646134569
HER2ST::H	balanced_ot	all_top1	1.0	0.835042126339131	1.0	1.0	1.0	1.0	1.0	1.0	0.9304159821653805
HER2ST::A	balanced_ot	identity_no_training	0.0		1.0	1.0	1.0	1.0	1.0	1.0	0.9960204885736801
HER2ST::B	balanced_ot	identity_no_training	0.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0
HER2ST::C	balanced_ot	identity_no_training	0.0		1.0	1.0	1.0	1.0	1.0	0.9933333333333334	0.9860582010582013
HER2ST::D	balanced_ot	identity_no_training	0.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0
HER2ST::E	balanced_ot	identity_no_training	0.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0
HER2ST::F	balanced_ot	identity_no_training	0.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0
HER2ST::G	balanced_ot	identity_no_training	0.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0
HER2ST::H	balanced_ot	identity_no_training	0.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0
HER2ST::A	balanced_ot	max_probability_gate	0.8	0.6496013282744353	0.08231238048349537	0.2732993550794306	0.428649460656906	0.18908836805209475	16.85	0.870542013331387	0.8867405301571156
HER2ST::B	balanced_ot	max_probability_gate	0.8	0.5577333216559204	0.23537534130062582	0.3754152494380104	0.42039207699771775	0.3136164431314835	30.65	0.3926245904845608	0.7653931734423289
HER2ST::C	balanced_ot	max_probability_gate	0.8	0.5228920693196849	0.014692982456140351	0.10293540364320763	0.1797998588425086	0.08395332376348902	56.5	0.7986284437146506	0.886840474454266
HER2ST::D	balanced_ot	max_probability_gate	0.8	0.652048236621072	0.03357415109817996	0.14285858566790002	0.2559573222655471	0.10390105487777321	50.9	0.4804853201290672	0.8893367062551536
HER2ST::E	balanced_ot	max_probability_gate	0.8	0.7657165071680989	0.9633880173810576	0.9909285240830756	0.9952295993518928	0.9759136051864898	1.0	0.9831954264250994	0.8843840866464339
HER2ST::F	balanced_ot	max_probability_gate	0.8	0.773076544427158	0.9415049233617082	0.9872322940335991	0.9941254767959313	0.9622226425753462	1.0	0.9952702787761294	0.9273202129759299
