independent_unit_id	strategy	n_components	coverage	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST::A	oracle_truth	16	0.8	0.009363164069046422	0.022487974640665504	0.055681896919981655	0.03358743006444291	114.4	0.7687254360616433	0.09220202818706336
HER2ST::A	permuted_truth_control	16	0.8	0.0033889332462336674	0.01780120731216129	0.03669655535240297	0.02197696390277116	151.095	0.7424026284123635	0.010709351677187269
HER2ST::B	oracle_truth	16	0.8	0.016673222882629377	0.06717371779847364	0.1170581376429185	0.059731905670713695	62.849999999999994	0.4939195003297584	0.3128872949606152
HER2ST::B	permuted_truth_control	16	0.8	0.0028469934335451667	0.02008247171011175	0.0379730200194405	0.023804906626175015	124.225	0.25867931222834994	-0.009493197903141815
HER2ST::C	oracle_truth	16	0.8	0.025591133004926107	0.07667259624156175	0.17697570628605108	0.07968080020630078	38.15	0.7467515753722651	0.2532653511893314
HER2ST::C	permuted_truth_control	16	0.8	0.006066530532047773	0.03010951819572509	0.06135506575161748	0.03465044160615646	80.04499999999999	0.6292781391660702	-0.019033918333527956
HER2ST::D	oracle_truth	16	0.8	0.009156047852856362	0.04888847761048208	0.09700554329333724	0.047903699533819184	68.9	0.6412733013222935	0.14444686966009102
HER2ST::D	permuted_truth_control	16	0.8	0.004293584914525564	0.025368939493379584	0.04502060015385883	0.027017840833113017	114.035	0.45729846705490595	0.005415559738787761
HER2ST::E	oracle_truth	16	0.8	0.003704545874697281	0.019525037234100026	0.027659683016863598	0.018549671476550667	225.1	0.5521251564957843	0.03104261915990157
HER2ST::E	permuted_truth_control	16	0.8	0.0018013970352464496	0.009187052375853311	0.021312406493375385	0.013646098188189085	242.12	0.536398961952586	-0.0009373483225646583
HER2ST::F	oracle_truth	16	0.8	0.0	0.005678158302044685	0.01492921285274514	0.01033573507531088	285.2	0.848254983824434	0.007259015545472932
HER2ST::F	permuted_truth_control	16	0.8	0.0017301814116200817	0.008558673118697572	0.01749961612202499	0.01200656895458507	296.72	0.8481339240570969	-0.0005555184924728913
HER2ST::G	oracle_truth	16	0.8	0.011203772341652252	0.040543127686309764	0.07959798306140671	0.03861018424920925	109.55	0.44726224931762726	0.15545268285012082
HER2ST::G	permuted_truth_control	16	0.8	0.0028014285373332416	0.013543761246007428	0.023333548710458795	0.017299397016135594	184.89999999999998	0.24128734374898791	-0.007428885184448073
HER2ST::H	oracle_truth	16	0.8	0.0058273208007884325	0.01987430166762594	0.033322105357365114	0.022839339278033055	181.3	0.2918214534603035	0.08505947416815772
HER2ST::H	permuted_truth_control	16	0.8	0.0009272299093472746	0.007599390627521984	0.01890255718748146	0.012413972997650026	244.16500000000002	0.19332320089561572	-0.008315250583543694
