dataset	pair_id	independent_unit_id	direction	strategy	n_components	coverage	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	oracle_truth	16	0.8	0.015392994804759511	0.03405396346572817	0.07099828627342859	0.04310176972557361	95.0	0.791562734826492	0.1010668078879309
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	permuted_truth_control	16	0.8	0.004454472718229833	0.01812698335468734	0.038414965103769655	0.02407357622782299	133.09	0.7612558318061164	0.015018307487496104
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	oracle_truth	16	0.8	0.003333333333333333	0.010921985815602836	0.04036550756653472	0.024073090403312215	133.8	0.7458881372967947	0.08333724848619581
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	permuted_truth_control	16	0.8	0.0023233937742375014	0.017475431269635234	0.03497814560103628	0.019880351577719325	169.1	0.7235494250186106	0.006400395866878433
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST::B	forward	oracle_truth	16	0.8	0.01970760233918129	0.07096677864874953	0.1260408112479781	0.06451863020929052	54.1	0.4935317904690805	0.33250027015563033
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED	HER2ST::B	forward	permuted_truth_control	16	0.8	0.001821824063705363	0.020035025507029985	0.040218613910663184	0.024396000814916392	111.79	0.2685110115714819	-0.012421690190791593
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED__reverse	HER2ST::B	reverse	oracle_truth	16	0.8	0.013638843426077468	0.06338065694819776	0.10807546403785888	0.05494518113213687	71.6	0.49430721019043633	0.2932743197656001
HER2ST_manual_controlled	HER2ST_B1_CONTROLLED__reverse	HER2ST::B	reverse	permuted_truth_control	16	0.8	0.0038721628033849707	0.02012991791319352	0.03572742612821782	0.023213812437433635	136.66	0.24884761288521803	-0.006564705615492036
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST::C	forward	oracle_truth	16	0.8	0.02095238095238095	0.06973727422003284	0.2008096501199949	0.08047826266018818	33.4	0.7705785019578123	0.26038629308097944
HER2ST_manual_controlled	HER2ST_C1_CONTROLLED	HER2ST::C	forward	permuted_truth_control	16	0.8	0.007990021472780093	0.034183276493621316	0.07018011873184286	0.03895048912992885	70.28999999999999	0.6434751799924213	-0.020554158272854346
