dataset	pair_id	independent_unit_id	direction	fold	n_train_available	n_train_selected	n_test	n_components	coverage	strategy	repeat	top1	top5	top10	mean_reciprocal_rank	median_true_rank	region_label_accuracy	true_pair_cosine
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	2	221	177	52	16	0.8	permuted_truth_control	0	0.0	0.0	0.038461538461538464	0.016578507836158208	124.5	0.75	-0.003747573969976557
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	2	221	177	52	16	0.8	permuted_truth_control	1	0.0	0.0	0.019230769230769232	0.016908367920984144	109.5	0.9038461538461539	0.08392671417195961
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	2	221	177	52	16	0.8	permuted_truth_control	2	0.0	0.0	0.038461538461538464	0.02137650995091347	134.0	0.9807692307692307	0.03743059920226221
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	2	221	177	52	16	0.8	permuted_truth_control	3	0.0	0.038461538461538464	0.038461538461538464	0.028729705944191736	107.5	0.8846153846153846	0.07148579141493248
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	2	221	177	52	16	0.8	permuted_truth_control	4	0.0	0.0	0.038461538461538464	0.01881417845324784	121.5	0.9423076923076923	0.052129420183655586
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	2	221	177	52	16	0.8	permuted_truth_control	5	0.0	0.038461538461538464	0.057692307692307696	0.023060892093961043	170.0	0.8461538461538461	-0.04380358866701385
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	2	221	177	52	16	0.8	permuted_truth_control	6	0.0	0.0	0.019230769230769232	0.014807027046163638	155.0	0.8846153846153846	-0.03174849397320894
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	2	221	177	52	16	0.8	permuted_truth_control	7	0.0	0.038461538461538464	0.07692307692307693	0.027801011171477243	105.5	0.9423076923076923	0.09367860997330581
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	2	221	177	52	16	0.8	permuted_truth_control	8	0.0	0.0	0.019230769230769232	0.013301278276631032	126.5	0.8461538461538461	0.032161968071050415
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	2	221	177	52	16	0.8	permuted_truth_control	9	0.019230769230769232	0.019230769230769232	0.057692307692307696	0.035306614480066306	110.0	0.9423076923076923	0.06295626402225554
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	3	219	176	54	16	0.8	oracle_truth	0	0.018518518518518517	0.05555555555555555	0.09259259259259259	0.0520584016232549	87.0	0.8148148148148148	0.11645007750764395
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	3	219	176	54	16	0.8	permuted_truth_control	0	0.0	0.0	0.0	0.013755883376832635	139.5	0.8518518518518519	0.008593113125064722
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	3	219	176	54	16	0.8	permuted_truth_control	1	0.0	0.0	0.037037037037037035	0.020663034572058182	127.0	0.8888888888888888	0.0331176495567394
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	3	219	176	54	16	0.8	permuted_truth_control	2	0.0	0.0	0.037037037037037035	0.016524085400867503	135.0	0.9074074074074074	0.003541527457061754
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	3	219	176	54	16	0.8	permuted_truth_control	3	0.0	0.0	0.0	0.011575365310487962	136.0	0.9074074074074074	0.0006403577524240452
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	3	219	176	54	16	0.8	permuted_truth_control	4	0.0	0.018518518518518517	0.037037037037037035	0.02459711818728793	117.5	0.8888888888888888	0.0407246541946968
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	3	219	176	54	16	0.8	permuted_truth_control	5	0.018518518518518517	0.037037037037037035	0.037037037037037035	0.042979213461162846	113.0	0.8518518518518519	0.07149942758641771
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	3	219	176	54	16	0.8	permuted_truth_control	6	0.0	0.018518518518518517	0.018518518518518517	0.02199631243962217	142.0	0.9629629629629629	0.024261005066989864
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	3	219	176	54	16	0.8	permuted_truth_control	7	0.018518518518518517	0.037037037037037035	0.037037037037037035	0.036874415632852896	148.0	0.8333333333333334	-0.023655494303698368
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	3	219	176	54	16	0.8	permuted_truth_control	8	0.037037037037037035	0.037037037037037035	0.07407407407407407	0.050438223012484275	173.0	0.8888888888888888	-0.03460997884911313
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	3	219	176	54	16	0.8	permuted_truth_control	9	0.0	0.037037037037037035	0.09259259259259259	0.02839322478594383	141.0	0.8518518518518519	0.028203116175553915
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	4	219	176	54	16	0.8	oracle_truth	0	0.0	0.037037037037037035	0.05555555555555555	0.034585527093756945	103.5	0.9259259259259259	0.0724092750135678
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	4	219	176	54	16	0.8	permuted_truth_control	0	0.0	0.0	0.037037037037037035	0.018189212009570358	138.5	0.8333333333333334	0.013358701640644429
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	4	219	176	54	16	0.8	permuted_truth_control	1	0.018518518518518517	0.018518518518518517	0.05555555555555555	0.034864803971418404	114.0	0.8703703703703703	0.03565575132497208
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	4	219	176	54	16	0.8	permuted_truth_control	2	0.018518518518518517	0.018518518518518517	0.037037037037037035	0.03938022062950469	117.5	0.8518518518518519	0.06637290995729916
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	4	219	176	54	16	0.8	permuted_truth_control	3	0.018518518518518517	0.07407407407407407	0.07407407407407407	0.04291998259261873	148.0	0.8518518518518519	-0.024358602292054724
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	4	219	176	54	16	0.8	permuted_truth_control	4	0.0	0.0	0.018518518518518517	0.012417522056641508	150.0	0.9259259259259259	-0.03504417519819472
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	4	219	176	54	16	0.8	permuted_truth_control	5	0.0	0.018518518518518517	0.018518518518518517	0.014767374090594495	163.5	0.8148148148148148	-0.061314845487832566
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	4	219	176	54	16	0.8	permuted_truth_control	6	0.0	0.037037037037037035	0.09259259259259259	0.040389758124309595	101.5	0.8703703703703703	0.08570435215178968
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	4	219	176	54	16	0.8	permuted_truth_control	7	0.018518518518518517	0.018518518518518517	0.037037037037037035	0.03205076189061666	143.0	0.8333333333333334	0.005472138662888573
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	4	219	176	54	16	0.8	permuted_truth_control	8	0.0	0.018518518518518517	0.05555555555555555	0.02671132987617197	117.0	0.8333333333333334	0.03893099141341723
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED	HER2ST::A	forward	4	219	176	54	16	0.8	permuted_truth_control	9	0.0	0.018518518518518517	0.018518518518518517	0.013960990652052451	160.5	0.7407407407407407	-0.037484600880420556
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	0	217	174	56	16	0.8	oracle_truth	0	0.0	0.0	0.05357142857142857	0.01932454854388207	157.5	0.8214285714285714	0.04480229930470592
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	0	217	174	56	16	0.8	permuted_truth_control	0	0.017857142857142856	0.017857142857142856	0.03571428571428571	0.028651612254652202	205.5	0.875	-0.02599905877541046
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	0	217	174	56	16	0.8	permuted_truth_control	1	0.0	0.0	0.0	0.012307824537478862	152.5	0.8928571428571429	0.0334995635422413
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	0	217	174	56	16	0.8	permuted_truth_control	2	0.0	0.05357142857142857	0.05357142857142857	0.02807871415993344	150.0	0.8214285714285714	0.05086839345256213
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	0	217	174	56	16	0.8	permuted_truth_control	3	0.0	0.017857142857142856	0.05357142857142857	0.023699830436481932	173.5	0.8392857142857143	0.020205959133024334
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	0	217	174	56	16	0.8	permuted_truth_control	4	0.0	0.0	0.017857142857142856	0.010625473180925129	160.5	0.75	-0.006329040274002761
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	0	217	174	56	16	0.8	permuted_truth_control	5	0.0	0.0	0.0	0.011692642212934446	179.5	0.8035714285714286	0.0016655044669730992
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	0	217	174	56	16	0.8	permuted_truth_control	6	0.0	0.03571428571428571	0.05357142857142857	0.023814440863065035	189.5	0.8928571428571429	-0.013240120494924443
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	0	217	174	56	16	0.8	permuted_truth_control	7	0.0	0.0	0.03571428571428571	0.015078747561492066	149.0	0.8214285714285714	0.015863273317750837
HER2ST_manual_controlled	HER2ST_A1_CONTROLLED__reverse	HER2ST::A	reverse	0	217	174	56	16	0.8	permuted_truth_control	8	0.0	0.0	0.017857142857142856	0.016197957832390353	138.0	0.8392857142857143	0.056967976979950485
