dataset	pair_type	biological_pair_id	independent_unit_id	cohort_role	pair_id	direction	method	epsilon	tau	n_truth	top1	top5	top10	median_true_probability	median_reciprocal_rank	median_normalized_barycentric_error	metric	score	n_estimable	spearman	aurc	oracle_aurc	random_aurc	normalized_excess_aurc	retained_loss_at_80pct_coverage	retained_loss_at_90pct_coverage	auroc	auprc	prevalence	precision_at_prevalence	recall_at_prevalence
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	balanced_ot	0.25									top1_error_detection	assigned_raw_cost	273.0	0.6970852877945647	0.09401171710603776	0.0753806879894264	0.2600732600732601	0.10087589829088825	0.1004566210045662	0.17886178861788618	0.9587226328266629	0.9183681222216282	0.2600732600732601	0.8591549295774648	0.8591549295774648
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	balanced_ot	0.25									barycentric_error_ranking	assigned_raw_cost	273.0	0.20611414133311945	0.08183618572561219	0.06885386587059307	0.08412296495228044	0.8502348295446684	0.0833966862082158	0.08513576018056866					
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	balanced_ot	0.25									top1_error_detection	barycentric_displacement	273.0	-0.22081254594374114	0.32139891267314463	0.0753806879894264	0.2600732600732601	1.3320417919787713	0.319634703196347	0.2886178861788618	0.35469251150467157	0.1943259907877134	0.2600732600732601	0.04225352112676056	0.04225352112676056
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	balanced_ot	0.25									barycentric_error_ranking	barycentric_displacement	273.0	0.4360187365232449	0.07758642179648077	0.06885386587059307	0.08412296495228044	0.5719103582450967	0.07803204980059858	0.0802865703117885					
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	balanced_ot	0.25									top1_error_detection	transported_mass_deficit	273.0	0.13321480828507895	0.23781256973723647	0.0753806879894264	0.2600732600732601	0.8794716534354219	0.24876712328767123	0.2559039876113047	0.5872960535490169	0.31840907914176153	0.2600732600732601	0.323943661971831	0.323943661971831
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	balanced_ot	0.25									barycentric_error_ranking	transported_mass_deficit	273.0	0.007561834070515691	0.0835309013085293	0.06885386587059307	0.08412296495228044	0.9612247166264566	0.08428485160502376	0.0839369050877484					
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	balanced_ot	0.25									top1_error_detection	source_boundary_proximity	273.0	0.3173992678449644	0.20713536604355345	0.0753806879894264	0.2600732600732601	0.7133729124435084	0.2374429223744292	0.2601626016260163	0.7088620833914377	0.37209639642099324	0.2600732600732601	0.39436619718309857	0.39436619718309857
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	balanced_ot	0.25									barycentric_error_ranking	source_boundary_proximity	273.0	0.5313556723208775	0.07537457024282442	0.06885386587059307	0.08412296495228044	0.4270523321216636	0.075897922659294	0.07968457805043816					
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	uot	0.25	2.0	273.0	0.8388278388278388	0.967032967032967	0.9926739926739927	0.015713685227002127	1.0	0.0857148841161543															
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	uot	0.25	2.0								top1_error_detection	finite_response_h001	273.0	-0.3540787953352183	0.2073383029153893	0.028115735806914434	0.16117216117216118	1.34696664679289	0.1872146118721461	0.17886178861788618	0.22201270345375146	0.10105656371918396	0.16117216117216118	0.0	0.0
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	uot	0.25	2.0								barycentric_error_ranking	finite_response_h001	273.0	0.05529185284445053	0.08325631421982399	0.06974699264634394	0.08483157079946746	0.8955717181048721	0.08351222652133693	0.08477419859887682					
