independent_unit_id	pair_purity	macro_f1	balanced_accuracy	accuracy
HER2ST::A	0.0	0.23275343542408378	0.40578880857898714	0.520918270748741
HER2ST::A	0.5	0.2843291513519109	0.5228582057823129	0.6041888612526045
HER2ST::A	1.0	0.2829286896576607	0.5472068688586545	0.6401725271413337
HER2ST::B	0.0	0.18403949737226222	0.25439559500217784	0.27302160232625206
HER2ST::B	0.5	0.17064324157676014	0.282709308208848	0.23327416877732512
HER2ST::B	1.0	0.18154102388568144	0.3021841723306232	0.23346812279385243
HER2ST::C	0.0	0.23513087152906126	0.3376431633259364	0.3896941457619161
HER2ST::C	0.5	0.29483060828301266	0.4644374669059543	0.5064904294105617
HER2ST::C	1.0	0.31278968553513087	0.5071183650227767	0.49578706506236453
HER2ST::D	0.0	0.27973002918890677	0.3555114458272811	0.3788800625994209
HER2ST::D	0.5	0.39636853669680616	0.5261120722349798	0.5483953142660574
HER2ST::D	1.0	0.4438307034331852	0.6093750818746966	0.6358070875550412
HER2ST::E	0.0	0.36824521194738963	0.44041092343865024	0.47268922409532477
HER2ST::E	0.5	0.37075316155843074	0.5042465989057631	0.4573994040801027
HER2ST::E	1.0	0.3774408206336451	0.49984476532312305	0.46695855421578625
HER2ST::F	0.0	0.27573259742493383	0.3826159713576366	0.5596531946978375
HER2ST::F	0.5	0.2940856412803335	0.39561677711981635	0.5479142226017226
HER2ST::F	1.0	0.3072258284049393	0.44712004693122	0.5740975448564735
HER2ST::G	0.0	0.14044160440958908	0.18164063260096364	0.2341628243433409
HER2ST::G	0.5	0.18183222228262869	0.261404735010614	0.2815087627405167
HER2ST::G	1.0	0.21240617625493435	0.3019682010777901	0.34590452202426103
HER2ST::H	0.0	0.1020923571540015	0.1715967676871084	0.18664235240072036
HER2ST::H	0.5	0.1029839013299629	0.20174894019934958	0.16949769333755732
HER2ST::H	1.0	0.11436689128481176	0.21369566552742583	0.15924959165981778
