independent_unit_id	pair_id	direction	pair_purity	macro_f1	balanced_accuracy	accuracy
HER2ST::A	HER2ST_A1_CONTROLLED	forward	0.0	0.27471860900060896	0.4314956538170824	0.5418568271190333
HER2ST::A	HER2ST_A1_CONTROLLED	forward	0.5	0.33908236940919984	0.5715419501133786	0.6442097936220902
HER2ST::A	HER2ST_A1_CONTROLLED	forward	1.0	0.3488246306805622	0.5958475056689342	0.694440856511381
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	0.0	0.1907882618475586	0.3800819633408919	0.49997971437844857
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	0.5	0.22957593329462192	0.47417446145124725	0.5641679288831187
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	1.0	0.21703274863475927	0.49856623204837497	0.5859041977712864
HER2ST::B	HER2ST_B1_CONTROLLED	forward	0.0	0.1822888753800597	0.3064389424908179	0.23432943813378596
HER2ST::B	HER2ST_B1_CONTROLLED	forward	0.5	0.20254293129340806	0.32284565605799725	0.2585710710710711
HER2ST::B	HER2ST_B1_CONTROLLED	forward	1.0	0.2204607902846302	0.3531514802499376	0.2687143665404535
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	0.0	0.18579011936446474	0.20235224751353784	0.3117137665187181
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	0.5	0.13874355186011225	0.2425729603596987	0.20797726648357917
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	1.0	0.14262125748673268	0.25121686441130886	0.19822187904725133
HER2ST::C	HER2ST_C1_CONTROLLED	forward	0.0	0.2324030007202095	0.3273620559334845	0.39815693719348205
HER2ST::C	HER2ST_C1_CONTROLLED	forward	0.5	0.28281234325093974	0.4335600907029478	0.47940726678268203
HER2ST::C	HER2ST_C1_CONTROLLED	forward	1.0	0.34389705501339146	0.5954695767195767	0.567921742340347
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	0.0	0.23785874233791304	0.34792427071838833	0.38123135433035005
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	0.5	0.30684887331508565	0.49531484310896073	0.5335735920384413
HER2ST::C	HER2ST_C1_CONTROLLED__reverse	reverse	1.0	0.28168231605687033	0.41876715332597686	0.4236523877843821
HER2ST::D	HER2ST_D1_CONTROLLED	forward	0.0	0.25517751942957495	0.3103732016775495	0.34533322461404653
HER2ST::D	HER2ST_D1_CONTROLLED	forward	0.5	0.40599790329479357	0.544196078344629	0.570595238095238
HER2ST::D	HER2ST_D1_CONTROLLED	forward	1.0	0.4577514069859254	0.6293286004789628	0.6633496412263535
HER2ST::D	HER2ST_D1_CONTROLLED__reverse	reverse	0.0	0.30428253894823853	0.4006496899770127	0.4124269005847953
HER2ST::D	HER2ST_D1_CONTROLLED__reverse	reverse	0.5	0.3867391700988187	0.5080280661253306	0.5261953904368766
HER2ST::D	HER2ST_D1_CONTROLLED__reverse	reverse	1.0	0.42990999988044504	0.5894215632704304	0.6082645338837289
HER2ST::E	HER2ST_E1_CONTROLLED	forward	0.0	0.4736168511264345	0.5129471407711114	0.5408604306248975
HER2ST::E	HER2ST_E1_CONTROLLED	forward	0.5	0.4667705440244158	0.5335285994375281	0.500853661691285
HER2ST::E	HER2ST_E1_CONTROLLED	forward	1.0	0.46368167590160064	0.5317126205651698	0.4940753866627577
HER2ST::E	HER2ST_E1_CONTROLLED__reverse	reverse	0.0	0.2628735727683448	0.3678747061061891	0.40451801756575206
HER2ST::E	HER2ST_E1_CONTROLLED__reverse	reverse	0.5	0.2747357790924456	0.4749645983739981	0.4139451464689205
HER2ST::E	HER2ST_E1_CONTROLLED__reverse	reverse	1.0	0.29119996536568954	0.4679769100810763	0.4398417217688148
HER2ST::F	HER2ST_F1_CONTROLLED	forward	0.0	0.3123019569237367	0.4300373066521101	0.6651745495495495
HER2ST::F	HER2ST_F1_CONTROLLED	forward	0.5	0.35284725580437765	0.43668356343039477	0.6689433183183183
