independent_unit_id	pair_id	direction	fold	repeat	pair_purity	n_train_available	n_train_selected	n_test	macro_f1	balanced_accuracy	accuracy
HER2ST::B	HER2ST_B1_CONTROLLED	forward	0	0	1.0	146	117	69	0.24534911525585845	0.3530923267765373	0.3333333333333333
HER2ST::B	HER2ST_B1_CONTROLLED	forward	0	1	0.0	146	117	69	0.2533539731682146	0.3574339890129364	0.30434782608695654
HER2ST::B	HER2ST_B1_CONTROLLED	forward	0	1	0.5	146	117	69	0.2395373581336696	0.3184476342371079	0.3333333333333333
HER2ST::B	HER2ST_B1_CONTROLLED	forward	0	1	1.0	146	117	69	0.15063676633444073	0.20086833244727983	0.21739130434782608
HER2ST::B	HER2ST_B1_CONTROLLED	forward	1	0	0.0	143	115	72	0.31025641025641026	0.5318181818181819	0.4027777777777778
HER2ST::B	HER2ST_B1_CONTROLLED	forward	1	0	0.5	143	115	72	0.2793748373666406	0.4534090909090909	0.3055555555555556
HER2ST::B	HER2ST_B1_CONTROLLED	forward	1	0	1.0	143	115	72	0.3856285174046392	0.5534090909090909	0.3472222222222222
HER2ST::B	HER2ST_B1_CONTROLLED	forward	1	1	0.0	143	115	72	0.2207589285714286	0.41931818181818176	0.2777777777777778
HER2ST::B	HER2ST_B1_CONTROLLED	forward	1	1	0.5	143	115	72	0.3783022836862601	0.5375	0.4305555555555556
HER2ST::B	HER2ST_B1_CONTROLLED	forward	1	1	1.0	143	115	72	0.3170995670995671	0.27045454545454545	0.4305555555555556
HER2ST::B	HER2ST_B1_CONTROLLED	forward	2	0	0.0	141	113	74	0.051331719128329296	0.08267020335985854	0.05405405405405406
HER2ST::B	HER2ST_B1_CONTROLLED	forward	2	0	0.5	141	113	74	0.10795012582932967	0.2508104921898025	0.10810810810810811
HER2ST::B	HER2ST_B1_CONTROLLED	forward	2	0	1.0	141	113	74	0.08555871212121212	0.39610963748894784	0.0945945945945946
HER2ST::B	HER2ST_B1_CONTROLLED	forward	2	1	0.0	141	113	74	0.0749181860682562	0.1967285587975243	0.13513513513513514
HER2ST::B	HER2ST_B1_CONTROLLED	forward	2	1	0.5	141	113	74	0.04146730462519936	0.1623931623931624	0.04054054054054054
HER2ST::B	HER2ST_B1_CONTROLLED	forward	2	1	1.0	141	113	74	0.1384920634920635	0.3449749484232243	0.1891891891891892
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	0	0	0.0	148	119	67	0.24764957264957263	0.25746753246753246	0.3283582089552239
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	0	0	0.5	148	119	67	0.14877260981912144	0.1556818181818182	0.19402985074626866
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	0	0	1.0	148	119	67	0.2369047619047619	0.22175324675324676	0.29850746268656714
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	0	1	0.0	148	119	67	0.2384920634920635	0.23214285714285715	0.417910447761194
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	0	1	0.5	148	119	67	0.17155928326343883	0.16607142857142856	0.26865671641791045
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	0	1	1.0	148	119	67	0.24365489439018853	0.24626623376623377	0.3283582089552239
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	1	0	0.0	136	109	79	0.1926041666666667	0.2654320987654321	0.34177215189873417
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	1	0	0.5	136	109	79	0.16849816849816848	0.12626262626262627	0.24050632911392406
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	1	0	1.0	136	109	79	0.1096817644436692	0.20650953984287315	0.189873417721519
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	1	1	0.0	136	109	79	0.1390218878248974	0.14365881032547698	0.20253164556962025
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	1	1	0.5	136	109	79	0.19664289958407605	0.40347923681257014	0.34177215189873417
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	1	1	1.0	136	109	79	0.18972854842420062	0.388327721661055	0.3291139240506329
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	2	0	0.0	146	117	69	0.1417797888386124	0.12007168458781363	0.18840579710144928
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	2	0	0.5	146	117	69	0.09392712550607288	0.5161290322580645	0.10144927536231885
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	2	0	1.0	146	117	69	0.07575757575757576	0.4444444444444444	0.043478260869565216
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	2	1	0.0	146	117	69	0.15519323671497584	0.1953405017921147	0.391304347826087
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	2	1	0.5	146	117	69	0.053061224489795916	0.08781362007168458	0.10144927536231885
HER2ST::B	HER2ST_B1_CONTROLLED__reverse	reverse	2	1	1.0	146	117	69	0.0	0.0	0.0
HER2ST::C	HER2ST_C1_CONTROLLED	forward	0	0	0.0	85	68	49	0.18627450980392157	0.3877551020408163	0.3877551020408163
HER2ST::C	HER2ST_C1_CONTROLLED	forward	0	0	0.5	85	68	49	0.3717948717948718	0.5918367346938775	0.5918367346938775
HER2ST::C	HER2ST_C1_CONTROLLED	forward	0	0	1.0	85	68	49	0.299625468164794	0.8163265306122449	0.8163265306122449
HER2ST::C	HER2ST_C1_CONTROLLED	forward	0	1	0.0	85	68	49	0.07272727272727272	0.12244897959183673	0.12244897959183673
HER2ST::C	HER2ST_C1_CONTROLLED	forward	0	1	0.5	85	68	49	0.24242424242424243	0.5714285714285714	0.5714285714285714
HER2ST::C	HER2ST_C1_CONTROLLED	forward	0	1	1.0	85	68	49	0.43023255813953487	0.7551020408163265	0.7551020408163265
HER2ST::C	HER2ST_C1_CONTROLLED	forward	1	0	0.0	92	74	42	0.322061191626409	0.4722222222222222	0.47619047619047616
HER2ST::C	HER2ST_C1_CONTROLLED	forward	1	0	0.5	92	74	42	0.21067221067221067	0.29166666666666663	0.2857142857142857
HER2ST::C	HER2ST_C1_CONTROLLED	forward	1	0	1.0	92	74	42	0.3504873294346978	0.5486111111111112	0.5238095238095238
HER2ST::C	HER2ST_C1_CONTROLLED	forward	1	1	0.0	92	74	42	0.21926910299003322	0.3055555555555556	0.30952380952380953
HER2ST::C	HER2ST_C1_CONTROLLED	forward	1	1	0.5	92	74	42	0.253411306042885	0.375	0.38095238095238093
HER2ST::C	HER2ST_C1_CONTROLLED	forward	1	1	1.0	92	74	42	0.31508431508431506	0.4305555555555556	0.42857142857142855
HER2ST::C	HER2ST_C1_CONTROLLED	forward	2	0	0.0	91	73	43	0.32424465733235075	0.39999999999999997	0.5581395348837209
HER2ST::C	HER2ST_C1_CONTROLLED	forward	2	0	0.5	91	73	43	0.2857142857142857	0.3238095238095238	0.5116279069767442
HER2ST::C	HER2ST_C1_CONTROLLED	forward	2	0	1.0	91	73	43	0.3463869463869464	0.5047619047619047	0.5348837209302325
